Protein.Group,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC1,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC2,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC3,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC4,QC50,QC51,QC52,QC53,QC54,QC55,QC56,QC57,QC58,QC59,QC5,QC60,QC6,QC7,QC8,QC9
A0A075B6H7,110150000.0,103276000.0,95656500.0,204994000.0,226262000.0,100938000.0,204192000.0,226946000.0,222910000.0,213554000.0,91934300.0,104527000.0,197447800.0,99481200.0,190213700.0,92407300.0,88515500.0,90576300.0,176774000.0,177685800.0,88961200.0,193759400.0,173671000.0,86397400.0,83034200.0,165182600.0,81512600.0,164355000.0,166323700.0,87186400.0,85273200.0,81364600.0,87383600.0,85989900.0,85130800.0,85318900.0,169708800.0,168900200.0,85782000.0,81298000.0,143720300.0,84825800.0,82158200.0,103085000.0,78573500.0,163040200.0,171387800.0,85155200.0,79719800.0,151746000.0,77334500.0,74106800.0,74100500.0,139297400.0,101639000.0,73801800.0,108017000.0,105548000.0,204763000.0,208548000.0
A0A075B6I0,6119650.0,6615620.0,7919420.0,6114950.0,8583810.0,7913620.0,7860010.0,6900280.0,8595410.0,8477690.0,5655780.0,7425500.0,7619710.0,5999620.0,7585690.0,6599260.0,5377600.0,6564860.0,6685290.0,6741310.0,6919150.0,6058190.0,6959110.0,6325140.0,6527290.0,6249110.0,5697220.0,6532410.0,4818460.0,6393840.0,4744240.0,6606370.0,7000700.0,5089270.0,6304350.0,3322320.0,4601900.0,6273650.0,5988840.0,6370830.0,5461880.0,6147890.0,5620000.0,7784230.0,4292080.0,5821490.0,5526110.0,6375300.0,5620320.0,5279800.0,5645660.0,6124230.0,5395520.0,5597800.0,8307340.0,5475390.0,8025780.0,6109660.0,7481310.0,7740690.0
A0A075B6J9,4880760.0,4169270.0,3730460.0,4503040.0,4765410.0,4567330.0,3813200.0,4310050.0,4934910.0,3753520.0,3806190.0,4814920.0,4864610.0,4790230.0,3882800.0,3706180.0,3581920.0,3841380.0,3758260.0,3677340.0,3666820.0,3654110.0,3800040.0,3620670.0,3503900.0,4275480.0,3867870.0,4521240.0,4252580.0,3414190.0,4412320.0,3660220.0,4107010.0,3599610.0,4440030.0,3935160.0,4171850.0,3552690.0,4054940.0,4207850.0,3466310.0,3826910.0,3785670.0,4649850.0,3704240.0,4891890.0,4253750.0,4388450.0,3620690.0,3809710.0,3411360.0,3482530.0,3705270.0,4273850.0,4616390.0,4096130.0,4217810.0,3989440.0,4068450.0,4263710.0
A0A075B6K5,14638900.0,14822600.0,13488800.0,14989900.0,16912000.0,15287000.0,14823100.0,15467000.0,14438100.0,14681800.0,11224500.0,13759400.0,14845700.0,13907400.0,14098500.0,13011400.0,13610100.0,14009800.0,13484000.0,,15793000.0,12426700.0,13168500.0,13464500.0,12659600.0,,12735800.0,13884500.0,13401600.0,16036200.0,15436500.0,13793300.0,13095200.0,12997000.0,12959100.0,13068600.0,13673100.0,15593000.0,,12715600.0,,,14879800.0,14225200.0,13074100.0,13345300.0,13476400.0,12454700.0,12897000.0,13298500.0,12489600.0,,13536500.0,12150000.0,14841800.0,,13870400.0,14689400.0,15271200.0,14969600.0
A0A075B6Q5,1632540.0,2371610.0,1611290.0,1105080.0,1235860.0,1938550.0,1505280.0,2044820.0,,1458500.0,2254480.0,1654760.0,1934940.0,1772610.0,1565200.0,2054770.0,1779330.0,1377580.0,1876360.0,1758310.0,1631070.0,1859940.0,1823270.0,1809900.0,1626340.0,2065660.0,1421230.0,1251080.0,1602580.0,1436000.0,1706000.0,1381350.0,1436740.0,1510390.0,1705700.0,1778520.0,1551040.0,1363720.0,1447760.0,1599260.0,1212450.0,1457880.0,1796240.0,,1724510.0,1684700.0,2047870.0,1530190.0,1648570.0,1574850.0,1522810.0,1589490.0,1980390.0,1333370.0,2017210.0,1889880.0,1153180.0,2186230.0,1923670.0,1773140.0
A0A075B6R2,5256400.0,5637510.0,5838050.0,5027460.0,5684540.0,4494760.0,4981380.0,5782530.0,5791300.0,5103370.0,4586790.0,4868870.0,5534850.0,5047770.0,4802080.0,5689260.0,4464190.0,4186670.0,3763330.0,4151210.0,3965960.0,4700860.0,4305050.0,3565710.0,4673350.0,4502820.0,4976520.0,4587050.0,5653180.0,3115440.0,3988400.0,3418270.0,5133140.0,3163870.0,3848840.0,3846470.0,3789860.0,3665930.0,3502710.0,3431370.0,3019830.0,3149420.0,3041640.0,4764560.0,2952560.0,3745460.0,3063500.0,3061120.0,4569370.0,2686010.0,3100100.0,3310580.0,2809710.0,2421210.0,5091990.0,2511380.0,6312400.0,3908460.0,5447160.0,4583280.0
A0A075B6S5,9716910.0,10353000.0,9396340.0,9230420.0,,9506410.0,10318800.0,9360170.0,8655890.0,10124500.0,7196580.0,8429810.0,8429240.0,9672100.0,8430230.0,8548380.0,7896570.0,8175100.0,8012310.0,7686890.0,,9069950.0,7232040.0,,8009650.0,7921090.0,7504190.0,6626360.0,7336150.0,7834680.0,7087510.0,7472630.0,9198160.0,7956390.0,8746350.0,6069760.0,6848510.0,7601380.0,6763480.0,7448080.0,5213620.0,6747900.0,7973620.0,7697400.0,,,8082450.0,6692370.0,,,,8128920.0,7362120.0,6630380.0,9787650.0,,9324780.0,8023760.0,9940530.0,10696300.0
A0A087WSY6,13855400.0,13882600.0,10749500.0,14152000.0,13556100.0,11082200.0,11316900.0,13280900.0,14054000.0,14109500.0,11185100.0,13282900.0,12685600.0,11645200.0,13372000.0,10978400.0,11795200.0,12291600.0,12200200.0,12032300.0,12171000.0,11944700.0,12374300.0,12490200.0,11523400.0,11045800.0,10871500.0,11504300.0,11788300.0,11404500.0,11055600.0,11091200.0,10861100.0,12653800.0,11897500.0,10925300.0,10387500.0,8757720.0,11151500.0,11387900.0,10301300.0,10753400.0,11099600.0,13485300.0,8942480.0,11055500.0,10720900.0,12309200.0,10084600.0,9789510.0,10547400.0,10247100.0,8649790.0,8310980.0,11777600.0,10293800.0,12452300.0,11070700.0,13403700.0,13322900.0
A0A0A0MS15,12756800.0,13134600.0,12024300.0,11917800.0,13174400.0,12174600.0,12063300.0,13160800.0,12953200.0,12269400.0,11036900.0,13537100.0,12808800.0,11905400.0,12097500.0,11957000.0,12438000.0,12034200.0,12035500.0,11942300.0,11690200.0,12705100.0,11754500.0,12867400.0,12060200.0,11338600.0,11411000.0,11316900.0,10796600.0,11744300.0,11262400.0,10875900.0,11818300.0,12466500.0,11637300.0,11596000.0,11293500.0,11209500.0,11101400.0,11174200.0,11463000.0,11097300.0,11679000.0,11134800.0,11869200.0,11851100.0,10924300.0,11388800.0,10877900.0,11771600.0,11932900.0,11275300.0,10951300.0,10877200.0,12125200.0,11184400.0,12436600.0,11534200.0,13071900.0,12495200.0
A0A0B4J1U3,6281210.0,9559800.0,9590560.0,7616980.0,7194220.0,6758220.0,7251660.0,8484420.0,8899710.0,7764770.0,6123810.0,7563300.0,6578390.0,5845040.0,6820460.0,6130340.0,7261180.0,5839350.0,6649780.0,7856280.0,6983360.0,5889860.0,5170480.0,6208820.0,8118830.0,8050040.0,7441200.0,6839090.0,6114890.0,5349800.0,6767330.0,6402420.0,6697610.0,6700410.0,6332160.0,6923090.0,7017120.0,6283120.0,7932490.0,6060400.0,4666090.0,5048780.0,8407540.0,6223630.0,5593540.0,6251880.0,6368070.0,7201280.0,7420410.0,5585190.0,7370060.0,5627580.0,7563540.0,5488980.0,9222330.0,4495390.0,7481630.0,8560700.0,7040140.0,7864890.0
