,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50
QC1,1.0,0.9225632337543991,0.909682498105569,0.9210244368449935,0.9062774506663427,0.8536573346872324,0.9306121310839245,0.9220955827499725,0.9042487233960887,0.9206429263682216,0.8798529921238282,0.8512339818646011,0.8571231208848086,0.8389568115323143,0.8424061106662846,0.8508110143514462,0.8434560321311794,0.8352627617430763,0.8436544878941736,0.8496996140356448,0.8513606547785406,0.8616619956570133,0.8367610553782423,0.83874139488163,0.8501046599097579,0.8490518784512787,0.8361618311862192,0.823201176821438,0.8472445427308625,0.8377093693051254,0.8282142939507048,0.8182537426551713,0.833055378004982,0.8368745375804033,0.8475250648936147,0.8478974576765543,0.8265749757399564,0.8396568222168074,0.8425800720838005,0.8408320002412945,0.8390839857730196,0.8405138262574335,0.8436891397115863,0.8405037358013381,0.843936641109113,0.8503406383739317,0.898525589720527,0.8516593887325341,0.8370976438558412,0.8588153204245916
QC2,0.9225632337543991,1.0,0.915876872099753,0.9170104018463322,0.8944356596614391,0.8717526950670694,0.9252190694235892,0.9154967983376288,0.9084823689377075,0.9106592856666885,0.8662637948203,0.8614730183556673,0.8681010975444624,0.8388546757197587,0.8455694426258971,0.8621674794544135,0.8522979792486064,0.8451186607919025,0.8481284204380476,0.8500534857602883,0.8553674330332498,0.8433619556208675,0.8381221632780187,0.8476882594388565,0.8600145420751182,0.8578223145649074,0.8576482916292978,0.8482720983945157,0.8436708017821075,0.843630315555845,0.8408468275804795,0.8312325439698076,0.8424720618224272,0.8413519970712379,0.8535176817297756,0.8470688730523932,0.8227588830259875,0.8320341786467573,0.8440607596643991,0.8434780048558546,0.8455702861642365,0.8443737881345784,0.851455006186346,0.8544207106042555,0.8466094716308613,0.8563539138294687,0.898282154460009,0.8557323074348555,0.8479392927297414,0.8601525903680098
QC3,0.909682498105569,0.915876872099753,1.0,0.9222030936307566,0.8880496917443443,0.851776503076474,0.9041115129256794,0.9196833829104613,0.9184017059500851,0.9113580620507774,0.8559940241356746,0.8484220060682226,0.8512047503319086,0.8425383209086647,0.8491653143461179,0.855221225958088,0.8543636409631716,0.8475831969793114,0.8483339961565678,0.8442566184195586,0.8471778797764069,0.8429913616209558,0.840495008990576,0.8454352771393847,0.856178863561218,0.8484460221184621,0.8478086035453156,0.8317439405380539,0.8391948313326928,0.8493710574909585,0.8312515917704997,0.8270058024440406,0.8431467073695792,0.838383479291755,0.8433815635503292,0.8370082199464627,0.8362934890959727,0.8425779092437604,0.8461113652786781,0.8486631657776187,0.8429524559136441,0.8393927216509697,0.8481714388066766,0.8445385841078432,0.849465390217347,0.8477101581692419,0.9115435361731348,0.8588165633080198,0.8406862008456828,0.8595796259221753
QC4,0.9210244368449935,0.9170104018463322,0.9222030936307566,1.0,0.9087747046606436,0.840609855392569,0.916329443445289,0.9240045494813269,0.9055925658614266,0.9240504839153857,0.8615412673847137,0.8422309551521617,0.8492777078928431,0.8350474729100928,0.842584231227005,0.8456013037015253,0.8414920254410947,0.8404703146076443,0.8382586292503601,0.8428932790797476,0.8441908990440414,0.8453280610002872,0.8276694975630875,0.840028493283708,0.8472150343370911,0.8457973092745632,0.837353344295312,0.8228037952630468,0.8372458123308816,0.8360766134103672,0.8187932611344118,0.8111686566858126,0.8369692500926541,0.8233040898835382,0.8365941428147801,0.8379067569190443,0.8177655717184301,0.826029673928712,0.8354838345490998,0.8350204437886941,0.8380032177046997,0.8385139237734125,0.8489276762148821,0.8419535592124266,0.8367936352007814,0.847062603458965,0.9203686487168606,0.8451088750003131,0.8321356385960232,0.8544439932419967
QC5,0.9062774506663427,0.8944356596614391,0.8880496917443443,0.9087747046606436,1.0,0.8344749553475349,0.918657811074127,0.9045616445229417,0.8852968354940125,0.9252469832869293,0.8514086191310745,0.8305514853926861,0.8313190620279222,0.8200057740428282,0.8280509322898755,0.8309555545763879,0.8309542614116815,0.8254815026713395,0.8252324164098742,0.8276300411649459,0.8308224216589514,0.8349358564281891,0.8139826193099313,0.81628417240846,0.8308223224686311,0.8265206647863516,0.8155321222803916,0.802551468367251,0.8270574847074691,0.812258170033169,0.7957365075442603,0.7925660885497644,0.8136751618709244,0.8057874916471187,0.8178415255571005,0.8206179494068683,0.7982422948165128,0.8085533845047803,0.8090949503831866,0.8198411567299346,0.8273190388499483,0.8276873731703605,0.8279761748449576,0.819964982592752,0.8196772204049084,0.8319206736630855,0.894735775100319,0.8306296317953609,0.8112152521562833,0.8407575850132578
QC6,0.8536573346872324,0.8717526950670694,0.851776503076474,0.840609855392569,0.8344749553475349,1.0,0.8446003698219416,0.847611452988951,0.8492792874239572,0.8490502262960192,0.8657578239205096,0.9136580736171008,0.9258405992256952,0.8615166749532803,0.8682725687598544,0.9203994023787602,0.8762311028706163,0.8646340191103615,0.8669384897429583,0.877300073939154,0.8753190139548565,0.8730693663973091,0.8594787389829895,0.9126956183319622,0.8713656937692461,0.8782488529982003,0.903270539010879,0.8964974986449129,0.8561320094895354,0.853357766314079,0.8879916828112069,0.8715507394618759,0.8585414896086551,0.8853837406755004,0.8969761086279991,0.8935223000560697,0.8473512666455084,0.8598298981877907,0.8553293917869653,0.8610562877811848,0.8680137529042189,0.8641611074645766,0.8627507746196595,0.8543629494784365,0.8653077031543354,0.8715003561746247,0.8367642616141818,0.8659037110844415,0.9016600043755049,0.8765270381230279
QC7,0.9306121310839245,0.9252190694235892,0.9041115129256794,0.916329443445289,0.918657811074127,0.8446003698219416,1.0,0.9139148518208849,0.8953306883259255,0.9257113466269121,0.8721158496200954,0.8403697761423596,0.8446699928382169,0.8278525861665269,0.8359668494626644,0.8432111365661885,0.8464486858842505,0.8348381961481655,0.8449380082132646,0.8392902235259733,0.8445681080980743,0.8488263161906834,0.8250428490149266,0.8271524290125679,0.8439248914915882,0.8425914618295173,0.8281935909393628,0.8134816147264342,0.837128741981029,0.8334491266087322,0.8117693168313723,0.8022529020037384,0.8288367104217009,0.8218777922852362,0.8359950674899647,0.8380521524461156,0.8218018627157053,0.8245452717528854,0.8285296046151317,0.8370153009586233,0.8394429155816006,0.8315287321950869,0.8315568542357507,0.8347848830321463,0.8346851119902309,0.850732664789689,0.906251805110024,0.8393323813498563,0.8195260009330245,0.8470625092847641
QC8,0.9220955827499725,0.9154967983376288,0.9196833829104613,0.9240045494813269,0.9045616445229417,0.847611452988951,0.9139148518208849,1.0,0.922134712174203,0.9301959019252196,0.868496832787592,0.853769770790973,0.8619154830090573,0.8363431698765319,0.8457972682025702,0.8552081107712876,0.8438166657963387,0.8411425169349317,0.8447509590201406,0.8487422822089447,0.8449255129453972,0.8439654339984699,0.8375349452273629,0.8441552631184023,0.8529310036994276,0.8449209397838753,0.8445935820872721,0.838083642565872,0.837672921240666,0.8399875680515516,0.8288244416779387,0.8219900107482613,0.8391857271004491,0.8350639735344676,0.8450806894221664,0.8438339324884723,0.8241543344500338,0.8310044722188752,0.8373940064431672,0.8377068918245283,0.8419269154037747,0.8437222558483364,0.8412615410068095,0.8455818734104231,0.8463603647620735,0.8502744397142782,0.9195245649546457,0.8513160875123884,0.8391714790840844,0.8554316479583636
QC9,0.9042487233960887,0.9084823689377075,0.9184017059500851,0.9055925658614266,0.8852968354940125,0.8492792874239572,0.8953306883259255,0.922134712174203,1.0,0.909963659901753,0.8444963460624969,0.8470480370012297,0.860074101319375,0.8380170171909906,0.8435515675220655,0.8490756823893226,0.8504697270807277,0.8376525485672621,0.8464173584731722,0.8408938260249872,0.8487545956221436,0.847221581643309,0.841493442626811,0.841724086691412,0.851751966929901,0.84372411474327,0.8467124785626445,0.8387990275224515,0.8320849580203188,0.8435310301290943,0.8346713329572453,0.832598665862111,0.8413641001003218,0.8356771909613986,0.8383963148993374,0.8357634135945549,0.8266296047768867,0.8334715987242177,0.8351082589020926,0.8429238142267754,0.8454949832153564,0.8438491085922114,0.8435246193044273,0.8411578924389443,0.8466628869157096,0.8426090536648725,0.9070686573394071,0.8493613379234353,0.8404477061948981,0.8552063840992764
QC10,0.9206429263682216,0.9106592856666885,0.9113580620507774,0.9240504839153857,0.9252469832869293,0.8490502262960192,0.9257113466269121,0.9301959019252196,0.909963659901753,1.0,0.8681245319137147,0.8475491584271511,0.8548287833770697,0.8399726897915252,0.844588837351453,0.8498494086986843,0.846188562754185,0.8413590927179578,0.8438880076505781,0.8460287256813612,0.8523788292967425,0.8550340261999997,0.8317670020733341,0.8329771836978561,0.8568716954487205,0.8495696219204684,0.8407384083898108,0.8311980324060633,0.8394012158045439,0.8411267275896847,0.8226184518028816,0.8160713144521736,0.8331478438501033,0.8257476469367603,0.8313425064678007,0.8354129431430573,0.8199103343231721,0.8328036450670535,0.8319119154648685,0.8354707697061301,0.8470993249595404,0.8464270261219978,0.8369252494396973,0.8444334073557983,0.8408085066885869,0.8503733627659933,0.9176253623780749,0.8526915459261819,0.8254951307725678,0.8562782983400972
