,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC1,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC2,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC3,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC4,QC50,QC51,QC52,QC53,QC54,QC55,QC56,QC57,QC58,QC59,QC5,QC60,QC6,QC7,QC8,QC9
QC10,1.0,0.9938211310435962,0.9931892639157094,0.994389584758517,0.9945031700412214,0.9946096273039888,0.9945379508369595,0.9939224095640815,0.9934340654733326,0.9950298802955183,0.9919425833631277,0.9934249709758796,0.9929609707153754,0.9937975018047632,0.9947895784126987,0.9947395796182957,0.9930852294389424,0.9942482751295687,0.9944795302233946,0.9934058156981783,0.9943162610328296,0.9951358787162543,0.9942587840233345,0.9932336226380273,0.9938952442962069,0.9939926159060031,0.994191577979215,0.9944107311038058,0.9939548169567066,0.9920439731071994,0.9943320226277393,0.9943312675645954,0.9911549685247661,0.99442262305117,0.9914649288667299,0.9950552651253365,0.9941969936674759,0.9924037019110818,0.9932441416516216,0.9912901191765277,0.9903113029198686,0.990813948780748,0.9917374136240561,0.9963032977788235,0.9939850958359137,0.9935413518564609,0.993441444583753,0.9931040247419484,0.9913018605792608,0.9923462416980242,0.9943769276088906,0.9929509816131816,0.9920045074577069,0.9920124427212745,0.9946954619429513,0.993385206177662,0.9930519494745333,0.9926420847082168,0.9948584437491467,0.9953919975737149
QC11,0.9938211310435962,1.0,0.9911444796724509,0.9941805506848752,0.993139805687712,0.9932766538614866,0.9949900409796929,0.9939922594540915,0.9897454525329609,0.9945424097295955,0.9872493995281851,0.991072597050142,0.9888113632038366,0.9916085305651277,0.9909080711884685,0.9933042204233826,0.9910114054066929,0.9936803138168757,0.9939343680575914,0.9907963116158385,0.9933284353421681,0.9923569142909943,0.995808353577962,0.9939679206592851,0.9947089664878531,0.993912266435371,0.9938960343427643,0.9933737409124015,0.9940585554565766,0.9928234430793313,0.9938832609550391,0.9928696751780277,0.9928527653133817,0.9938293071560508,0.9908894241237326,0.9934820074402426,0.993893988332679,0.9898855176668779,0.9941645967321286,0.9933445755111951,0.9890878417899721,0.9906727623838374,0.9915007231168732,0.9944168431343895,0.9923656586073404,0.9935107890181374,0.9942566989487909,0.9932188054965458,0.990947234894275,0.9902837590507644,0.9932017814061788,0.9926818473351005,0.9918756647147611,0.992408115790531,0.9932713138855354,0.994420324561001,0.9924700555310323,0.9917838044006705,0.9946563728723455,0.9934239947019741
QC12,0.9931892639157094,0.9911444796724509,1.0,0.9924959983641977,0.9911376536049423,0.9938466753426197,0.9925784550750733,0.9901705870550247,0.9920294203677911,0.9933795757680574,0.9909162875121152,0.9931722311128348,0.9931849331094055,0.9931383668191313,0.9946813588955157,0.9940177219910055,0.993792697524746,0.9929618715147305,0.9922288982808338,0.9929831514833936,0.9930043234803709,0.9928907719652924,0.9937869386888201,0.9921186394267881,0.9924947233562581,0.9935845441630805,0.9925404670197371,0.9945368532648962,0.9922278804360369,0.9911892010969128,0.9921626909311985,0.9926546070774892,0.9932314895782777,0.9934179009987419,0.9912681617443346,0.993101976891116,0.993027904775904,0.9932741722195833,0.992114431491249,0.9908841359017015,0.9883638376447976,0.9885762045210033,0.9918213373596894,0.9916764019971192,0.9935557022479558,0.9907772997622624,0.9917481773546267,0.991773960405256,0.9893164343265906,0.992962477409568,0.9915423609546513,0.9897881382382657,0.9920691256561565,0.9912339577894392,0.9925425247817791,0.9929678895945034,0.9920755757601633,0.9901828952273953,0.994305147290649,0.9924606104697048
QC13,0.994389584758517,0.9941805506848752,0.9924959983641977,1.0,0.9954033934573248,0.9950720234827521,0.9957805755480512,0.9940688835996959,0.9929354912008399,0.9957217996946196,0.9908879253257423,0.9921896277715077,0.9928379551788205,0.9935223513620727,0.9954128121653858,0.9931432054565684,0.9952695355589277,0.9948739155678391,0.9960606299699284,0.9950186618640687,0.994285408041751,0.9952831593453692,0.9948073371135314,0.9932464169514245,0.9947136552322259,0.9946235716423827,0.9947794563807179,0.9948095923337977,0.9962393816019827,0.9941240585114355,0.9950994853935564,0.9945147184514552,0.9913571038693876,0.9958454047484012,0.9920256049803015,0.9946884334318239,0.9950399085559505,0.9934370699361262,0.9946855012475927,0.9916762945580998,0.9917108827737183,0.9931677661018062,0.9925990090848883,0.9949371477149668,0.9936318127791627,0.9938116685421948,0.9946350559460049,0.995073960405212,0.9923805376307463,0.9922568422481508,0.9933290005620135,0.9928941597383681,0.9898960887121091,0.9932549640137818,0.9958807628949964,0.9929378046109575,0.9939262754773046,0.9909391876639893,0.9949636956216893,0.9962170433573131
QC14,0.9945031700412214,0.993139805687712,0.9911376536049423,0.9954033934573248,1.0,0.9951156781377892,0.9955977184798723,0.9946536939692794,0.9920185874064293,0.9953675617250405,0.9889301374946705,0.99372480211776,0.9923180000671475,0.9950506880867763,0.9935329901491994,0.9942784727207613,0.9921742002977788,0.9943821025637517,0.9946002345576685,0.9918696307513819,0.9956354740969212,0.993511986056259,0.9947001363329874,0.9930322932304316,0.9942071496341728,0.9935047726955903,0.9952079159795338,0.9952634950667372,0.9954024990170403,0.992320967128697,0.9943077229435905,0.992283143043243,0.9916636188878953,0.994228566113629,0.9892118718297789,0.9944908728304774,0.9951655990367828,0.9921577155674203,0.9942070164615106,0.9918721945063753,0.9905347441556357,0.9900949222673363,0.991645068209916,0.9957473918612779,0.9920545944191304,0.9934634692905271,0.9938743568235173,0.9930574060101934,0.9922106855184516,0.9921274932505084,0.9925174081478061,0.9932855737390144,0.9915084195610898,0.9932471324148469,0.9958659110653052,0.9933089742261814,0.9942433736877733,0.992799589628459,0.9956280838758773,0.9949493863222468
QC15,0.9946096273039888,0.9932766538614866,0.9938466753426197,0.9950720234827521,0.9951156781377892,1.0,0.9958699697885082,0.994995239245792,0.9925124590980973,0.9956900375369823,0.990391626850839,0.9915341633809667,0.9927001321866595,0.994462927574533,0.9950932336711967,0.9939848124613114,0.9960128477540957,0.9939929700277593,0.9951184153500673,0.9943064290037268,0.9948132543573324,0.9946818057063933,0.9948200669292662,0.9950063086315295,0.9946533020350944,0.9947872803814131,0.9945463228658492,0.995103558106408,0.9957963446353278,0.9936205009618114,0.9955885399036518,0.9929820614637263,0.9951550401172061,0.9949663422627587,0.9923736489048729,0.9949391864692961,0.9953717873773165,0.9951416688000697,0.9942467054042974,0.9933910178199511,0.9911382761800472,0.9940608617970648,0.993287101503629,0.9951118299095326,0.9952838357577342,0.9940363256870701,0.9956220891498606,0.9948696652076819,0.9924943564093315,0.9917405247568644,0.9944821556936021,0.9932649848665507,0.9921641413839801,0.9931629644728944,0.9959404218332762,0.9941201356530809,0.9939782737465382,0.9934072846786516,0.9946857168225283,0.9950557867477393
QC16,0.9945379508369595,0.9949900409796929,0.9925784550750733,0.9957805755480512,0.9955977184798723,0.9958699697885082,1.0,0.9954764219550506,0.9935109829362271,0.9963349196135506,0.9915075793559459,0.9929444376843217,0.9940511885518498,0.9940391445187305,0.9949815602056757,0.9943315799464242,0.9953431106516769,0.9944641304802507,0.9957277847849847,0.9952911448908848,0.9958480288659475,0.9956582362776064,0.9943999448007413,0.9950994957001407,0.9959882041809996,0.9944353241319523,0.9943743256225553,0.9945112410750555,0.9949611563973962,0.9925389249289592,0.9947345550969308,0.9946136360462721,0.9933457759875354,0.9950318872111839,0.9926287973957407,0.9946924685048564,0.9952685833976674,0.994173530443129,0.9938115549437593,0.9924576123459584,0.9911988549661637,0.9915606045090147,0.9928366247426967,0.9954379098768777,0.9934588421681633,0.9941668313081052,0.9943744821887567,0.9932945991381942,0.9920119350142453,0.9937080399237045,0.9941603090693776,0.9942827053841089,0.99162998326161,0.9931998834102344,0.9950151841307353,0.9934629820804598,0.9946776068851474,0.9935002572635121,0.9945567895944817,0.9953732769904536
QC17,0.9939224095640815,0.9939922594540915,0.9901705870550247,0.9940688835996959,0.9946536939692794,0.994995239245792,0.9954764219550506,1.0,0.9915166362925011,0.9962188005353251,0.9894155505118457,0.9938240374842443,0.9929469710000856,0.9937430261178642,0.9928061651881962,0.994601394237851,0.9924631631702854,0.993250091099396,0.9948507530047649,0.99235615641001,0.9947153520684285,0.9937121436280584,0.9946040210576185,0.9939146070559312,0.9946801336295713,0.9950635506668253,0.9946982791709881,0.9940313094832554,0.9948751034821279,0.9927374184113016,0.9944679359363586,0.9900496091574247,0.9939023065714863,0.9934336459422817,0.9895195694089595,0.9947558851588034,0.9947791196163087,0.992162087827169,0.9938766608960613,0.9924418297421538,0.9907544951051706,0.9923180932934923,0.9918645169546106,0.9942868738208633,0.993029691803987,0.9935635298133632,0.9941582136212036,0.9929650664645874,0.9885154970982161,0.9901946908168131,0.9938579637578264,0.993237469534415,0.9912048279313777,0.9932080609516093,0.9947381367310081,0.9925998033220582,0.9931785133937099,0.9938479933024571,0.9952232711678424,0.9949445062020685
QC18,0.9934340654733326,0.9897454525329609,0.9920294203677911,0.9929354912008399,0.9920185874064293,0.9925124590980973,0.9935109829362271,0.9915166362925011,1.0,0.9933597631817416,0.9886782051221908,0.9915215503843272,0.992779096819232,0.9921449220000785,0.9929470025781539,0.991142596922644,0.9931964946461778,0.9922753929723265,0.9914298512500219,0.992748884410264,0.9922137903628574,0.9933252844285364,0.9933879119250951,0.9902403988943818,0.9927033500900532,0.9933496152552757,0.9926170459183622,0.9927529119334552,0.9912911102337169,0.9898056713504104,0.9913755173455232,0.991132755006913,0.9891745775618942,0.9923705167455608,0.9935726175351821,0.9919675317141721,0.9935246575258664,0.99143170606218,0.9919105561454903,0.9895280439793819,0.9899232635837879,0.9873726865044767,0.9893516720700158,0.9921689632720486,0.9903817047754647,0.9904306354554941,0.9910558651607705,0.9888255223800112,0.9863131199654132,0.9898230514572636,0.9899986944009914,0.9887452862287355,0.9889197509665396,0.9881177997372596,0.9919320791294738,0.9917704054890834,0.9911317210806968,0.9906866759299687,0.9927203623876842,0.9916552280966549
QC19,0.9950298802955183,0.9945424097295955,0.9933795757680574,0.9957217996946196,0.9953675617250405,0.9956900375369823,0.9963349196135506,0.9962188005353251,0.9933597631817416,1.0,0.9902562601352787,0.9938507228511986,0.9951616528583144,0.9944126522708387,0.9958815763551744,0.9948010788944588,0.995672754264017,0.9951280922131056,0.9957698916548889,0.9949573667182916,0.9955813031485581,0.9955690573230738,0.9959495041540615,0.9939366352197989,0.9945054689564894,0.9948045602496985,0.994246879974337,0.995097871732016,0.9956817158722802,0.9950648118965547,0.9946325560141349,0.9930985286603947,0.992833629303114,0.9947927403332116,0.9913063433964396,0.9937628046665233,0.9952438554888797,0.9938383907716162,0.9944471534198279,0.992232378170741,0.9913103081923799,0.9938748982553088,0.9932686437414221,0.9949870180112924,0.9931961634779161,0.9940350134915061,0.9943048780027928,0.9939397219407226,0.9922536268400187,0.9925307676661412,0.9946262547478366,0.9931563572620539,0.9907244318148676,0.9919347329729449,0.9949990551799063,0.9935192474124723,0.994157106955343,0.9935121964813898,0.9958476263567344,0.9953827919110612
