,Principal component,statistic,pvlaue,ev,annot
0,1,0.23276899142688762,7.695610148455426e-15,0.0668448138389933,others
1,2,-0.1392218316026457,4.079840203639684e-06,0.04664163383237225,others
2,3,-0.14746180928152008,1.0454095469194715e-06,0.040871853884233304,others
3,4,0.15222187791387234,4.598622834397513e-07,0.030824339603652575,others
4,5,0.030093967228466842,0.3215530266126187,0.01676147909466838,others
5,6,0.04594283213858824,0.13008236096210354,0.015681842149291463,others
6,7,-0.09313253552482728,0.0021142203824748387,0.014978286470275659,others
7,8,0.08249634625661506,0.00650082561707323,0.011915178471279785,others
8,9,-0.16345455668969383,5.982244566883008e-08,0.01086999934607064,others
9,10,-0.08244562068713912,0.0065339245981553455,0.010409698018126076,others
10,11,0.056312286041032555,0.06346283885751412,0.00965787400823759,others
11,12,0.08177458255555603,0.006986253037874337,0.009329565963073027,others
12,13,-0.038491988065800384,0.20476993681459588,0.008591639068385518,others
13,14,0.07080680906069542,0.01955789864072899,0.007976057474061667,others
14,15,0.12881874789741696,2.0443858304120282e-05,0.007789323326637583,others
15,16,-0.11206010769397749,0.00021390571635011206,0.007065784470354218,others
16,17,0.17949424378327705,2.529745767821638e-09,0.0067233090846846285,others
17,18,0.026283166871496948,0.38665458338722475,0.0065863781798023635,others
18,19,0.016063582940476856,0.5967804628168087,0.006351759497417666,others
19,20,-0.0381111588573528,0.2092888701831779,0.006170749723458953,others
20,21,-0.09502354610950847,0.001710410759935437,0.0059527569003066955,others
21,22,0.03449898255723924,0.2557682236765171,0.005575794419145196,others
22,23,0.03253005695769616,0.2839198320723347,0.005511977820877691,others
23,24,0.059169489288236135,0.05114470281182044,0.005243399791148715,others
24,25,0.05334001199249735,0.07877620651050733,0.005058101480674869,others
25,26,-0.12821462440221532,2.2367698075893814e-05,0.004908940157670145,others
26,27,0.08651944336998645,0.004309230664809507,0.004770388261400787,others
27,28,-0.011036947109059989,0.7162485566110511,0.00467715017175456,others
28,29,-0.05095695648095544,0.09311449778982148,0.004530355381146788,others
29,30,-0.004934179713695718,0.8709183026883205,0.0044536651338539365,others
30,31,0.04388847947063361,0.1481712609178865,0.004296409415734034,others
31,32,-0.022590889184075903,0.4568447426258981,0.004228711697865312,others
32,33,-0.1355624519490895,7.2904578153925395e-06,0.0041553409151681405,others
33,34,0.06958835198449671,0.021764775794256695,0.004094477153526309,others
34,35,0.05569120016238012,0.06644152869630675,0.00401033073207972,others
35,36,0.004705187081023279,0.8768600263676719,0.003954408100212209,others
36,37,-0.008351617886656759,0.7832869030604088,0.0037827430468774952,others
37,38,0.05469601679316927,0.07145341840456916,0.0037686699325743507,others
38,39,-0.08106046755393297,0.007498282136008943,0.0036854010670942187,others
39,40,-0.0047701603678889475,0.8751734305104174,0.00365791273330707,others
40,41,-0.03810116796566762,0.20940838580906765,0.0035505589224743,others
41,42,0.06310718344899371,0.037497683001814795,0.0035117039534678343,others
42,43,-0.020507736455737124,0.49940472812009307,0.003421122872575347,others
43,44,0.029984502918011025,0.32331713070865337,0.0033454739280451345,others
44,45,0.03747859962523691,0.21695348377979995,0.0033157832807706763,others
45,46,0.003957102845711167,0.8963173480706539,0.0032905431678002042,others
46,47,0.04465380595918776,0.14122031926933806,0.003258811802717738,others
47,48,-0.08668298065400327,0.004236317818243667,0.003201121208530645,others
48,49,0.03821027007588187,0.20810592797494692,0.0031586792128782326,others
49,50,-0.05093613114325645,0.09324845208089197,0.0031539983983196623,others
50,51,-0.0625439388406056,0.039236307693629575,0.003099268501936046,others
51,52,0.0509890749217373,0.09290820554093156,0.0030581280187565816,others
52,53,-0.03168984712029919,0.2965481895246371,0.0030462464529388516,others
53,54,0.0381734264871429,0.20854510811408794,0.002998436893787502,others
54,55,-0.08475324109111489,0.005172265382232769,0.002993088375044121,others
55,56,0.04243315129619239,0.16210478095512135,0.0029516673799252855,others
56,57,0.01603189645276968,0.5975046614720774,0.0029096188841266023,others
57,58,0.011019731278480674,0.7166720812331591,0.002898799756475012,others
58,59,0.07429484605267268,0.014283802018751622,0.0028693120468506425,others
59,60,0.027519605497224448,0.36470278690231817,0.0028628505620825503,others
60,61,-0.024418753290848944,0.42123979800061373,0.0028220569409358656,others
61,62,-0.01750444954932983,0.5642797613634236,0.002774284416910318,others
62,63,0.035410837010125304,0.24340966178310414,0.0027513153101817074,others
63,64,-0.01267605379162809,0.6763409538402398,0.0027368343926814052,others
64,65,-0.058535978569941687,0.053687840338697,0.0027123908418627825,others
65,66,0.00028601453204461856,0.9924848690967463,0.002707252171570254,others
66,67,0.0273660801878617,0.3673854052800693,0.0026602260207677494,others
67,68,-0.019096563961968616,0.5293879391327835,0.002651194966301816,others
68,69,0.0069957515801827115,0.8177924942776329,0.002649601609078641,others
69,70,0.05961343463712321,0.04942322537924174,0.0026339430031680723,others
70,71,-0.013231507179163824,0.6630139501911986,0.002619594244030631,others
71,72,0.028119149018076304,0.35434417956879516,0.002595549796415244,others
72,73,0.03299989548885013,0.2770189783831292,0.002583273070810452,others
73,74,0.021649226757041375,0.475826899820652,0.0025568612281558697,others
74,75,0.019098200062533943,0.5293526549394311,0.0025434831239079733,others
75,76,0.016048660402128864,0.5971214696072263,0.0025172039071527444,others
76,77,-0.01704082701939203,0.5746441662065975,0.002503492043565845,others
77,78,0.014169737195852874,0.6407448260341828,0.002485163283117589,others
78,79,-0.04881163754868898,0.10774510787359394,0.0024703867089422953,others
79,80,-0.02636048174310645,0.3852587735085604,0.0024612894694950975,others
80,81,-0.01383406457012276,0.6486763857729417,0.002441521679989242,others
81,82,-0.038561713104510176,0.2039503092347211,0.002432635589778195,others
82,83,-0.03335086982868221,0.271939043727394,0.0024097295115256354,others
83,84,-0.05240698624262576,0.0841603715800123,0.0024055439967105787,others
