,Principal component,statistic,pvlaue,ev,annot
0,1,-0.09461177698828166,0.002346031306859625,0.06734297497432112,others
1,2,0.12718314567921485,4.177700119125667e-05,0.04688715347772645,others
2,3,-0.17564274910793976,1.3481040795984832e-08,0.04129838675800079,others
3,4,-0.07834346128021716,0.01181625116112749,0.03095114802391805,others
4,5,0.11451792963710734,0.0002273269848695668,0.01714043571661385,others
5,6,0.2218299938916664,5.695438775692368e-13,0.015804738979165494,others
6,7,-0.02992125611849816,0.3369227827565493,0.01506851273306893,others
7,8,-0.09774464911907878,0.0016679893470905808,0.012063067192706422,others
8,9,0.14523598995915726,2.801276848380061e-06,0.011064983843395793,others
9,10,0.015013824689520587,0.6299778017932428,0.010185020777460693,others
10,11,0.057445115393586973,0.06508158115547667,0.009774077398427575,others
11,12,0.0026364004479085355,0.9325863726568111,0.009438399079213672,others
12,13,-0.0051694955017818406,0.868260333008047,0.008552963759351743,others
13,14,-0.006493762774405046,0.8349479422778334,0.008031649191602548,others
14,15,-0.017322400051982052,0.5783166904523966,0.007938888775321595,others
15,16,-0.041323600900766304,0.18468459244399899,0.00711009564254512,others
16,17,-0.1441949945581783,3.304233497672719e-06,0.006724124620188765,others
17,18,-0.11528740165187366,0.00020605670271883978,0.006636337182860862,others
18,19,-0.004557426158742545,0.8837401910842658,0.006318755383443749,others
19,20,-0.017672884519642714,0.5706507569805239,0.006210116047116776,others
20,21,0.020694333954242385,0.506648149681672,0.006051727274446607,others
21,22,-0.0433255925173754,0.16428898727712776,0.0056738698884771736,others
22,23,0.09686977148089944,0.0018364836745465608,0.0055043789435366116,others
23,24,-0.04144581468837199,0.1833882321228365,0.005215895996309189,others
24,25,0.07982128359602199,0.01031087180212637,0.005036795900397689,others
25,26,-0.021752444101789895,0.4851598780421273,0.0049207769669538945,others
26,27,-0.0445777267626428,0.1524231928651232,0.004879976578212639,others
27,28,0.05660298069081784,0.06912366517294423,0.004726389683273251,others
28,29,0.0741547345392495,0.017191014058966513,0.004568574340113851,others
29,30,0.026119472115732355,0.4019140097583016,0.004421406225321995,others
