,Principal component,statistic,pvlaue,ev,annot
0,1,-0.1526845577219711,8.310508840624771e-07,0.06734297497432112,others
1,2,0.10541832752152863,0.0006941256330253619,0.04688715347772645,others
2,3,0.17908239456726432,6.918237787062331e-09,0.04129838675800079,others
3,4,-0.11442861952852794,0.00022992487061636516,0.03095114802391805,others
4,5,-0.01683687250338438,0.5890155139877236,0.01714043571661385,others
5,6,-0.11890013297586072,0.0001288755490740229,0.015804738979165494,others
6,7,0.1144770636502904,0.0002285122770694603,0.01506851273306893,others
7,8,0.10056475728026076,0.0012168238945094141,0.012063067192706422,others
8,9,-0.005533626348804302,0.8590745708933661,0.011064983843395793,others
9,10,0.0601687662512296,0.05332059674223172,0.010185020777460693,others
10,11,0.06141591387453301,0.0485591262796839,0.009774077398427575,others
11,12,-0.11907080482137682,0.00012600815656863874,0.009438399079213672,others
12,13,-0.05353152410650029,0.08564431267639573,0.008552963759351743,others
13,14,0.01883038296254196,0.5456828058167994,0.008031649191602548,others
14,15,0.02366158937913614,0.4476683903506034,0.007938888775321595,others
15,16,0.16637508961836836,7.624711780216966e-08,0.00711009564254512,others
16,17,-0.01315938776282388,0.6728439461622924,0.006724124620188765,others
17,18,-0.10741736169075079,0.0005470765944754236,0.006636337182860862,others
18,19,0.12449245350696969,6.070527535855325e-05,0.006318755383443749,others
19,20,-0.0047041194671717575,0.8800258975444007,0.006210116047116776,others
20,21,-0.07947313217240841,0.010649280023977196,0.006051727274446607,others
21,22,-0.016852006321514876,0.5886806601076345,0.0056738698884771736,others
22,23,0.17907468554656822,6.928690890534617e-09,0.0055043789435366116,others
23,24,-0.1949279108880897,2.699959290856461e-10,0.005215895996309189,others
24,25,0.0458085447865821,0.14140556729769374,0.005036795900397689,others
25,26,-0.03992930989203298,0.19995634110812754,0.0049207769669538945,others
26,27,0.05061681607084966,0.10413612982068103,0.004879976578212639,others
27,28,-0.2633019222129547,7.939305160280014e-18,0.004726389683273251,others
28,29,-0.08859599525312338,0.00439565015214762,0.004568574340113851,others
29,30,0.05328269221569766,0.08711167056981674,0.004421406225321995,others
30,31,0.04227832257864158,0.17473620550978153,0.004340659033312204,others
31,32,-0.06005216848430971,0.053785008403920365,0.004211240097321595,others
32,33,0.017513620178740093,0.5741282550369328,0.004167277483127526,others
33,34,-0.04672845568801973,0.13357800799110725,0.004136791572272654,others
34,35,0.010775316059832256,0.7295344112095692,0.004028264419676199,others
35,36,-0.05740662152789914,0.06526200117368713,0.003925653929845752,others
36,37,0.04943016285729287,0.11251770144450393,0.003843044589039925,others
37,38,0.06871649077848123,0.0272836895705582,0.003812253447067742,others
38,39,-0.013298424658776594,0.6695907223710056,0.0037200800484400993,others
39,40,-0.10597456427888095,0.0006498971603530331,0.0036306818846756194,others
40,41,-0.06991102493487299,0.024710333984355414,0.0035089175708295155,others
41,42,0.09082461768910373,0.0034978427947303945,0.003489719780172019,others
42,43,-0.14689074244843467,2.1494753586191524e-06,0.0034154288623685263,others
43,44,-0.053356504690080006,0.08667430101234996,0.0033817171034814827,others
44,45,-0.022461228888142094,0.4710461292458224,0.0033649719990754283,others
45,46,-0.009725124845614932,0.7550055446529133,0.0033349071981649044,others
46,47,0.018343763813983883,0.5561133233036017,0.0032863252936071096,others
47,48,-0.08827443832999346,0.004541145280464178,0.0032407176102732024,others
48,49,0.047092079576664225,0.13057788305912393,0.0031901298841680924,others
49,50,-0.017577529022308195,0.5727316176177941,0.0031829994152331714,others
50,51,0.05228207624194192,0.09321800573624979,0.003148929933563464,others
51,52,0.00822683685378648,0.7918035682562745,0.003071547161529971,others
52,53,0.05165412399280786,0.09722216161912633,0.0030681753897742014,others
53,54,0.0187936190279627,0.546467432384404,0.0030350210214434388,others
54,55,0.10391595107778036,0.0008279314793018603,0.0030269144136353256,others
55,56,-0.005690067360016172,0.8551338718771254,0.002997264587649002,others
56,57,0.029618483593570822,0.34183692458232434,0.002961037718820387,others
57,58,0.031789373602201895,0.30761175470481544,0.0029212665301866147,others
58,59,0.05550165540059977,0.07471822202223216,0.002873872104397892,others
59,60,0.07153398377779338,0.021552031621235323,0.0028664808120612045,others
60,61,-0.02611206681498312,0.40204751413377865,0.002838517206409656,others
61,62,0.08201412494839438,0.00839064406222873,0.002823333280449125,others
62,63,-0.02217703699038578,0.4766777994028553,0.002810509072394093,others
63,64,-0.07799566817015371,0.012197646374963421,0.0027704812858144155,others
64,65,-0.05718499969503886,0.06630876691714989,0.0027641299155355646,others
65,66,-0.006912717294772019,0.8244673353618003,0.0027295827787828355,others
66,67,0.014471364142794508,0.6423970339190932,0.00271185965150269,others
67,68,0.02290089482797861,0.4624062064680317,0.00270250929999229,others
68,69,-0.036477584611858356,0.24167796140838124,0.0026905642283115536,others
69,70,0.019241037143635894,0.5369566170554793,0.0026632142197866747,others
70,71,-0.023568368664971986,0.4494600037781655,0.002638801010889427,others
71,72,0.08687431701112053,0.0052267654947725705,0.0026214811689282917,others
72,73,0.023558086017547993,0.44965787481098524,0.002593652469196154,others
73,74,0.04667286128675444,0.13404135319074356,0.002580530138073766,others
74,75,-0.05684577586066751,0.06793770766105055,0.002556236580504515,others
75,76,0.006840629350302508,0.8262685250235446,0.002550978262130579,others
76,77,-0.031046214568278024,0.31906381363481306,0.002539997265190421,others
77,78,0.013431544923666376,0.6664817267955678,0.0025207006043081715,others
78,79,0.017409192931806573,0.5764138243158181,0.0024905800590140233,others
79,80,-0.025099433699998397,0.42055260123516447,0.002484704725682816,others
80,81,-0.015386728034437969,0.6215003508973422,0.0024798787316948627,others
81,82,0.0419378052832567,0.17823759891726323,0.0024533379510068764,others
82,83,0.01770647769511074,0.5699185396683468,0.0024488172510001966,others
83,84,-0.006229028708307848,0.841585804581239,0.0024214152506312355,others
84,85,0.08964698191436492,0.003949062583269432,0.0024044943701282623,others
85,86,-0.06788156630829664,0.02921660255849397,0.002382743057830165,others
86,87,-0.006485667501878215,0.8351507493073174,0.002368533585504684,others
87,88,-0.07749501193239934,0.012765794599549,0.0023587486370367948,others
88,89,0.0019302358429240044,0.9506159760456566,0.0023437264841208003,others
89,90,-0.026827251138265857,0.38927691994990554,0.002315092962511175,others
90,91,-0.037567321474677326,0.22789302457014776,0.002304061362698442,others
91,92,0.003319611608318084,0.9151755254053707,0.002300743373038307,others
92,93,-0.03387089531472064,0.27699813596308054,0.002289726517940688,others
93,94,0.03898802189612381,0.21077448814429361,0.002271538204325553,others
94,95,0.006462254616025898,0.8357373628174335,0.0022585504990410067,others
95,96,-0.0047435685638958554,0.8790274873884726,0.002252872015374256,others
96,97,-0.027340318028125973,0.3802690588901053,0.0022398722242556557,others
97,98,0.04462742980834608,0.1519659912951351,0.0022345787289976475,others
98,99,-0.05646792738424106,0.06979066301108237,0.002217058987724839,others
99,100,0.036512280286934005,0.2412302291738736,0.002202853229122188,others
100,101,-0.04531472969929419,0.14575018695042927,0.0021789967885887185,others
101,102,0.03855942681805591,0.215837971467622,0.00217084853486048,others
102,103,0.0419061723350638,0.1785654949605179,0.0021540361157675065,others
103,104,-0.03455350746634759,0.2674263271603496,0.002137712216216894,others
104,105,-0.010400460974416503,0.7385935812329327,0.0021374515894124813,others
105,106,-0.03811416574653976,0.22119037771754796,0.0021282401613069283,others
106,107,0.01796043414521051,0.5643976771553106,0.002121762434733069,others
107,108,-0.012768878864668497,0.6820137733501105,0.00210521819737525,others
