,Principal component,statistic,pvlaue,ev,annot
0,1,-0.1584020216259959,7.905250582846185e-06,0.06791088974429578,others
1,2,0.029116016092262956,0.41438512948277645,0.04788482957750739,others
2,3,0.02357617064600521,0.5087047270965356,0.04208100078382734,others
3,4,0.08550619362240693,0.01635654225735917,0.03194737956494662,others
4,5,0.27718801111235286,2.291077553509902e-15,0.01795182910686449,others
5,6,-0.4376079206209842,3.379187758554945e-38,0.017410131424396968,Pearson corr > 0.3 or < -0.3
6,7,0.1924387543199025,5.197914849937976e-08,0.015777087756756868,others
7,8,0.30464174976539116,2.193438686415566e-18,0.014049635693765395,Pearson corr > 0.3 or < -0.3
8,9,0.081415560791244,0.022277028671874054,0.011536507221067473,others
9,10,0.02303374574887682,0.5185078059664838,0.011066121974648636,others
10,11,-0.02314063665215588,0.5165683193978899,0.010435511453753071,others
11,12,0.14148739226833715,6.733778310637072e-05,0.009386395679415564,others
12,13,-0.16820625751299606,2.0528643660434003e-06,0.009075524823581722,others
13,14,-0.25948650151306263,1.3650979409576387e-13,0.00858309497223385,others
14,15,0.03782974874057202,0.2888601081635181,0.008106602523664365,others
15,16,0.15425401162283417,1.3657316908811505e-05,0.007463178855924563,others
16,17,-0.2524207653807557,6.417354540987669e-13,0.0074576983548557945,others
17,18,0.014367999281122373,0.6871619582813387,0.007180008848772034,others
18,19,0.09719283230018046,0.0063244364340479635,0.006334956081897979,others
19,20,-0.08451916192911922,0.017642025021597136,0.006042973547345889,others
20,21,-0.011335630808751218,0.7507038703016881,0.00593172983284532,others
21,22,-0.07571714995801408,0.033573352427681655,0.00576029029935234,others
22,23,-0.1490617817086958,2.6548770334585634e-05,0.005550692423137854,others
23,24,-0.044925658115167036,0.20775687929777925,0.005445960821197921,others
24,25,-0.052570557144764454,0.14037316156198051,0.005282403769207945,others
25,26,0.07915017612224724,0.026296097325364757,0.005190712411184371,others
26,27,-0.015147930989729321,0.6711486901062725,0.005015473916055798,others
27,28,0.044745759300011075,0.20958484071508668,0.004903073538972669,others
28,29,0.03404489829440753,0.33985822621769207,0.004764401604588759,others
29,30,0.07018194150732712,0.04890690467745041,0.0046562896636095,others
30,31,0.10429084704756254,0.0033794664765675548,0.004598928552200934,others
31,32,0.007323080560152092,0.8373806435125387,0.004454629346006794,others
32,33,-0.04175725574087014,0.24166633562285866,0.004410202364252018,others
33,34,0.010892077395551635,0.7601537704225613,0.004291972454815307,others
34,35,-0.006029198318348713,0.8658119598351454,0.004191019630565363,others
35,36,-0.00018182702009423746,0.9959339778012546,0.0041126798496701296,others
36,37,0.006100026733778877,0.8642507579427819,0.004052063930101515,others
37,38,-0.010310220140783354,0.7726044053265452,0.003971305103718132,others
38,39,-0.021597722438241478,0.5449231237434893,0.00393347213655227,others
39,40,0.09140327369667431,0.010254873644440474,0.003861224280771648,others
40,41,0.036727413294779986,0.30315161124621015,0.0038050306995068236,others
41,42,-0.05301839432808539,0.1370199415200805,0.0037701579981629283,others
42,43,0.03523220119532234,0.3232742814741327,0.003691766294312013,others
43,44,-0.06897344932905332,0.052940163580887774,0.0036522786626645627,others
44,45,0.1111302613907668,0.0017822551233609865,0.003614295973011422,others
45,46,0.06198181318741406,0.08206599670566642,0.003585845026325026,others
46,47,-0.01840170538983746,0.606005178449298,0.0034556164364361,others
47,48,0.007664709584125847,0.829907462547333,0.003420028520175206,others
48,49,0.06582937407201347,0.06474875814987814,0.0033718719850902227,others
49,50,0.05327095960972099,0.13515622666309624,0.00333458331920336,others
50,51,0.003699104132889264,0.917427809091877,0.003324830273088938,others
51,52,-0.04045319495114012,0.25669517779442275,0.003308830048678571,others
52,53,-0.01809178913793414,0.6120874472686567,0.0032440649957213527,others
53,54,0.011584170527193495,0.7454249051861821,0.003205359640966485,others
54,55,-0.05496460012416341,0.12315963042000042,0.003170822889131209,others
55,56,0.0007379144443203983,0.9834998340400797,0.0031634190056486315,others
56,57,-0.014049974583927552,0.693732452202639,0.0031277245242271033,others
57,58,0.03145888331439802,0.37782582923941205,0.003114389545822366,others
58,59,0.06791279212822708,0.056705109499935666,0.003090028541963515,others
59,60,-0.012040913547671695,0.7357549221627677,0.003080656079274264,others
60,61,0.019688955135622323,0.5810364465575849,0.0030480967930888348,others
61,62,-0.03793941509443712,0.2874635125928498,0.002991499753620101,others
62,63,0.07149469753289131,0.044820646122782026,0.0029840298534936907,others
63,64,-0.045862459929914466,0.19842434654323263,0.002960651658293233,others
64,65,0.018428121376706855,0.6054880015064832,0.0029496142234812592,others
65,66,0.010973932504400458,0.7584071103673609,0.002894841640171629,others
66,67,-0.026977140824996554,0.4495173586438195,0.0028732592889051138,others
67,68,0.054720240880816576,0.12483739832724529,0.00284749012182382,others
68,69,0.06602887508918824,0.06393992633044672,0.00283697964747135,others
69,70,0.02702184857555616,0.44876617187265655,0.00281894721809814,others
70,71,-0.010608588637725673,0.7662123649858493,0.002792949119255558,others
71,72,0.030635345673307442,0.39044449769232875,0.0027823020835134535,others
72,73,0.018394974444071316,0.6061369896503307,0.002754167796232803,others
73,74,-0.029940803507877665,0.4012828288549495,0.0027298246127220533,others
74,75,0.019257541514372457,0.5893509320702551,0.002709273081417972,others
75,76,0.014206672131642256,0.6904921202517157,0.002681939402931483,others
76,77,-0.07502191888056284,0.03523994661578439,0.002674994251306121,others
77,78,0.008509956461051942,0.8114848156340273,0.0026643704063658595,others
78,79,-0.035153460960522236,0.3243575265029116,0.002643319396955384,others
79,80,0.03822475749501008,0.283851030342366,0.002638615859814416,others
80,81,-0.03770187278518947,0.29049435629311354,0.0026165902910797404,others
81,82,-0.004814693101362898,0.8926584388813407,0.002605411383861551,others
82,83,-0.017410632942618482,0.6255492075897309,0.0025943711151497502,others
83,84,-0.02323112329929409,0.5149294184849268,0.0025666104250273137,others
84,85,-0.016172408520775956,0.6503398523240694,0.002563535853172785,others
85,86,-0.002206878755836672,0.950680874822198,0.0025341025884092565,others
86,87,0.022561123693524015,0.5271281156514621,0.0025153315960564104,others
87,88,-0.04015724956445506,0.26019412915114243,0.0025040800188664966,others
88,89,-0.03625675824457086,0.30939408176099387,0.0024941430429748913,others
89,90,0.02179027408326103,0.5413428218569967,0.0024815774102287776,others
90,91,0.02499304596183219,0.4835627091926475,0.0024621587573789025,others
91,92,-0.003737801404024596,0.9165671333435801,0.00244998016394148,others
92,93,-0.011432283509834098,0.7486495742237083,0.002420461401036686,others
93,94,0.002308548458651485,0.9484118626322036,0.002399216311660135,others
94,95,0.023146993546463043,0.5164530947960358,0.002383814071616019,others
95,96,0.006594669718954896,0.8533628949886183,0.0023720793156404582,others
96,97,0.012240553809717844,0.7315412034666263,0.0023524615271396814,others
97,98,0.03482241590049308,0.32893755400986785,0.0023407455181560753,others
98,99,-0.023681056256282806,0.5068204115499242,0.0023341663968472616,others
99,100,0.0009926899584760888,0.9778041944902128,0.0023257521791917777,others
100,101,-0.0144442056598974,0.6855909836083723,0.0023096311220915113,others
101,102,-0.03322573303099057,0.35161186503191455,0.002301014814517394,others
102,103,-0.002699336656176116,0.9396945002596274,0.002286316201437737,others
103,104,-0.0007388845125208528,0.9834781458832076,0.002270227093477499,others
104,105,0.013398585032331501,0.7072618817628615,0.0022543543437621378,others
