,Principal component,statistic,pvlaue,ev,annot
0,1,-0.049402617595081466,0.11271838734150846,0.06734297497432112,others
1,2,0.05891981408342845,0.0584730281356311,0.04688715347772645,others
2,3,0.08624705906868348,0.005563171794015197,0.04129838675800079,others
3,4,-0.02322950658615062,0.456006705438493,0.03095114802391805,others
4,5,-0.03789947520281216,0.2238048102443939,0.01714043571661385,others
5,6,-0.06405866557929538,0.039639257646347875,0.015804738979165494,others
6,7,-0.044046327064655014,0.15737689240498048,0.01506851273306893,others
7,8,0.06056533947728841,0.05176599927827411,0.012063067192706422,others
8,9,-0.03229018272785198,0.3000494428175265,0.011064983843395793,others
9,10,-0.0023719433419563916,0.9393348745681334,0.010185020777460693,others
10,11,-0.12526107691061186,5.460069408546175e-05,0.009774077398427575,others
11,12,0.10093127756518762,0.0011672784551172255,0.009438399079213672,others
12,13,0.01689530442024948,0.5877231228863875,0.008552963759351743,others
13,14,-0.022647489927365535,0.467375077401598,0.008031649191602548,others
14,15,-0.026835554667131844,0.389130111413647,0.007938888775321595,others
15,16,-0.044585182760127566,0.15235454108732324,0.00711009564254512,others
16,17,0.05331198346725855,0.08693789534495952,0.006724124620188765,others
17,18,0.0025976195309003955,0.933575705615118,0.006636337182860862,others
18,19,0.028502756205184183,0.3603385012160949,0.006318755383443749,others
19,20,-0.026455873250183483,0.3958773409015168,0.006210116047116776,others
20,21,-0.022877408025996387,0.46286550464615317,0.006051727274446607,others
21,22,-0.02434772737733124,0.43460682582217625,0.0056738698884771736,others
22,23,-0.07224896223106196,0.020275971496801663,0.0055043789435366116,others
23,24,-0.01590683854744585,0.6097598262662134,0.005215895996309189,others
24,25,-0.05053355556192137,0.10470758090508216,0.005036795900397689,others
25,26,-0.14144064686218327,5.086493632983545e-06,0.0049207769669538945,others
26,27,0.11200513090283899,0.00031200123615538535,0.004879976578212639,others
27,28,-0.07852203799627465,0.011624555130689725,0.004726389683273251,others
28,29,0.004390564737849221,0.8879682437394749,0.004568574340113851,others
29,30,0.043260567966742776,0.16492365310608847,0.004421406225321995,others
30,31,-0.013981188007995804,0.6537058986685169,0.004340659033312204,others
31,32,0.09855143461326726,0.0015253172064012125,0.004211240097321595,others
32,33,0.02822426816235036,0.36505265091911066,0.004167277483127526,others
33,34,0.05686750951585545,0.06783236725139805,0.004136791572272654,others
34,35,-0.052159769247939455,0.09398736105866434,0.004028264419676199,others
35,36,0.03524676966222431,0.25794013347287437,0.003925653929845752,others
36,37,-0.007165130758303138,0.8181678618239597,0.003843044589039925,others
37,38,-0.00032821855592432607,0.9915975027874935,0.003812253447067742,others
38,39,-0.03085256446260897,0.32209314585224913,0.0037200800484400993,others
39,40,-0.03842892195829414,0.21739700753462654,0.0036306818846756194,others
40,41,0.011228650433292369,0.7186288837140151,0.0035089175708295155,others
41,42,0.03183587777393425,0.30690427325446545,0.003489719780172019,others
42,43,0.07532759124298836,0.015503984144897434,0.0034154288623685263,others
43,44,-0.06203111408982125,0.04634492858157208,0.0033817171034814827,others
44,45,0.0033151563207144898,0.9152889408939088,0.0033649719990754283,others
45,46,-0.043808206903507084,0.15963577555500663,0.0033349071981649044,others
46,47,0.014759102893575488,0.6357967468051438,0.0032863252936071096,others
47,48,-0.02774681648590678,0.3732238122949432,0.0032407176102732024,others
48,49,-0.08399164995186574,0.006939933823898158,0.0031901298841680924,others
49,50,0.10586335649593262,0.0006585247214589649,0.0031829994152331714,others
