,annotation,category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04610,query,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,3/17,88/8843,0.0005854180176491122,0.0240021387236136,0.020951802736915593,CFB/CFHR5/SERPING1,3
GO:0006953,query,,,GO:0006953,acute-phase response,6/32,48/18870,1.6888589602553954e-10,1.5182842052696004e-07,1.0595367792760165e-07,CRP/ITIH4/LBP/SAA1/SAA2/SERPINA3,6
GO:0030595,query,,,GO:0030595,leukocyte chemotaxis,8/32,240/18870,4.925365381151699e-09,1.5752407783450235e-06,1.0992840043248452e-06,DDT/DPP4/LBP/MMP2/PPBP/S100A8/S100A9/SAA1,8
GO:0097529,query,,,GO:0097529,myeloid leukocyte migration,8/32,242/18870,5.256643309271491e-09,1.5752407783450235e-06,1.0992840043248452e-06,DDT/DPP4/LBP/MMP2/PPBP/S100A8/S100A9/SAA1,8
GO:0050900,query,,,GO:0050900,leukocyte migration,9/32,396/18870,1.3194825553006643e-08,2.9655370430382427e-06,2.0695042183136733e-06,DDT/DPP4/LBP/LYVE1/MMP2/PPBP/S100A8/S100A9/SAA1,9
GO:0002526,query,,,GO:0002526,acute inflammatory response,6/32,107/18870,2.3194084474970585e-08,3.4752469904997594e-06,2.4252060258039417e-06,CRP/ITIH4/LBP/SAA1/SAA2/SERPINA3,6
GO:0030593,query,,,GO:0030593,neutrophil chemotaxis,6/32,107/18870,2.3194084474970585e-08,3.4752469904997594e-06,2.4252060258039417e-06,DPP4/LBP/PPBP/S100A8/S100A9/SAA1,6
GO:0060326,query,,,GO:0060326,cell chemotaxis,8/32,325/18870,5.213809594785277e-08,6.69602117958852e-06,4.672827847356429e-06,DDT/DPP4/LBP/MMP2/PPBP/S100A8/S100A9/SAA1,8
GO:1990266,query,,,GO:1990266,neutrophil migration,6/32,129/18870,7.112333231857932e-08,7.439371158461082e-06,5.191575681099239e-06,DPP4/LBP/PPBP/S100A8/S100A9/SAA1,6
GO:0071621,query,,,GO:0071621,granulocyte chemotaxis,6/32,130/18870,7.447646321040015e-08,7.439371158461082e-06,5.191575681099239e-06,DPP4/LBP/PPBP/S100A8/S100A9/SAA1,6
GO:0097530,query,,,GO:0097530,granulocyte migration,6/32,156/18870,2.1993496457319396e-07,1.977215331513014e-05,1.3798025145855119e-05,DPP4/LBP/PPBP/S100A8/S100A9/SAA1,6
GO:0006935,query,,,GO:0006935,chemotaxis,8/32,468/18870,8.4033578921405e-07,6.500715546043948e-05,4.5365335348541576e-05,DDT/DPP4/LBP/MMP2/PPBP/S100A8/S100A9/SAA1,8
GO:0042330,query,,,GO:0042330,taxis,8/32,470/18870,8.677262130425737e-07,6.500715546043948e-05,4.5365335348541576e-05,DDT/DPP4/LBP/MMP2/PPBP/S100A8/S100A9/SAA1,8
GO:0006959,query,,,GO:0006959,humoral immune response,6/32,258/18870,4.1448421035081025e-06,0.00027060053720981924,0.00018883896748088787,CFB/CFHR5/LTF/PPBP/S100A9/SERPING1,6
GO:0002523,query,,,GO:0002523,leukocyte migration involved in inflammatory response,3/32,19/18870,4.214023938751356e-06,0.00027060053720981924,0.00018883896748088787,LBP/S100A8/S100A9,3
GO:0042742,query,,,GO:0042742,defense response to bacterium,6/32,330/18870,1.6876046479992783e-05,0.001011437719034234,0.0007058332422509262,CRP/LBP/LTF/PPBP/S100A8/S100A9,6
GO:0051235,query,,,GO:0051235,maintenance of location,6/32,350/18870,2.351787618688686e-05,0.0013214106682507055,0.0009221483031174059,CRP/GP5/GSTO1/S100A8/S100A9/TMSB10,6
GO:0030212,query,,,GO:0030212,hyaluronan metabolic process,3/32,34/18870,2.557741505110602e-05,0.0013525938900555477,0.0009439095585423644,ITIH3/ITIH4/LYVE1,3
GO:0048246,query,,,GO:0048246,macrophage chemotaxis,3/32,41/18870,4.5198064007198694e-05,0.0021642045254996146,0.001510293187984041,DDT/MMP2/SAA1,3
GO:0051651,query,,,GO:0051651,maintenance of location in cell,5/32,237/18870,4.573958396495292e-05,0.0021642045254996146,0.001510293187984041,GP5/GSTO1/S100A8/S100A9/TMSB10,5
GO:0006022,query,,,GO:0006022,aminoglycan metabolic process,4/32,121/18870,5.034087234526355e-05,0.0022628222119195967,0.001579113679883004,CHI3L1/ITIH3/ITIH4/LYVE1,4
GO:0052548,query,,,GO:0052548,regulation of endopeptidase activity,5/32,288/18870,0.00011489402097207881,0.004720528296180626,0.0032942273456163605,LTF/S100A8/S100A9/SERPINA3/SERPING1,5
GO:0050832,query,,,GO:0050832,defense response to fungus,3/32,56/18870,0.00011551904618017103,0.004720528296180626,0.0032942273456163605,LTF/S100A8/S100A9,3
GO:0050729,query,,,GO:0050729,positive regulation of inflammatory response,4/32,152/18870,0.00012207952191573728,0.004771716965315123,0.003329949430745054,DDT/LBP/S100A8/S100A9,4
GO:1905517,query,,,GO:1905517,macrophage migration,3/32,61/18870,0.00014912222242152625,0.005585869914873005,0.0038981072176855107,DDT/MMP2/SAA1,3
GO:0052547,query,,,GO:0052547,regulation of peptidase activity,5/32,312/18870,0.00016703451457881463,0.006006561144254174,0.004191687186904149,LTF/S100A8/S100A9/SERPINA3/SERPING1,5
GO:0051238,query,,,GO:0051238,sequestering of metal ion,2/32,12/18870,0.0001819410965612846,0.00622901400988516,0.004346926233700083,S100A8/S100A9,2
GO:0006956,query,,,GO:0006956,complement activation,3/32,67/18870,0.00019712520171354033,0.00622901400988516,0.004346926233700083,CFB/CFHR5/SERPING1,3
GO:0009620,query,,,GO:0009620,response to fungus,3/32,67/18870,0.00019712520171354033,0.00622901400988516,0.004346926233700083,LTF/S100A8/S100A9,3
GO:0034145,query,,,GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,2/32,13/18870,0.00021479358654776415,0.00622901400988516,0.004346926233700083,LBP/LTF,2
GO:0044406,query,,,GO:0044406,adhesion of symbiont to host,2/32,13/18870,0.00021479358654776415,0.00622901400988516,0.004346926233700083,DPP4/LTF,2
GO:0070486,query,,,GO:0070486,leukocyte aggregation,2/32,13/18870,0.00021479358654776415,0.00622901400988516,0.004346926233700083,S100A8/S100A9,2
GO:0032496,query,,,GO:0032496,response to lipopolysaccharide,5/32,348/18870,0.00027712036694621647,0.007785350308895269,0.0054330177203929285,LBP/LTF/PPBP/S100A8/S100A9,5
GO:0017014,query,,,GO:0017014,protein nitrosylation,2/32,16/18870,0.00032940312556870027,0.00870980617312534,0.00607815055228933,S100A8/S100A9,2
GO:0018119,query,,,GO:0018119,peptidyl-cysteine S-nitrosylation,2/32,16/18870,0.00032940312556870027,0.00870980617312534,0.00607815055228933,S100A8/S100A9,2
GO:0002237,query,,,GO:0002237,response to molecule of bacterial origin,5/32,369/18870,0.00036282859714089363,0.009061150686055315,0.0063233368173865314,LBP/LTF/PPBP/S100A8/S100A9,5
GO:0061844,query,,,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,3/32,83/18870,0.000371186654285433,0.009061150686055315,0.0063233368173865314,LTF/PPBP/S100A9,3
GO:0008228,query,,,GO:0008228,opsonization,2/32,17/18870,0.00037292833746835,0.009061150686055315,0.0063233368173865314,CRP/LBP,2
GO:0006957,query,,,GO:0006957,"complement activation, alternative pathway",2/32,18/18870,0.000419100286498281,0.0099150304621567,0.006919218026398213,CFB/CFHR5,2
GO:0002544,query,,,GO:0002544,chronic inflammatory response,2/32,19/18870,0.0004679104350346966,0.010785935412722878,0.00752698027748122,S100A8/S100A9,2
GO:1903510,query,,,GO:1903510,mucopolysaccharide metabolic process,3/32,92/18870,0.0005021022974292909,0.011284749134723313,0.007875078138627825,ITIH3/ITIH4/LYVE1,3
GO:0007596,query,,,GO:0007596,blood coagulation,4/32,224/18870,0.0005354806013690824,0.011741391722702563,0.008193746814274021,FGL1/GP5/SAA1/SERPING1,4
GO:0050817,query,,,GO:0050817,coagulation,4/32,229/18870,0.0005818015155918848,0.012281665450471572,0.008570777599064525,FGL1/GP5/SAA1/SERPING1,4
GO:0002685,query,,,GO:0002685,regulation of leukocyte migration,4/32,230/18870,0.0005913970890851644,0.012281665450471572,0.008570777599064525,DDT/DPP4/LBP/LYVE1,4
GO:0007599,query,,,GO:0007599,hemostasis,4/32,231/18870,0.0006011048718806998,0.012281665450471572,0.008570777599064525,FGL1/GP5/SAA1/SERPING1,4
GO:0007159,query,,,GO:0007159,leukocyte cell-cell adhesion,5/32,419/18870,0.0006472203473598311,0.012307704247027998,0.008588948810056422,DPP4/FGL1/LRG1/S100A8/S100A9,5
GO:0006909,query,,,GO:0006909,phagocytosis,4/32,237/18870,0.0006617499799820474,0.012307704247027998,0.008588948810056422,CORO1C/CRP/ICAM3/LBP,4
GO:0042060,query,,,GO:0042060,wound healing,5/32,423/18870,0.0006756192777441467,0.012307704247027998,0.008588948810056422,FGL1/GP5/LRG1/SAA1/SERPING1,5
GO:0007160,query,,,GO:0007160,cell-matrix adhesion,4/32,239/18870,0.0006828967393525766,0.012307704247027998,0.008588948810056422,CORO1C/FGL1/LYVE1/NID1,4
GO:0002689,query,,,GO:0002689,negative regulation of leukocyte chemotaxis,2/32,23/18870,0.0006893629635517085,0.012307704247027998,0.008588948810056422,DDT/DPP4,2
GO:0050727,query,,,GO:0050727,regulation of inflammatory response,5/32,425/18870,0.0006901654327850127,0.012307704247027998,0.008588948810056422,DDT/LBP/S100A8/S100A9/SAA1,5
GO:0032677,query,,,GO:0032677,regulation of interleukin-8 production,3/32,103/18870,0.0006982123655154926,0.012307704247027998,0.008588948810056422,CHI3L1/CRP/LBP,3
