Protein cluster,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
0,HALLMARK_COAGULATION,HALLMARK_COAGULATION,HALLMARK_COAGULATION,9/16,138/4383,2.2258905656632773e-10,3.338835848494916e-09,2.577346970768005e-09,C1R/C1S/C3/C8A/C8B/C8G/C9/MASP2/PROS1,9,,
0,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,4/16,200/4383,0.004966562758346572,0.03724922068759929,0.02875378439042752,C1R/C1S/C3/C9,4,,
0,hsa04610,hsa04610,Complement and coagulation cascades,12/17,88/8843,2.577237185849905e-21,1.1597567336324574e-19,8.138643744789175e-20,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP1/MASP2/PROS1,12,Organismal Systems,Immune system
0,hsa05171,hsa05171,Coronavirus disease - COVID-19,11/17,238/8843,4.581892697941625e-14,1.0309258570368656e-12,7.234567417802565e-13,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP1/MASP2,11,Human Diseases,Infectious disease: viral
0,hsa05322,hsa05322,Systemic lupus erythematosus,9/17,139/8843,9.865710957962004e-13,1.4798566436943007e-11,1.03849589031179e-11,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9,9,Human Diseases,Immune disease
0,hsa05150,hsa05150,Staphylococcus aureus infection,6/17,100/8843,2.0119240878836047e-08,2.2634145988690551e-07,1.588361122013372e-07,C1R/C1S/C3/C5/MASP1/MASP2,6,Human Diseases,Infectious disease: bacterial
0,hsa05133,hsa05133,Pertussis,5/17,78/8843,2.671528379113602e-07,2.4043755412022417e-06,1.6872810815454327e-06,C1R/C1S/C3/C5/CD14,5,Human Diseases,Infectious disease: bacterial
0,hsa05146,hsa05146,Amoebiasis,5/17,103/8843,1.0767198304528602e-06,8.07539872839645e-06,5.666946476067686e-06,C8A/C8B/C8G/C9/CD14,5,Human Diseases,Infectious disease: parasitic
0,hsa04810,hsa04810,Regulation of actin cytoskeleton,6/17,230/8843,2.8235302639307523e-06,1.815126598241198e-05,1.2737730513973318e-05,C5/C7/C8A/C8B/C8G/C9,6,Cellular Processes,Cell motility
0,hsa05020,hsa05020,Prion disease,6/17,278/8843,8.45236571793057e-06,4.754455716335946e-05,3.3364601518146986e-05,C5/C7/C8A/C8B/C8G/C9,6,Human Diseases,Neurodegenerative disease
0,hsa04936,hsa04936,Alcoholic liver disease,3/17,144/8843,0.002432310975764509,0.012161554878822546,0.008534424476366698,C3/C5/CD14,3,Human Diseases,Endocrine and metabolic disease
0,hsa04145,hsa04145,Phagosome,3/17,157/8843,0.0031093534316119584,0.013992090442253812,0.009819010836669341,C1R/C3/CD14,3,Cellular Processes,Transport and catabolism
0,hsa05134,hsa05134,Legionellosis,2/17,56/8843,0.005040098523228462,0.0206185848677528,0.014469182363335296,C3/CD14,2,Human Diseases,Infectious disease: bacterial
0,R-HSA-166658,R-HSA-166658,Complement cascade,13/22,58/11009,2.7261731977882843e-25,2.7534349297661674e-23,1.693097038626408e-23,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/CPN2/MASP1/MASP2/PROS1,13,,
0,R-HSA-977606,R-HSA-977606,Regulation of Complement cascade,11/22,47/11009,1.6564219045341186e-21,8.364930617897298e-20,5.1436259140796305e-20,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/CPN2/PROS1,11,,
0,R-HSA-166663,R-HSA-166663,Initial triggering of complement,5/22,23/11009,6.430597901905622e-10,2.164967960308226e-08,1.3312465832015145e-08,C1R/C1S/C3/MASP1/MASP2,5,,
0,R-HSA-166786,R-HSA-166786,Creation of C4 and C2 activators,4/22,14/11009,1.181456933878758e-08,2.983178758043864e-07,1.8343673447064924e-07,C1R/C1S/MASP1/MASP2,4,,
0,R-HSA-3000480,R-HSA-3000480,Scavenging by Class A Receptors,2/22,19/11009,0.0006386147920663322,0.01290001879973991,0.007932267943560759,APOB/MASP1,2,,
0,R-HSA-5686938,R-HSA-5686938,Regulation of TLR by endogenous ligand,2/22,21/11009,0.000782367688140833,0.013169856083704022,0.00809819185970336,APOB/CD14,2,,
0,R-HSA-8957275,R-HSA-8957275,Post-translational protein phosphorylation,3/22,108/11009,0.0012344572540130654,0.01781145466504566,0.010952327516807647,APOB/C3/SERPINA10,3,,
