Description,ITIH3,APOB,CDH5,CDH1,Serine/threonine-protein,CD14,C9,C1S,C8G,C8A,C7,MASP2,C5,C3,MASP1,C8B,CPN2,SHBG,C1R,ITIH4,PRG4,OAF,PROS1,SERPINA10,FBLN1,ANXA6,VASN,IGF1,KNG1,PROZ,HABP2,PVR,QSOX1,CRTAC1,SAA4,PLXDC2,CDH13,SOD3,LRP1,DBH,COL6A3,COMP,CPB2,TIMM44,CD109,NUP98,WIF1,AHSG,APOD,BLVRB,PCOLCE,PCSK9,ALDOB,APOM,APMAP,ITIH2,CNDP1,APOC1,COL6A1,COLEC11,SERPINF2,CPN1,CLU,SERPIND1,PON1,PGLYRP2,SERPINA5,GPLD1,SERPINA4,LCAT,F2,F7,F9,FN1,GSN,APOC2,FETUB,ITIH1,PON3,PCYOX1,APOC3,APOL1,ITIH5,APOC4,CAMP,APOF,APOE,PROC,PFN1,TPM2,ACTA1,ACTA2,THBS1,PPBP,TMSB4X,CALR,P4HB,MSN,TAGLN2,VCL,FLNA,ACTBL2,ACTB,PKM,CFL1,HSPA8,PDIA3,YWHAQ,KRT77,Fibrinogen,ROBO4,AGT,FUCA1,A1BG,GGH,KRT1,GP1BA,GPX3,HSPA5,PTPRJ,PTPRG,MST1,ICAM2,HSPG2,HEG1,PROCR,HPX,PODXL,C1QB,DPEP2,FCN3,SLC38A10,SPARCL1,CFH,CFD,LYZ,SPP1,CD93,CD5L,CAMKK2,CADM1,VTN,B2M,C6,BST1,C1QA,LYVE1,SELL,CGREF1,CHL1,FCGBP,FCGR3A,LAMP2,APCS,F11,PLBD1,ALCAM,ALDOA,DSG2,C1QC,SERPINA7,ANPEP,SERPINF1,OLFM1,FCN2,FAH,LUM,KLKB1,PEPD,PI16,NCAM1,PLG,CTBS,IGFBP3,ADGRB3,AFM,AOC3,APOA2,APOA4,ATRN,BCHE,BTD,TTR,CFP,CLEC3B,IL1RAP,SERPINC1,CNTN1,SELENOP,F10,F12,F13A1,IGFALS,ICOSLG,HRG,F13B,ECM1,GC,HGFAC,RBP4,YWHAZ,SERPINA6,PLTP,TFRC,SPG11,SERPINA11,VWF,PSIP1,H6PD,NID1,GSTO1,GNPTG,GAPDH,FLT4,ENPP2,EFEMP1,ITGB1,CTSD,CD44,C4BPA,C4B,C4A,AMBP,ADGRG6,CFB,KRT6A,ZYX,LBP,MINPP1,LCN2,MMP2,LCP1,MAN1A1,SAA1,SOD2,NRP1,LGALS3BP,FGL1,SERPINA3,S100A9,LRG1,CRP,CP,SERPING1,CFI,ENO1,S100A8,CFHR5,KRT10,C2,MRC1,HLA-A,ICAM1,TIMP1,IGFBP2,MCAM,CFHR3,MANBA,ABI3BP,NEO1,CEACAM8,MBL2,TALDO1,APOH,CACNA2D1,AZGP1,BASP1,CA2,CA1,TXN,CAT,PNP,CTSL,COL18A1,IGFBP6,PPIA,PRDX2,HBB,HBA1,PRSS3,PTGDS,ZNF512B,GPNMB,LDHA,GLIPR2,LDHB,FUCA2,SELENBP1,PGK1,DNAH5,KRT9,CST3,CSF1R,SOD1,SBSN
HALLMARK_XENOBIOTIC_METABOLISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesterol metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_HEME_METABOLISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,8.0,,,,,,8.0,8.0,,,,,,,,,,8.0,,,,,,,
Cell adhesion molecules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen peroxide metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,8.0,
cellular oxidant detoxification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,8.0,
HALLMARK_COAGULATION,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,,0.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,2.0,,2.0,2.0,2.0,2.0,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,4.0,,,,,,,4.0,,4.0,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,5.0,,,5.0,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,7.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_COMPLEMENT,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,5.0,,,,5.0,,,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,7.0,7.0,,,,,,7.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,8.0,,,,,,,,,,,,,,,,,8.0,
HALLMARK_INTERFERON_GAMMA_RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,,,,,,7.0,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
