ID,Gene,STAD&CRCA-Proteome cluster-metastasis,PSIP1
Exp079164,PSIP1,DM,26.73214844
Exp079173,PSIP1,DM,25.4974702
Exp079212,PSIP1,DM,24.56252854
Exp079224,PSIP1,DM,25.02832783
Exp079228,PSIP1,DM,24.75480785
Exp079250,PSIP1,DM,25.66851517
Exp079258,PSIP1,DM,25.30714177
Exp079264,PSIP1,DM,25.97529119
Exp079268,PSIP1,DM,26.540953
Exp079297,PSIP1,DM,25.54170822
Exp079299,PSIP1,DM,25.90671455
Exp081475,PSIP1,DM,25.10289403
Exp081487,PSIP1,DM,26.39725119
Exp081584,PSIP1,DM,25.31205082
Exp081600,PSIP1,DM,26.18720076
Exp083959,PSIP1,DM,24.54750851
Exp087310,PSIP1,DM,26.23241541
Exp087314,PSIP1,DM,24.9940638
Exp087323,PSIP1,DM,24.67354969
Exp087343,PSIP1,DM,26.45972077
Exp079142,PSIP1,OM,23.81374206
Exp079147,PSIP1,OM,26.32891707
Exp079148,PSIP1,OM,25.10037144
Exp079242,PSIP1,OM,25.01673821
Exp079249,PSIP1,OM,24.67890496
Exp079251,PSIP1,OM,25.03714748
Exp079262,PSIP1,OM,25.911976
Exp079267,PSIP1,OM,25.66520042
Exp079286,PSIP1,OM,25.50571012
Exp079298,PSIP1,OM,25.01394396
Exp081460,PSIP1,OM,26.00790594
Exp081464,PSIP1,OM,26.40093729
Exp081468,PSIP1,OM,25.77490728
Exp081472,PSIP1,OM,25.91180962
Exp081486,PSIP1,OM,25.22309616
Exp082955,PSIP1,OM,23.83376643
Exp087349,PSIP1,OM,25.25834255
Exp087352,PSIP1,OM,25.55221647
Exp079162,PSIP1,ONM,23.42033581
Exp079177,PSIP1,ONM,24.4474318
Exp079182,PSIP1,ONM,23.74948187
Exp079183,PSIP1,ONM,22.83522258
Exp079194,PSIP1,ONM,24.2182812
Exp079210,PSIP1,ONM,24.05693744
Exp079246,PSIP1,ONM,24.80320085
Exp079259,PSIP1,ONM,24.81445533
Exp079277,PSIP1,ONM,25.24137049
Exp079283,PSIP1,ONM,25.65807373
Exp081465,PSIP1,ONM,25.23560943
Exp081474,PSIP1,ONM,24.8734397
Exp081479,PSIP1,ONM,25.01542789
Exp081493,PSIP1,ONM,25.95335239
Exp081583,PSIP1,ONM,23.70972823
Exp081585,PSIP1,ONM,25.6323157
Exp081590,PSIP1,ONM,25.97534462
Exp081591,PSIP1,ONM,24.79759634
Exp081599,PSIP1,ONM,25.10564759
Exp081612,PSIP1,ONM,26.15161955
Exp081623,PSIP1,ONM,25.08006662
Exp082929,PSIP1,ONM,21.82623801
Exp082931,PSIP1,ONM,22.22342257
Exp082934,PSIP1,ONM,22.6776318
Exp082946,PSIP1,ONM,24.02319842
Exp082947,PSIP1,ONM,21.59373411
Exp082978,PSIP1,ONM,21.48641524
Exp083924,PSIP1,ONM,22.79617589
Exp083942,PSIP1,ONM,22.69096927
Exp083943,PSIP1,ONM,24.31538344
Exp083947,PSIP1,ONM,22.9129527
Exp087319,PSIP1,ONM,24.86728214
Exp087334,PSIP1,ONM,22.73564846
Exp087365,PSIP1,ONM,22.42029608
Exp087416,PSIP1,ONM,23.56659156
Exp087436,PSIP1,ONM,19.60517241
Exp087462,PSIP1,ONM,23.51344792
