ID,Gene,Proteome cluster,PSIP1
Exp079148,PSIP1,BRCA-rich,25.10037144
Exp075579,PSIP1,BRCA-rich,25.12765122
Exp076174,PSIP1,BRCA-rich,26.30521642
Exp079242,PSIP1,BRCA-rich,25.01673821
Exp078934,PSIP1,BRCA-rich,25.36373962
Exp078937,PSIP1,BRCA-rich,26.29945846
Exp078940,PSIP1,BRCA-rich,25.09625079
Exp078943,PSIP1,BRCA-rich,25.3614958
Exp078960,PSIP1,BRCA-rich,24.27510475
Exp078992,PSIP1,BRCA-rich,24.58954042
Exp078996,PSIP1,BRCA-rich,25.52957539
Exp079002,PSIP1,BRCA-rich,23.31165537
Exp079004,PSIP1,BRCA-rich,23.14249138
Exp079014,PSIP1,BRCA-rich,23.94687974
Exp079017,PSIP1,BRCA-rich,24.51534771
Exp079022,PSIP1,BRCA-rich,25.37962917
Exp079043,PSIP1,BRCA-rich,22.89115501
Exp079044,PSIP1,BRCA-rich,25.02620658
Exp079068,PSIP1,BRCA-rich,23.49200846
Exp079069,PSIP1,BRCA-rich,24.40198439
Exp079121,PSIP1,BRCA-rich,24.02223308
Exp079131,PSIP1,BRCA-rich,23.99775626
Exp079139,PSIP1,BRCA-rich,25.40520046
Exp079151,PSIP1,BRCA-rich,23.68253088
Exp081468,PSIP1,BRCA-rich,25.77490728
Exp079238,PSIP1,BRCA-rich,24.71675441
Exp083942,PSIP1,BRCA-rich,22.69096927
Exp083943,PSIP1,BRCA-rich,24.31538344
Exp083947,PSIP1,BRCA-rich,22.9129527
Exp087462,PSIP1,BRCA-rich,23.51344792
Exp081504,PSIP1,BRCA-rich,26.07055797
Exp081508,PSIP1,BRCA-rich,24.33825845
Exp081518,PSIP1,BRCA-rich,25.29186676
Exp081523,PSIP1,BRCA-rich,23.58408679
Exp081542,PSIP1,BRCA-rich,24.57135974
Exp081562,PSIP1,BRCA-rich,24.56584914
Exp081592,PSIP1,BRCA-rich,23.52302051
Exp081597,PSIP1,BRCA-rich,25.29901699
Exp081621,PSIP1,BRCA-rich,24.78129842
Exp081683,PSIP1,BRCA-rich,23.03660441
Exp081691,PSIP1,BRCA-rich,22.10998061
Exp082774,PSIP1,BRCA-rich,23.36586319
Exp082779,PSIP1,BRCA-rich,23.78088594
Exp082820,PSIP1,BRCA-rich,22.0380643
Exp082826,PSIP1,BRCA-rich,22.746583
Exp082837,PSIP1,BRCA-rich,21.58206208
Exp082838,PSIP1,BRCA-rich,22.24622352
Exp082843,PSIP1,BRCA-rich,21.30072792
Exp082856,PSIP1,BRCA-rich,22.34370532
Exp082865,PSIP1,BRCA-rich,21.18583002
Exp082870,PSIP1,BRCA-rich,21.42763963
Exp075580,PSIP1,BRCA-rich,24.98126661
Exp082981,PSIP1,BRCA-rich,21.73908348
Exp082985,PSIP1,BRCA-rich,22.30428383
Exp082986,PSIP1,BRCA-rich,22.70264717
Exp082988,PSIP1,BRCA-rich,22.91297351
Exp082989,PSIP1,BRCA-rich,22.09137569
Exp082991,PSIP1,BRCA-rich,23.37018346
Exp082994,PSIP1,BRCA-rich,23.13724578
Exp082996,PSIP1,BRCA-rich,22.84839756
Exp082997,PSIP1,BRCA-rich,23.05701242
Exp082998,PSIP1,BRCA-rich,22.15231556
Exp082999,PSIP1,BRCA-rich,22.84491253
Exp083000,PSIP1,BRCA-rich,23.23410091
Exp083001,PSIP1,BRCA-rich,23.41619654
Exp083002,PSIP1,BRCA-rich,21.9589981
Exp083004,PSIP1,BRCA-rich,22.3808143
Exp083005,PSIP1,BRCA-rich,23.2128709
Exp083006,PSIP1,BRCA-rich,23.76848665
Exp083008,PSIP1,BRCA-rich,23.68025354
Exp083926,PSIP1,BRCA-rich,22.2652582
Exp083929,PSIP1,BRCA-rich,22.7080722
Exp083930,PSIP1,BRCA-rich,22.51784641
Exp083940,PSIP1,BRCA-rich,22.47748619
Exp083944,PSIP1,BRCA-rich,22.60395846
Exp083945,PSIP1,BRCA-rich,23.0634756
Exp083946,PSIP1,BRCA-rich,22.47900195
Exp083948,PSIP1,BRCA-rich,22.65256857
Exp083949,PSIP1,BRCA-rich,23.65452188
Exp083950,PSIP1,BRCA-rich,23.36480922
Exp083953,PSIP1,BRCA-rich,23.17745939
Exp083963,PSIP1,BRCA-rich,22.51511279
Exp087359,PSIP1,BRCA-rich,24.53274953
Exp083941,PSIP1,BRCA-rich,21.99691532
Exp087364,PSIP1,BRCA-rich,25.07370646
Exp087417,PSIP1,BRCA-rich,24.53492353
Exp087419,PSIP1,BRCA-rich,23.54724396
Exp087424,PSIP1,BRCA-rich,24.19792278
Exp087430,PSIP1,BRCA-rich,23.80908266
Exp087447,PSIP1,BRCA-rich,22.93820291
Exp087456,PSIP1,BRCA-rich,22.30535374
Exp087461,PSIP1,BRCA-rich,23.32217195
Exp087475,PSIP1,BRCA-rich,23.37730943
Exp075590,PSIP1,Digestive-rich,25.01372932
Exp078932,PSIP1,Digestive-rich,25.4722855
Exp078939,PSIP1,Digestive-rich,26.41239108
Exp078942,PSIP1,Digestive-rich,26.16806119
Exp078957,PSIP1,Digestive-rich,26.05705468
Exp078962,PSIP1,Digestive-rich,25.70733159
Exp078963,PSIP1,Digestive-rich,25.6501604
Exp078964,PSIP1,Digestive-rich,26.18369372
Exp078969,PSIP1,Digestive-rich,25.36024028
Exp078972,PSIP1,Digestive-rich,26.48998183
Exp078978,PSIP1,Digestive-rich,25.73950689
Exp078979,PSIP1,Digestive-rich,25.62268114
Exp078982,PSIP1,Digestive-rich,25.80942619
Exp078983,PSIP1,Digestive-rich,25.40236774
Exp078984,PSIP1,Digestive-rich,26.45043824
Exp078988,PSIP1,Digestive-rich,25.72930563
Exp078991,PSIP1,Digestive-rich,26.36707514
Exp078994,PSIP1,Digestive-rich,26.24617058
Exp079005,PSIP1,Digestive-rich,24.97233555
Exp079025,PSIP1,Digestive-rich,24.82705281
Exp079028,PSIP1,Digestive-rich,23.68818413
Exp079029,PSIP1,Digestive-rich,25.74807027
Exp079033,PSIP1,Digestive-rich,24.82851488
Exp079037,PSIP1,Digestive-rich,24.69620672
Exp079047,PSIP1,Digestive-rich,24.7408055
Exp079053,PSIP1,Digestive-rich,25.4376521
Exp079057,PSIP1,Digestive-rich,26.17371066
Exp079090,PSIP1,Digestive-rich,26.22556932
Exp079101,PSIP1,Digestive-rich,26.25970742
Exp079112,PSIP1,Digestive-rich,23.55562578
Exp079119,PSIP1,Digestive-rich,24.69809483
Exp079138,PSIP1,Digestive-rich,24.93646601
Exp079141,PSIP1,Digestive-rich,25.6013415
Exp079143,PSIP1,Digestive-rich,24.17707035
Exp079150,PSIP1,Digestive-rich,25.6918463
Exp079171,PSIP1,Digestive-rich,25.80240534
Exp079176,PSIP1,Digestive-rich,24.75251305
