Gene,Spearman rho,spearman_pvalues,-$\mathregular{Log_{10}}$(p-value),hue,size
PSIP1,0.3954385577889035,0.0004883605089480131,3.3112594623344185,zother,zother
A1BG,-0.074197489776503,0.529826113621146,0.2758666403723499,zother,zother
ABI3BP,0.019267651536772536,0.8705657466856045,0.06019842461037029,zother,zother
ACE,-0.23923341957916847,0.07050561513753853,1.1517762939853624,zother,zother
ACTA1,0.039354433067485546,0.7445404163932754,0.12811172216948266,zother,zother
ACTA2,0.06463060774269659,0.6061555087439829,0.21741594361353606,zother,zother
ACTB,0.08983672115454436,0.4465442258387595,0.3501355220238899,zother,zother
ACTBL2,0.05331556151605006,0.6518809134144721,0.1858317345912331,zother,zother
ACTC1,0.07453734353261662,0.5994706411791699,0.2222320814326866,zother,zother
ACTN1,0.06648093178890963,0.5873057483478035,0.23113574841038234,zother,zother
ACTR3,-0.09449025277850505,0.5009444336500424,0.3002104447864959,zother,zother
ADA2,0.11949934123847167,0.4342875319852444,0.36222263867308024,zother,zother
ADAMTS13,-0.3567037215859332,0.00328343328578152,2.4836718034699756,zother,zother
ADAMTSL4,-0.14199399775834431,0.2750054393156072,0.5606587162010397,zother,zother
ADGRB3,-0.3667370138394299,0.001309689610259452,2.8828316177211963,zother,zother
ADGRF5,0.01867261403202986,0.8893531038468441,0.05092577490676513,zother,zother
ADGRG6,-0.24821311427447382,0.038279288647063384,1.4170361414157155,zother,zother
ADIPOQ,-0.12324780637126906,0.29548591737374286,0.5294632124227052,zother,zother
AFM,-0.5632789074170689,1.745276975970346e-07,6.758135640572953,zother,zother
AGA,0.06558486503890461,0.624747121504106,0.20429573619032845,zother,zother
AGT,0.19626050589185984,0.09375862514403341,1.0279887696785603,zother,zother
AHSG,-0.5824132700500514,5.22578690267541e-08,7.281848303923484,zother,zother
AK1,-0.10955494742074215,0.44409855239354545,0.35252064247261955,zother,zother
ALCAM,0.020274723254297928,0.8638635899436418,0.06355483022004009,zother,zother
ALDOA,-0.053522899810834704,0.6506151863947198,0.18667580381092355,zother,zother
ALDOB,0.043816326936950076,0.7484756222658513,0.12582233999404918,zother,zother
ALDOC,0.17534169267970356,0.20917981806035213,0.6794802190773938,zother,zother
ALPL,0.23459169004758382,0.1085063918826901,0.964544677689952,zother,zother
AMBP,-0.15116442677620084,0.19857243844610506,0.7020810310744141,zother,zother
ANG,-0.07667073943571977,0.5161607821760646,0.2872149961725426,zother,zother
ANGPTL3,-0.08865817165060372,0.45573257558470626,0.34128992710979283,zother,zother
ANO8,0.2482863127900703,0.06758193037451561,1.170169407426069,zother,zother
ANP32B,0.0948316737790422,0.5766390336132414,0.23909596286860563,zother,zother
ANPEP,-0.006679255067705161,0.9549597883223385,0.020014915408289622,zother,zother
ANXA6,-0.15227516764111854,0.19525557317019832,0.7093965612277638,zother,zother
AOC3,-0.18757665294760137,0.11202993011096717,0.9506659349589915,zother,zother
APCS,0.18567144297964436,0.11323475597018087,0.9460202515106461,zother,zother
APMAP,-0.07045501883474754,0.5536397375377311,0.256772745910391,zother,zother
APOA2,-0.43040468021651307,0.00012940476065507914,3.8880497461696395,zother,zother
APOA4,-0.21831241453002612,0.06167426281236143,1.2098960328951693,zother,zother
APOB,-0.036032433657930504,0.7605301515063008,0.11888356350022246,zother,zother
APOC1,-0.2197934023499164,0.05988694082028174,1.222667871233774,zother,zother
APOC2,-0.05328594175965226,0.6520618118441626,0.18571123360789735,zother,zother
APOC3,-0.21321781642960355,0.06815527036556038,1.1665005550577798,zother,zother
APOC4,0.03469954462002925,0.7691374446519457,0.11399604495778078,zother,zother
APOD,-0.19318005122648807,0.09913128235213386,1.0037892757963203,zother,zother
APOE,-0.16942500659544799,0.14899453319045497,0.826829666143262,zother,zother
APOF,-0.21554296730683128,0.06513244549502184,1.1862026152843108,zother,zother
APOH,-0.12495094236414289,0.2888112143351941,0.5393859474274117,zother,zother
APOL1,-0.15489651608232433,0.18758587713391423,0.7267998616589326,zother,zother
APOM,-0.00238439039002335,0.9839140413295552,0.007042841616328905,zother,zother
APP,-0.08294698769729762,0.5146452571179561,0.28849202525284257,zother,zother
ARHGDIB,0.21301563822335023,0.1416859238387485,0.8486732937385225,zother,zother
ARPC1B,0.21167247386759583,0.18399251514023338,0.7351998438350931,zother,zother
ART3,-0.07365992696421027,0.6187973165168374,0.20845157833475275,zother,zother
ASGR2,0.07430621153955758,0.6358166129222542,0.19666812881790321,zother,zother
ATRN,-0.4554333743726588,4.5579418022504136e-05,4.34123122437786,zother,zother
AXL,0.11444718569462567,0.34547768365902054,0.46158000089980544,zother,zother
AZGP1,-0.03221148508261358,0.7852783952956923,0.10497635076228755,zother,zother
B2M,0.16621016786909998,0.17553319515723748,0.7556407418171003,zother,zother
B3GNT2,-0.13935862514864608,0.24642362685122915,0.6083176547901199,zother,zother
B4GALT5,0.1474901267369354,0.244813496082232,0.6111646440735454,zother,zother
B4GAT1,-0.1346779203646611,0.2698896229658906,0.568813813388242,zother,zother
BASP1,0.11554666970783961,0.3269200549415546,0.48555843676653715,zother,zother
BCHE,-0.5290088492648078,1.2633448949521805e-06,5.898478070246874,zother,zother
BLMH,-0.11049502317342899,0.369706428091199,0.43214299827658964,zother,zother
BLVRB,-0.02381871889443101,0.8494393197525967,0.07086763979418294,zother,zother
BST1,-0.03736532269583175,0.7519517839060049,0.12381000602391053,zother,zother
BTD,-0.41663149349153344,0.00022216964625474195,3.6533152764687395,zother,zother
BUB1B,0.03396355876524051,0.8073775285539623,0.09292334231835465,zother,zother
C1QA,-0.12940871570201262,0.2718151335747248,0.5657263671582416,zother,zother
C1QB,-0.12212225562815245,0.29995208522249,0.5229481145650888,zother,zother
C1QC,-0.15356362704442308,0.19145805913722436,0.7179263479626243,zother,zother
C1R,-0.02834610687269995,0.8105324145727201,0.09122961229162811,zother,zother
C1RL,-0.03622496207451624,0.759289243667343,0.11959275243211454,zother,zother
C1S,0.14478136927247373,0.21841653148619902,0.6607144938907199,zother,zother
C2,-0.02956051688500998,0.8025760569911292,0.09551380058490636,zother,zother
C3,-0.14322633206158894,0.22345520198402474,0.6508095306135574,zother,zother
C4A,-0.05787700400131213,0.6242672750973488,0.20462943075371448,zother,zother
C4B,-0.044059387641735816,0.7093407050888083,0.1491451177093084,zother,zother
C4BPA,0.17228331308783623,0.14215700934233322,0.8472317216671894,zother,zother
C4BPB,0.20742957647712157,0.07825585768858193,1.1064831443040208,zother,zother
C5,0.10987448635765984,0.3513828858833866,0.45421939465462996,zother,zother
C6,-0.21429893753812346,0.06673599800997902,1.1756398404486026,zother,zother
C7,0.06933984972726288,0.5571793720375624,0.25400497045354953,zother,zother
C8A,0.056351586546825136,0.6334467894304852,0.19828986069733762,zother,zother
C8B,-0.0032285534473608093,0.9782202164068601,0.009563366066752519,zother,zother
C8G,-0.04265244921284005,0.7182280461262812,0.1437376400898323,zother,zother
C9,0.168965900371282,0.1501153154090646,0.8235749969084203,zother,zother
CA1,-0.07726313456367588,0.5129144228021232,0.28995508869929076,zother,zother
CA2,-0.1476967696855542,0.21239995302686343,0.6728455836365962,zother,zother
CACNA2D1,0.0393738465613334,0.7732602139061966,0.11167433474049183,zother,zother
CADM1,-0.10531699485203629,0.40001429897377694,0.3979244840359984,zother,zother
CALD1,-0.10390002650210821,0.5073051429673825,0.2947307348617146,zother,zother
CALML5,0.12294013127296981,0.4685099543594544,0.3292811772896389,zother,zother
