,System,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
HALLMARK_COAGULATION,Digestive,HALLMARK_COAGULATION,HALLMARK_COAGULATION,10/55,138/4383,6.025387552751696e-06,0.00021691395189906104,0.00018393288318926232,C1QA/C2/C9/CFB/DPP4/HNF4A/MASP2/MMP2/THBS1/TIMP1,10,,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Digestive,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,11/55,200/4383,2.7719641777642714e-05,0.0004989535519975689,0.00042308926923770464,ACTA2/FBLN1/FLNA/IGFBP2/ITGB1/MMP2/SPP1/TGFBI/THBS1/TIMP1/VCAM1,11,,
HALLMARK_COMPLEMENT,Digestive,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,10/55,200/4383,0.00015109611382702084,0.0018131533659242502,0.0015374692284153,C1QA/C2/C9/CFB/CP/CTSD/DPP4/HNF4A/HSPA5/TIMP1,10,,
HALLMARK_APICAL_JUNCTION,Digestive,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,8/55,200/4383,0.003129681204782032,0.02816713084303829,0.023884409194389198,ACTN1/CDH1/ICAM1/ITGB1/MMP2/TGFBI/VCAM1/VCL,8,,
hsa05150,Digestive,hsa05150,Staphylococcus aureus infection,8/59,100/8843,2.778454099592914e-07,4.223250231381229e-05,3.334144919511497e-05,C1QA/C2/C5/CFB/FCGR3A/ICAM1/KRT10/MASP2,8,Human Diseases,Infectious disease: bacterial
hsa04610,Digestive,hsa04610,Complement and coagulation cascades,7/59,88/8843,1.7027166392286266e-06,0.00012940646458137564,0.00010216299835371761,C1QA/C2/C5/C7/C9/CFB/MASP2,7,Organismal Systems,Immune system
hsa04670,Digestive,hsa04670,Leukocyte transendothelial migration,7/59,116/8843,1.0820925089799402e-05,0.0005482602045498363,0.00043283700359197615,ACTN1/CDH5/ICAM1/ITGB1/MMP2/VCAM1/VCL,7,Organismal Systems,Immune system
hsa05322,Digestive,hsa05322,Systemic lupus erythematosus,7/59,139/8843,3.515527957902367e-05,0.0013359006240028994,0.0010546583873707101,ACTN1/C1QA/C2/C5/C7/C9/FCGR3A,7,Human Diseases,Immune disease
hsa04936,Digestive,hsa04936,Alcoholic liver disease,7/59,144/8843,4.4111013129272434e-05,0.001340974799129882,0.0010586643151025384,ADIPOQ/C1QA/C2/C5/CAMKK2/CD14/LBP,7,Human Diseases,Endocrine and metabolic disease
hsa05133,Digestive,hsa05133,Pertussis,5/59,78/8843,0.0001618791841615949,0.0036011206586726487,0.002842989993688933,C1QA/C2/C5/CD14/ITGB1,5,Human Diseases,Infectious disease: bacterial
hsa05171,Digestive,hsa05171,Coronavirus disease - COVID-19,8/59,238/8843,0.00016584108296518777,0.0036011206586726487,0.002842989993688933,C1QA/C2/C5/C7/C9/CFB/MASP2/NRP1,8,Human Diseases,Infectious disease: viral
hsa05417,Digestive,hsa05417,Lipid and atherosclerosis,7/59,216/8843,0.0005459536209697004,0.010373118798424308,0.008189304314545507,APOB/CD14/HSPA5/ICAM1/LBP/SOD2/VCAM1,7,Human Diseases,Cardiovascular disease
hsa01200,Digestive,hsa01200,Carbon metabolism,5/59,116/8843,0.0010140754660908167,0.017126607871756017,0.013521006214544223,ENO1/GAPDH/GOT1/H6PD/PKM,5,Metabolism,Global and overview maps
hsa01230,Digestive,hsa01230,Biosynthesis of amino acids,4/59,75/8843,0.0015267024730351002,0.02320587759013352,0.018320429676421203,ENO1/GAPDH/GOT1/PKM,4,Metabolism,Global and overview maps
hsa04510,Digestive,hsa04510,Focal adhesion,6/59,203/8843,0.002225082336150024,0.029370098517243953,0.023186919882034703,ACTN1/FLNA/ITGB1/SPP1/THBS1/VCL,6,Cellular Processes,Cellular community - eukaryotes
hsa05418,Digestive,hsa05418,Fluid shear stress and atherosclerosis,5/59,141/8843,0.002408127994444158,0.029370098517243953,0.023186919882034703,CDH5/GSTO1/ICAM1/MMP2/VCAM1,5,Human Diseases,Cardiovascular disease
hsa05219,Digestive,hsa05219,Bladder cancer,3/59,41/8843,0.002511916320553759,0.029370098517243953,0.023186919882034703,CDH1/MMP2/THBS1,3,Human Diseases,Cancer: specific types
hsa04520,Digestive,hsa04520,Adherens junction,4/59,93/8843,0.0033553940781455424,0.035007493989925406,0.02763749525520427,ACTN1/CDH1/CDH5/VCL,4,Cellular Processes,Cellular community - eukaryotes
hsa04145,Digestive,hsa04145,Phagosome,5/59,157/8843,0.003829541200860066,0.035007493989925406,0.02763749525520427,CD14/FCGR3A/ITGB1/MRC1/THBS1,5,Cellular Processes,Transport and catabolism
hsa04514,Digestive,hsa04514,Cell adhesion molecules,5/59,157/8843,0.003829541200860066,0.035007493989925406,0.02763749525520427,CDH1/CDH5/ICAM1/ITGB1/VCAM1,5,Environmental Information Processing,Signaling molecules and interaction
hsa04810,Digestive,hsa04810,Regulation of actin cytoskeleton,6/59,230/8843,0.0041347806525581215,0.035007493989925406,0.02763749525520427,ACTN1/C5/C7/C9/ITGB1/VCL,6,Cellular Processes,Cell motility
hsa04820,Digestive,hsa04820,Cytoskeleton in muscle cells,6/59,232/8843,0.004313315767808269,0.035007493989925406,0.02763749525520427,DSG2/ENO1/FBLN1/ITGB1/THBS1/VCL,6,,
hsa05144,Digestive,hsa05144,Malaria,3/59,50/8843,0.00442665230652904,0.035007493989925406,0.02763749525520427,ICAM1/THBS1/VCAM1,3,Human Diseases,Infectious disease: parasitic
hsa04979,Digestive,hsa04979,Cholesterol metabolism,3/59,51/8843,0.004681222665316055,0.035007493989925406,0.02763749525520427,APOB/APOE/PLTP,3,Organismal Systems,Digestive system
hsa05146,Digestive,hsa05146,Amoebiasis,4/59,103/8843,0.004836561669660747,0.035007493989925406,0.02763749525520427,ACTN1/C9/CD14/VCL,4,Human Diseases,Infectious disease: parasitic
hsa04064,Digestive,hsa04064,NF-kappa B signaling pathway,4/59,105/8843,0.005177970816349909,0.03577507109478119,0.02824347718009041,CD14/ICAM1/LBP/VCAM1,4,Environmental Information Processing,Signal transduction
hsa05152,Digestive,hsa05152,Tuberculosis,5/59,180/8843,0.006810537167441799,0.04500876736744146,0.03553323739534852,CD14/CTSD/FCGR3A/LBP/MRC1,5,Human Diseases,Infectious disease: bacterial
R-HSA-166658,Digestive,R-HSA-166658,Complement cascade,8/72,58/11009,3.3162721516712453e-09,1.445894658128663e-06,1.2427293536789088e-06,C1QA/C2/C5/C7/C9/CFB/CRP/MASP2,8,,
R-HSA-381426,Digestive,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10/72,125/11009,7.330042746590211e-09,1.597949318756666e-06,1.3734185356769026e-06,APOB/APOE/CP/GOLM1/IGFBP2/IGFBP7/MMP2/RCN1/SPP1/TIMP1,10,,
R-HSA-114608,Digestive,R-HSA-114608,Platelet degranulation,9/72,129/11009,1.4363586160256238e-07,2.0875078552905733e-05,1.7941883063337616e-05,ACTN1/FLNA/HSPA5/ITIH3/LGALS3BP/SERPINA3/THBS1/TIMP1/VCL,9,,
