Gene,C2_mean,C1_mean,C3_mean,C5_mean,C4_mean
PSIP1,24.194340629615382,24.343665928641297,24.01878010166666,21.701879663660737,23.30849813957628
A1BG,27.130496473432206,27.168371541036265,27.058660173569507,27.021527100304883,27.188950239291362
ABI3BP,18.65261302806867,18.643506281315798,18.878188289808232,18.973610299631904,18.86459665834646
ACTA1,23.261001721453745,23.153453883870974,23.07028146066481,22.86005336509805,21.479520807157897
ACTA2,23.086729384241075,23.003099985706225,22.890014439442904,22.553329448291127,21.278682746103904
ACTB,22.581898933073592,22.357137135026452,22.441051766564243,21.929815196249997,20.822018723305092
ACTBL2,22.70318544724578,22.514258920518117,22.540522515464474,22.268709642317067,20.900489098582685
ADAMTS13,18.78572485897674,18.813411413694265,19.246734945364246,19.335213636734686,18.95331187868421
ADGRB3,25.59480949760684,25.519022764869106,25.447986846573034,26.016216078404913,25.79551680097563
ADGRG6,18.21821766333332,18.31294152159999,18.101338575328956,17.929711678175188,18.118260350458712
ADIPOQ,20.77091740190676,20.80714801609375,20.55588840013626,20.680547273109756,20.417658053307086
AFM,26.15051130902542,26.051315695751295,26.23919685438691,26.332131043902415,26.438908707480305
ALCAM,18.885825239872343,19.227018527591618,18.77538486770086,18.927279259939038,19.099171407165347
ALDOA,21.67037853855318,21.932452241709854,21.315557803514977,21.51616705384146,21.584487514960628
ALDOB,17.920351472245986,18.406763938541655,18.196447700033325,18.526385331342293,18.219476267499996
AMBP,25.7893171852966,25.71483678414508,25.759732071008187,25.520361904512196,25.742642166062993
ANG,18.4244635644026,18.68674547595136,20.194456825124636,18.07956843644173,18.98254244216
ANPEP,20.083746361016942,20.354084370621766,20.06764828764383,20.79755833560974,20.119712996692922
ANXA6,24.578029300299136,24.586798962083336,24.580885330824188,24.13669335049383,24.51819983818898
AOC3,19.003874855521737,19.185566592473684,18.972674553109254,19.299732445889568,19.34545563459677
APCS,26.06535708766948,26.023138789119177,26.161603456975488,26.014705759817055,26.022282002362218
APMAP,20.054098302008555,20.134772225372334,19.980371385457072,20.149053018322974,20.263289400396815
APOA2,25.04625188682203,24.908691628652868,25.037597999318816,25.272583521158538,25.307787389448826
APOA4,26.59355264224578,26.20567099735751,26.77870349542234,26.718984272987814,26.795678826141735
APOB,27.224717376949158,27.205320777512963,26.92894392809266,26.764048804268292,27.183552868661415
APOC1,25.77856773334747,25.680057574766842,25.798059163188,25.510874731341442,25.98626361370079
APOC2,25.16027732733052,25.117221919481867,25.0453574959128,24.79954715512194,25.41681101322834
APOC3,26.326552483347456,26.09613517740933,26.3108999039237,26.106790577987788,26.71441194125983
APOC4,22.02816972580509,21.79750263217617,21.861118994672115,21.332106967317085,22.285781684488196
APOE,25.866534763983058,25.915373259326426,25.531931904713925,25.378739189817068,25.8873821772441
APOF,21.815435821906775,21.711866164455948,21.56425912844687,21.548697292804867,21.703154690393703
APOH,24.205163754533906,24.36606181279794,24.20094460877383,24.875350832134146,24.497012706929144
APOL1,21.41529946627117,21.35187566611398,21.43037187566757,21.383124282865857,21.59236254755905
ATRN,22.134536896144052,22.038122648445615,22.208133500136245,22.263775110182927,22.32889393377953
AZGP1,26.715739204194914,26.77368939310881,26.715056147547703,26.767572442378047,26.650656298267712
B2M,17.21162553421585,17.14433239359551,16.884703795639684,16.018654607904114,16.477803472815534
BCHE,22.279937215381356,21.997860806787568,22.414712287929166,22.597369037439023,22.616058015196852
BLVRB,19.051915308514854,19.404571970683232,19.278181679912286,19.753643578282208,19.268593102250005
BTD,22.455964893474572,22.401596610310868,22.43582862346051,22.629866083841463,22.68922363031496
C1QA,21.9973752673729,22.132374691088085,21.735556579536805,21.901817090853676,21.903185244803165
C1QB,24.39259521991527,24.311918832072546,24.29137068201634,24.32682239396341,24.316908989606297
C1QC,25.483644357203403,25.453706359274594,25.4183033211717,25.368328065121958,25.50642900062993
C1R,23.945416355169474,23.843891260725396,23.782438404223434,23.524772022743914,23.775574101968505
C1RL,21.114899205084754,21.06904751948187,20.995102263378747,20.996333611280495,21.0597916851181
C1S,25.196602649999985,25.15870097202074,25.038966303024523,24.938774699756106,25.193294646220476
C2,24.215455956398298,24.299249299170985,24.16811723376021,24.124748689451213,24.185630006614183
C3,29.377690027288136,29.305015748860065,29.30136308283377,29.194594670487803,29.361408444803157
C4A,27.611094602966094,27.626130392901537,27.570244652752052,27.526370117987824,27.692746721496047
C4B,27.61924637338981,27.638044087720193,27.58237847468663,27.507825228353656,27.690932388661423
C4BPA,26.8202106101695,26.82946517606217,26.822827479918224,26.70506205115854,26.708393622125975
C4BPB,23.16096189215859,23.188607123957212,23.389310549038463,23.119672946707304,23.326308955528464
C5,25.205117142881363,25.171367949222795,25.165750315367852,24.868653179695123,25.131034775433072
C6,24.053655400381366,24.096396074715013,24.059168596403268,23.993166929146344,24.166790709685046
C7,24.733047806567797,24.812634057409312,24.558505167711157,24.336644918048776,24.607337739606315
C8A,24.268847326864435,24.151664315077717,24.021822229128052,23.645428399329262,24.081867320866134
C8B,23.590176816906787,23.5402517184456,23.31844289773843,22.995095193475606,23.286545624881892
C8G,23.733520000042382,23.683041655129543,23.54988652141691,23.346873333109773,23.668003881732286
C9,25.037651571567782,25.155405546942983,24.632845225313368,24.360694601097553,24.254251435118114
CA1,21.656009714406768,21.774205469481867,22.229779287493198,22.51998424878048,21.95921033464568
CA2,21.10500265923768,21.12236053798913,21.201657062273974,21.561546772926825,21.14314674645161
CACNA2D1,17.606083970456844,17.61844030506579,17.473534956093758,17.91444887825504,17.493673072711864
CALR,18.154945954316243,18.205593317754012,18.307228869113587,18.32609321908536,17.395615816451606
CAMKK2,21.62766206451065,21.61611544382199,21.47145282057534,21.48503532930817,21.31048939141732
CAMP,18.436041696711104,18.458130377142854,18.232503167528733,17.94482440528985,18.469340908571425
CAT,19.74719561757447,19.877014084611407,20.077374577057203,20.458976950853675,19.78384726889764
CD14,22.010199237966113,22.188687923264244,21.70348508382513,21.54789866457317,21.708022686535443
CD44,22.243820365889817,22.182224375416677,22.46751860163935,21.79619637414633,22.215309184330717
CD5L,21.93218369060085,22.092732519479153,21.963930573066296,21.753007315426828,22.10805365951613
CD93,18.282630343700443,18.415838890680632,18.15661518649852,18.309405929350657,18.04583240327731
CDH1,18.476289707379916,18.676199294270265,18.216888403894078,18.2165460395946,18.22818133788991
CDH13,19.666637921567798,19.540225263834195,19.45627876157459,19.47371538055555,19.8476264344882
CDH5,21.025365705381365,20.98658247828126,20.839299745382508,20.77953891776396,20.866240672913385
CEACAM8,22.115313449952378,21.89149013689266,22.095282600919543,22.349899217631588,22.079940443162393
CFB,27.44470241173729,27.460758530103607,27.384788339346024,27.103515727134152,27.27321989614174
CFD,21.445163004152544,21.424030487046625,21.50372849509536,21.699600742073173,21.439806122598426
CFHR3,18.868659266082943,19.157475018098157,18.666307127211276,19.25346232985075,19.243812095698917
CFHR5,20.977224185762715,21.053615766510415,20.982910981721307,20.843304683975155,20.6810580596063
CFI,25.27256894597458,25.250987423575136,25.3086300682289,25.197926511402446,25.307386385118107
CFL1,19.92901070716347,20.08091531039549,20.030544438455063,20.468642344753075,19.148379674999997
CFP,18.201146549913428,17.97213070869823,18.404875640911854,18.187433396942676,18.456776332047248
CGREF1,21.98499765665095,21.992734845085693,22.40679671043345,22.32490560631579,22.106860573979592
CLEC3B,21.56054737711865,21.254115552487036,21.46649440392372,21.582785917439026,21.688110718582664
CLU,26.51211138559322,26.41613957839379,26.51016726474115,26.440038554817082,26.595572127795283
CNDP1,20.939306572627125,20.532409243489575,20.734845140871936,20.538612725590067,20.821513043779518
CNTN1,18.898501973432204,18.934676706458326,18.843628579083337,19.061618795802485,19.13790070393701
COL18A1,18.819104996266088,18.86648347067359,18.72973978425069,20.365832342195123,18.476512277500007
COL6A1,21.955476426666674,21.929651041631562,22.102426150700282,21.95392825090323,22.351053918079998
COLEC11,19.191325351991527,19.199142635677088,19.162346613361127,18.94496033792453,19.189834641732283
CP,28.35020236317796,28.429330945025896,28.24782375708445,28.153039946402437,28.314097464645677
CPB2,22.75385698728813,22.62539034854923,22.786412430708427,22.72895581896342,22.79610543055117
CPN1,22.75747172805084,22.716764813678758,22.794205029618535,22.4301699207317,22.91998061110237
CPN2,24.06820045076271,23.97372259419691,23.885850731198904,23.54265714920731,23.970159400314962
CRP,22.76348038320347,23.465177398359792,22.41350921817648,22.534466452281894,21.487479963245615
CSF1R,20.28092410805085,20.406201062590675,20.142889651008176,20.86015396359756,19.991483631181108
CST3,21.45754430631357,21.478251330051823,21.239409695122628,21.341572201829262,21.23485813574805
CTBS,18.083390943787236,18.167046978341965,18.225858465944448,18.59418532475609,18.336941958425196
CTSD,19.562885153819753,19.861044102722513,19.293949462037034,18.88249420623457,19.537735029838707
CTSL,20.916559625348835,20.788521947919065,21.17152102091444,21.09338565468751,20.765391356016952
DBH,19.844746952946426,19.669558721052617,19.640497678869046,19.745113423518518,20.227331048442622
DNAH5,21.66518710928206,21.69445437157577,21.687426113212993,22.11258653518518,21.75634230212963
DPP4,20.869207083872354,20.93910996453126,20.972244842082198,20.170879240731708,21.09657222787401
DSG2,18.390632366830356,18.809422380446925,18.1440968209241,18.524351163986015,18.341311758181824
ECM1,23.38239056300846,23.349969584404136,23.460548968828338,23.570043514085366,23.54172690220472
EFEMP1,19.4387085157143,19.62978088777778,19.143332615368752,19.23801796898649,19.15783583550847
ENO1,20.11811930940092,20.430858161073434,19.99029757149681,20.02292253683334,19.584684628023254
F10,23.128035481652525,22.971778659481856,23.094067431852867,23.194384217500005,23.109896723622036
F11,21.150686966355934,21.166349794715014,21.167707923934415,21.40738042286583,21.482767300157484
F12,23.365775731440685,23.212372524352336,23.448720690381464,23.449665058353663,23.397354899448814
F13A1,22.81033185444915,22.66013171621761,22.785045681062677,22.935443212865863,23.13089613889764
F13B,22.07155767292373,21.933148837668398,22.063266566403264,22.114213165000013,22.39541308165354
F2,26.54879488491525,26.464617985336773,26.561555381553152,26.408376840731705,26.6772439272441
F7,19.524566642820485,19.413118767368427,19.424756784570643,19.262827724634143,19.621618708730157
F9,21.704506365000007,21.652820378082893,21.74991226414171,21.545899852926823,21.674616187559053
FAH,19.301728523739126,19.515817347513234,19.028175784333335,18.997597884634143,19.322528532258058
FBLN1,22.277862809703393,22.344707589326433,22.14279436525886,22.140236463963415,22.19781933314961
FCGBP,20.170212259025423,20.281610478290155,20.05764449877384,20.13772514597561,20.20970253
FCGR3A,20.710463152627117,20.912275076217618,20.490824281498647,20.49780854615853,20.673063694015745
FCN2,20.092781389745777,19.820950956492133,19.95517611223139,20.02286555597561,19.911647634724403
FCN3,24.112441698262717,24.082163348652834,24.253641661716628,24.269227561097555,23.925069738267723
FETUB,22.042777830508484,21.78144161404145,21.979860552179836,21.71582112664634,21.983663842677153
FGL1,18.778353691666663,19.01511365911764,18.616604800824764,18.334527814426238,18.241341295058827
FLNA,20.47622518165138,20.60236659279761,20.344437851800006,20.24156110986755,19.653642990000005
FLT4,17.694063608026912,17.740674572111118,17.61281640920732,17.526981143020134,17.5525095537069
FN1,26.559826664025437,26.473601263782417,26.24515400771117,26.477643570426835,26.80762860740157
FSTL1,17.012170783521125,17.346254461521724,17.263115976231877,17.06302026935251,17.137800009714287
FUCA1,18.594541635844166,18.80402616486631,18.611777019560105,18.609102452804876,18.89536911894309
FUCA2,17.81368832870193,18.113825986428573,17.936995910716846,18.33228917527951,17.96537887008621
Fibrinogen,20.39808168051163,20.449287463254432,20.62092201173914,20.91427035522293,20.48385603076924
GAPDH,22.825418277584742,22.9282278876684,22.665251158337874,22.574071296707327,22.619096931349212
GC,28.112257313813558,28.109774484248693,28.287129022997288,28.285365834634142,28.20648861771652
GDI2,19.62892056261307,19.469961831796418,19.719081134386514,19.224540783916076,19.900257915
GGH,20.28995729610169,20.453939287409334,20.295903651634884,20.361500414817076,20.2715974815748
GNPTG,18.67428951597347,18.776802670714293,18.64004918899695,18.40623846735715,18.626887896310677
GP1BA,20.871186024152546,20.914167734974086,20.78752321065573,20.870713932195127,20.659453429685033
GPLD1,21.789816845677958,21.379623139378246,21.58146111465942,21.618928999878047,21.77388903992127
GPX3,23.76092590432204,23.771617702901562,23.772622485858324,23.880231623109765,23.775909524645666
GSTO1,20.730307856824037,20.886433334947913,20.686614634395596,20.376951613831185,20.369942953280013
H6PD,17.88073123663755,17.91953346449736,17.629961757387104,17.531887197500005,17.554468514033612
HABP2,21.794003069745756,21.679993439740947,21.951314818387985,21.730826040304876,21.750640062204724
HBA1,21.234722246271197,21.56047932512954,21.64114260070845,22.57377318475611,21.507071373149596
HBB,21.95079931474576,22.42070005129533,22.481522004495908,23.233469428963417,22.436226766377953
HGFAC,21.964120895381367,21.83036897497409,21.942058944822907,22.081220760792682,22.22814547755904
HLA-A,19.31256875246376,19.174498063473045,18.97672180699029,19.389978049127517,19.00079182965517
HPX,29.988125941864393,29.91256436730569,30.023118945476845,30.076764151219507,30.026607232677154
HRG,26.623359573686447,26.506080341036274,26.640039854877376,26.696212272682914,26.79156805968504
HSPA5,20.584649378898312,20.67684059233162,20.431149393079032,20.78025304817072,20.565540781338584
HSPA8,19.144075423155332,19.323844077660816,19.029518554579436,19.313652406794876,18.286565949213486
HSPG2,19.461243145042367,19.587293124300512,19.334973910626697,19.563507787317075,19.43096531921259
ICAM1,20.1641983088983,20.389857244093264,19.831054079700262,19.943620835121955,19.849905697401578
ICAM2,19.97805920597457,19.97951953585493,19.77117167629429,19.877292510731706,19.85139214779528
