,Hcluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,C1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,12/56,200/4383,5.562255707608492e-06,0.00013209831764922334,0.00010522767835500012,FBLN1/FLNA/FSTL1/IGFBP2/ITGB1/MMP2/PVR/SPP1/TGFBI/TIMP1/TNC/VCAM1,12,,
HALLMARK_COAGULATION,C1,HALLMARK_COAGULATION,HALLMARK_COAGULATION,10/56,138/4383,7.140449602660721e-06,0.00013209831764922334,0.00010522767835500012,C1QA/C2/C9/CFB/GP1BA/MBL2/MMP2/SERPING1/TIMP1/VWF,10,,
HALLMARK_COMPLEMENT,C1,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,10/56,200/4383,0.0001767396403750971,0.002179788897959531,0.0017363894492992,C1QA/C2/C9/CFB/CP/CTSD/GP1BA/S100A9/SERPING1/TIMP1,10,,
HALLMARK_APICAL_JUNCTION,C1,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,9/56,200/4383,0.0008385294457049149,0.007689802483162976,0.006125589460272072,CDH1/ICAM1/ICAM2/ITGB1/MMP2/TGFBI/VCAM1/VCL/VWF,9,,
HALLMARK_ANGIOGENESIS,C1,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,4/56,36/4383,0.0010391624977247264,0.007689802483162976,0.006125589460272072,FSTL1/NRP1/SPP1/TIMP1,4,,
HALLMARK_XENOBIOTIC_METABOLISM,C1,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,8/56,200/4383,0.0035115398312948894,0.021654495626318486,0.017249669346711738,APOE/CFB/CRP/FAH/FBLN1/GSTO1/MAN1A1/MBL2,8,,
hsa04610,C1,hsa04610,Complement and coagulation cascades,11/66,88/8843,3.4326381983953916e-11,4.668387949817733e-09,3.7578355014012706e-09,C1QA/C2/C4BPA/C7/C9/CFB/CFHR5/MASP1/MBL2/SERPING1/VWF,11,Organismal Systems,Immune system
hsa05150,C1,hsa05150,Staphylococcus aureus infection,8/66,100/8843,6.743561766608697e-07,4.5856220012939144e-05,3.691212756459498e-05,C1QA/C2/CFB/FCGR3A/ICAM1/KRT10/MASP1/MBL2,8,Human Diseases,Infectious disease: bacterial
hsa05133,C1,hsa05133,Pertussis,6/66,78/8843,2.3130728826946295e-05,0.0010485930401548987,0.0008440687010534788,C1QA/C2/C4BPA/CD14/ITGB1/SERPING1,6,Human Diseases,Infectious disease: bacterial
hsa04512,C1,hsa04512,ECM-receptor interaction,6/66,89/8843,4.908452308691883e-05,0.0016688737849552403,0.0013433658950104102,GP1BA/HSPG2/ITGB1/SPP1/TNC/VWF,6,Environmental Information Processing,Signaling molecules and interaction
hsa05171,C1,hsa05171,Coronavirus disease - COVID-19,9/66,238/8843,6.189735415345219e-05,0.0016836080329738995,0.001355226280412427,C1QA/C2/C7/C9/CFB/MASP1/MBL2/NRP1/VWF,9,Human Diseases,Infectious disease: viral
