Gene,Digestive,Reproductive,Respirato,Urinary,Circulation,Endocrine
ACTA2,0.20640550418988632,-0.4363675745543029,-0.014735370056151345,0.037421060448286754,0.1802870938882887,-1.2831693547428409
ACTN1,0.13968242735348282,0.017109134344418464,-0.1413704632410705,-0.05157197433829529,0.12428197617667729,-0.6043644643751989
ADGRG6,0.16480295632498262,-0.14468939878529696,-0.10114507870575197,-0.004239494501706294,0.10476473681450227,-0.20458896021223696
ADIPOQ,0.28380535842488364,-0.2302629721124994,0.010071840994687912,-0.07629149178469988,0.017366317841828224,0.056071791121534
ANXA6,0.1869952127602689,-0.17425498494392042,0.018279959406168313,-0.09081738775881142,0.09038472023087056,0.116964464376722
APOB,0.33719541373548495,-0.00115628174428145,-0.1736328282011613,-0.27881425523716963,0.2849072957641063,0.33615286085297624
APOE,0.3594164372364869,0.025713148069442696,-0.14708838522406706,-0.3585170276302908,0.32858033741475723,0.14221571533430621
APOF,0.25839598094564087,0.015098560421432344,-0.14052411279944266,-0.18625214419671254,0.17134971851049663,0.08728496717819059
AXL,0.3383266634937011,-0.22047984471238746,-0.3857163230029079,-0.021897264224608207,0.21013098871106775,-0.2827246345250026
B4GALT5,0.3167333938099301,-0.33716280644106844,-0.03626965150294917,-0.19484491573306228,0.2597283618683796,-0.4668334545096493
C1QA,0.22751150952401267,0.07701749571100622,-0.29157537415895146,-0.0462013249869567,0.12898682809649117,0.1794724497466282
C2,0.2562856538827735,-0.12715081344740534,-0.022222163745856116,-0.10531949351673042,0.021528664045094164,0.07443209173570917
C5,0.2649666202780854,-0.23569417303631562,0.13899431192407832,-0.23735008650350048,0.1267837178183484,0.02899535050066044
C7,0.4325011429293337,-0.30952524619808647,-0.11281029995151956,-0.12697180903709238,0.20219071987155282,0.19624285470432787
C9,0.38907346120354036,-0.27099753227661044,-0.1519650261735824,-0.09601573809710767,0.2629560170102938,-0.3190469364356696
CAMKK2,0.27481048148879955,-0.22711781013763788,-0.006793661107042543,-0.14901377499827156,0.2137551583045318,-0.3143293187422844
CD14,0.31606867848060094,-0.10068150955790282,-0.15957599511977807,-0.15580324336422363,0.21792493885460038,0.166422866044381
CD93,0.1298740592031465,-0.25730508962338033,-0.11408104490702015,0.11889123433313571,0.128422368969019,-0.36363178194020845
CDH1,0.35488910907908977,-0.2541591152318168,-0.05676775191768349,-0.08976399786579903,0.0355584976042463,0.01713986360957387
CDH5,0.21089514561416095,-0.011810497817931684,-0.14074125508367552,-0.1317862092420058,0.19649845231007046,-0.17628999459376377
CFB,0.2857477868563108,-0.24070141365088688,0.08031363243425875,-0.18767864928244127,0.1555278534057851,-0.5296708402058237
CP,0.35513738330322603,-0.13511080599100134,-0.13104259447823946,-0.1293332568336146,0.12772487697843893,-0.05658732032923589
CRP,0.28288886284134906,-0.18949454748350597,0.015891279625666964,-0.10662842986844356,0.05706009394154802,-1.1241186986242373
CTSD,0.29299627606573436,0.006111263249906675,0.024480025051464464,-0.29617748580242437,0.02294894992534473,-0.0037530002344980497
DIRAS2,0.22195929527500263,-0.2733953150523633,0.1520394029046955,-0.21050742730920316,0.12529972989099006,-0.8107644079500209
DPP4,0.18314077004749424,0.0883632665082948,0.006963466687027638,-0.1507858630170713,-0.1447447812735932,0.14228470229559545
DSG2,0.23768568936808665,0.10411674026463845,-0.12395816081297924,-0.14884824691533918,-0.04750046036364068,-0.09451086907424928
EFEMP1,0.2884182921347836,-0.17629264843918913,-0.04351393783573006,-0.16803284211154496,0.15333826240597898,0.049890551111345875
ENO1,0.22420939162774223,-0.15526252628689144,0.015877601740204663,-0.13449575423553597,-0.005859945253412635,0.22075336247882074
FBLN1,0.2383441000355504,-0.003116585819308571,-0.21550562151368358,-0.058889541981107414,0.14435862491399104,-0.18965246593745694
FCGR3A,0.32731487480220506,-0.03574130980621705,-0.16093181342776586,-0.1826464132227003,0.16572054377898748,0.12481062536722862
FGL1,0.1707808655038879,-0.15018073927678602,-0.012547806936896257,-0.10911474242715818,0.16252126136405745,-1.2085061713590382
FLNA,0.23195750724258926,-0.18989178749185073,0.036744408642557624,-0.08153753702686113,0.006279613743457239,-0.4397725588416803
GAPDH,0.25885838892118984,-0.011252468004250624,0.04232541516935381,-0.2529439944776145,0.05817086967224728,-0.5215422264515823
GOLM1,0.19213770954064283,-0.24604121362695572,0.030467755269623076,-0.017748621492540913,-0.008698033672274114,-0.4682291284649836
GOT1,0.1978532158449205,-0.2717114881507128,0.004992209457883297,0.1378935118453622,-0.1732681805250271,-0.5871556058518217
GSTO1,0.25931690595757323,-0.412075695914399,0.06548039369469966,0.016084629008650726,0.06693463159239754,-0.28576871397005277
H6PD,0.26627036303854124,-0.19136187794910264,-0.016988584040853325,-0.1319562712578026,0.08921872088115766,-0.06866356620212996
HNF4A,0.33486165999452333,-0.01311923696933421,-0.08265277250620287,-0.02922246338177288,-0.2770151093679974,-0.6484392302615735
HNRNPA2B1,0.19536222654201948,-0.2653366596183511,0.08850485606802298,-0.11161426235888933,0.02987099535416881,0.17177627408463003
HSPA5,0.13455374855287153,0.018068287679677084,-0.17674192756919038,0.0968719954046252,-0.0683424206954448,-0.38748054158701856
ICAM1,0.48401520924792246,-0.18450511981719545,-0.1263171885509618,-0.23539543536489468,0.2226946824644055,-0.48192052179764533
IGFBP2,0.275764789616374,-0.25271849897663184,0.10661300100408493,-0.0002610755183034027,-0.28185603154595273,-0.12538650925229444
IGFBP7,0.25063756096569406,-0.04899936555269806,-0.18807625105494855,-0.09582052098564527,0.07813160706173806,-0.0367817273216785
ITGB1,0.3209505699251699,-0.18154485705041762,-0.06177261530717717,-0.1627816365579667,0.1567001586583466,-0.3819021145113338
ITIH3,0.5676047234011133,-0.24296440611222858,-0.28852308672322524,-0.19987888710172963,0.3587757650859953,0.018310871560942316
KRT10,0.1785621735638726,0.05540113068043396,-0.05225463518042524,-0.1150992765953709,0.010775938362889412,-0.7172039562768514
LBP,0.3109079433824296,-0.11169268446868834,-0.06598425066620639,-0.11061630730690719,0.05831120597374097,-0.7103249331446533
LCN2,0.23479700940198164,-0.21939856305198346,0.04948607200165857,-0.06647145186343076,-0.005236225535492275,-0.3496591767455762
LGALS3BP,0.20625262320876445,0.06115879193319442,-0.10749022705521238,-0.0762031203561476,-0.04365102492646338,-0.3251575978179691
LMAN2,0.2283977794627249,-0.21418781036985124,0.03787751944847757,-0.11251545582746034,0.07412496357134792,-0.300592756531708
LRG1,0.4265925897993024,-0.24431498972572235,-0.06414699981561307,-0.1248522006659339,0.08813306629183024,-0.5644826188267594
LYZ,0.22885713006583963,-0.16293315211346945,-0.18541672569554912,0.011354235180837694,0.2121728076733132,-0.41593062353628707
MAN1A1,0.22153617400114547,-0.029573825092757213,-0.09330743920704136,-0.18267324044474084,0.1973637982552909,0.05908176617306828
MASP2,0.29568571534479987,-0.4411708943103408,0.02683677140035486,-0.04463950372766881,0.19862206173272995,0.1269141975086698
MMP2,0.2053722243941629,-0.26089002976551184,-0.017787812828402385,-0.049689001361204584,0.1497015001711086,0.15211325701706455
MRC1,0.18242495032746403,-0.13858191321649824,-0.05565945237650482,-0.062197315281888065,0.14109012007554636,-0.41399176537822785
NRP1,0.3658247533112975,-0.1297058688599683,-0.08295754560147207,-0.12133474094009852,0.009780344604317016,-0.11973791821230736
