Hcluster,C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5
Sample type,CHOL,LIHC,OVCA,PAAD,SARC,STAD,others,CRCA,ESCA,ML,HNCA,LC,RCC,BRCA,CECA,THCA,BLCA,TGCT
Gene,,,,,,,,,,,,,,,,,,
PSIP1,0.7401162991695894,0.23349986076390827,0.307280922153068,0.2531925671333589,0.34921330582512067,0.3220613690155709,0.0494143813888492,0.27909326666813233,0.11150184656565335,0.1943141909736347,0.282759981979601,0.39263342816508023,-0.43199059428454556,-0.2066716128252252,-0.5249222414721137,0.19965083700129344,-1.1366973102513414,-0.47538580068894104
ADGRG6,0.4509604910234267,0.5550549255766362,0.026502634892670886,0.4437627954409228,-0.23211794970684205,0.10182136607846508,0.1666415952860424,0.045827822603820234,0.044199176148851806,0.10527282217549519,-0.6039816954250669,-0.10078038575059078,0.07713129001007515,-0.04820095835905328,0.14642293371159262,-0.204296303973734,-0.09417566674666879,-0.6436484293985607
ADIPOQ,0.309670883371002,0.9815274409324362,-0.23889858353466967,-0.30325809648086854,0.17462392897115514,0.19175885206343848,-0.010461722832136993,0.16189532856273314,0.3479909878901288,0.02095787776924897,-0.6174909831095328,0.01373693716976905,-0.23672249807295884,-0.2933578944051189,-0.011850723872305357,0.05927315784818739,0.10439516487616445,-0.16292252713956315
ALCAM,0.4617743846060944,1.2829152473200187,0.05678345709065742,0.05148525115465145,0.15737981502016335,-0.03832804355777064,0.34715088078351375,-0.14449555014569573,-0.1846276796429273,0.023543017573077474,-0.7310514855838012,-0.12169059124880284,-0.21887234700073777,0.18918800286126736,0.026055528046017795,0.2117985658657112,0.06992847444303132,-0.22942466262440425
ALDOA,0.06903421367287772,0.44768477187362005,0.44212737479002345,-0.5836984193049511,-0.02894101669631744,0.2668297705478495,0.2923041139990289,-0.021092964998087313,0.21538209957340645,0.05758976161417911,0.7068738400198722,-0.30152867854927456,0.05147939533824984,-0.007121777646144282,0.11602369370803771,-0.00045891844597831797,-0.21845889435017563,0.455979349070618
ANXA6,0.14664819282139702,0.37165351233076255,0.15586108469473609,0.3488744799920534,0.2874984583394113,0.10337852136472575,-0.033982746438967634,0.1782697808772324,0.140335154706382,0.08280912931731733,0.42492524450636493,0.010953943801012854,0.3019886854169043,-0.015773765332511982,0.13731439138487517,0.10929687332661109,-0.5248538966501628,-0.8504496702706732
APOE,0.8350625525393688,0.9926264831832072,0.08258375491833934,0.10147401305352563,0.29761633758024786,0.17042482698404,0.2467865497919108,0.12775706469444206,0.34143625168887537,0.30655194405910535,-0.2447007394700223,-0.1609211437181249,-0.38973234587819483,0.3472661719052912,0.1477331237675931,0.12339833065128061,-0.3462560655320347,-0.8034047252913862
AZGP1,-0.5600102891471447,-0.21601810143484668,-0.15799550224571748,-0.012193097145003568,-0.02024913323116162,0.45197721632168203,0.3840970066756451,-0.03443807862618406,-0.10348062127749515,0.0011599437813090674,0.25148656406032793,-0.1376960986353849,0.14965732691830813,-0.28944631427885004,0.22972419046867154,-0.13537907655626719,0.172026523828935,-0.056793955805843975
