Gene,discovery_tumor_BLCA_mean,discovery_tumor_CRCA_mean,discovery_tumor_ML_mean,discovery_tumor_RCC_mean,discovery_tumor_ESCA_mean,discovery_tumor_LC_mean,discovery_tumor_OVCA_mean,discovery_tumor_others_mean,discovery_tumor_STAD_mean,discovery_tumor_CHOL_mean,discovery_tumor_BRCA_mean,discovery_tumor_SARC_mean,discovery_tumor_PAAD_mean,discovery_tumor_LIHC_mean,discovery_tumor_THCA_mean,discovery_tumor_HNCA_mean,discovery_tumor_CECA_mean,discovery_tumor_TGCT_mean
PSIP1,21.406777429999995,24.355081105573767,24.178533482954546,22.87428924619469,24.00608146682927,24.59152206013573,24.413780301363634,23.87678783769231,24.44455974468085,25.315135455,23.343503261348317,24.501102115,24.301144366000003,24.260135420526314,24.189646746,24.3627168325,22.68076435526316,22.783921187083337
A1BG,27.126942217372893,27.131775436885246,27.127855531804514,26.99516542269841,27.13700191309524,27.09138334727273,27.185921613749997,27.20490556875,27.144263035319145,27.246191765555555,27.199235477525793,26.953265115882353,27.221876706,27.186799446190484,27.163963165000002,27.102788721999996,27.151560371000006,26.751114408695646
ABI3BP,18.904112370854705,18.46979113065574,18.748723706335873,18.723201352619057,18.617531000975614,18.978257567903942,17.983416001666665,18.688784194716973,18.696601042340426,18.347893689444444,18.81423642402062,18.77902276705882,18.646701392,19.30694813,18.451858476,18.539437229999997,19.315212886,19.150376770652176
ACE,17.57562059728972,17.3157184994,17.49549371025,17.356466082531647,17.342494811081075,17.394226311133327,16.974428673333332,17.311724990487807,17.479540135277777,17.291723054705884,17.302523023255816,16.768285382000002,16.888336337777773,17.93787453333333,16.674487612,17.817915637777777,17.691128920555556,17.937831883499996
ACTA1,22.717454360000005,23.138254657272725,23.25411767992424,23.33543317774195,23.45249627175,22.91703793113536,23.412250951666675,23.1810447496,22.948371530000003,23.816579486666665,21.508055782957747,22.988215850588237,22.223580203,23.264439896,20.60715731333333,23.347025878750003,21.86787335133333,23.23692216428571
ACTA2,22.481172555391293,23.061062499811317,23.046392927954532,23.139672535245897,23.258133412564103,22.737551192173918,23.172662866249997,22.827181968039213,22.906436409318182,23.431086504444448,21.335552873898312,23.187596700666667,22.64292537142857,23.070073395,20.728832065,23.54833718,21.19611597357143,22.746307185116276
ACTB,21.71978380898305,22.36288260566666,22.5993776593182,22.794340450165286,22.85968836333333,22.23167893295652,22.3939114225,21.955108815,22.36218582866666,23.513475919444446,20.890343105054942,22.409487724705883,21.415411019999997,22.752992286190473,20.21716111888889,23.21359762571429,20.779029817777776,22.519903379523807
ACTBL2,22.070201186864406,22.548019762786886,22.718177449248124,22.967318489999997,22.881070458809525,22.30626441692639,22.81006335083333,22.320345864464286,22.47422093361702,23.216272659444442,20.978879450824742,22.54696175882353,21.542908106000002,22.61725524380952,20.077946074,22.61693491,20.9315674025,22.77792698456522
ACTC1,20.56744049015151,20.721612400555557,20.890229320120476,20.948429658194446,20.940223789999997,20.516313016510068,21.145759923076923,20.864793159999998,20.512438484999997,21.287317378571426,19.975177954074073,21.306178704444445,20.107386265714286,20.346807027857146,18.36407801,22.209488953333334,18.70148227375,20.749788718235298
ACTN1,19.575041759555557,19.8122702902,19.627847462912616,19.204238419523815,19.17001251176471,19.277659077499994,19.290035244444447,19.547556074102562,19.443991065,20.29783904117647,19.434965428813562,20.457895198333336,19.35050993375,20.216829927142857,18.66733107875,19.835768556250002,19.509760815882352,19.645238219230766
