,Tumor type,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
HALLMARK_COAGULATION,discovery_tumor_BRCA,HALLMARK_COAGULATION,HALLMARK_COAGULATION,3/7,138/4383,0.00097419793488311,0.006819385544181771,0.006152829062419643,CPN1/KLKB1/PROZ,3.0,,
hsa04610,discovery_tumor_BRCA,hsa04610,Complement and coagulation cascades,2/7,88/8843,0.0019905089426428286,0.0278671251969996,0.01676218056962382,KLKB1/SERPINA5,2.0,Organismal Systems,Immune system
R-HSA-140837,discovery_tumor_BRCA,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2/11,23/11009,0.00022703043681217158,0.008854187035674692,0.004779588143414139,KLKB1/SERPINA5,2.0,,
R-HSA-140877,discovery_tumor_BRCA,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),2/11,39/11009,0.0006591632381204337,0.012853683143348458,0.006938560401267723,KLKB1/SERPINA5,2.0,,
GO:0007596,discovery_tumor_BRCA,GO:0007596,blood coagulation,3/11,224/18870,0.0002538311050185486,0.019358327770289847,0.0112123278447914,FERMT3/KLKB1/PROZ,3.0,,
GO:0050817,discovery_tumor_BRCA,GO:0050817,coagulation,3/11,229/18870,0.00027085775498561585,0.019358327770289847,0.0112123278447914,FERMT3/KLKB1/PROZ,3.0,,
GO:0007599,discovery_tumor_BRCA,GO:0007599,hemostasis,3/11,231/18870,0.00027787073354483034,0.019358327770289847,0.0112123278447914,FERMT3/KLKB1/PROZ,3.0,,
hsa04610,discovery_tumor_CECA,hsa04610,Complement and coagulation cascades,3/12,88/8843,0.0001963482445446551,0.002436503186412415,0.0017098267974823963,F13A1/F13B/VTN,3.0,Organismal Systems,Immune system
hsa04512,discovery_tumor_CECA,hsa04512,ECM-receptor interaction,3/12,89/8843,0.0002030419322010346,0.002436503186412415,0.0017098267974823963,FN1/FREM2/VTN,3.0,Environmental Information Processing,Signaling molecules and interaction
R-HSA-6806834,discovery_tumor_CECA,R-HSA-6806834,Signaling by MET,3/17,79/11009,0.00022494805134624896,0.018417127073176356,0.011589725274882145,FN1/HGFAC/SH3KBP1,3.0,,
R-HSA-140875,discovery_tumor_CECA,R-HSA-140875,Common Pathway of Fibrin Clot Formation,2/17,22/11009,0.000509135292365981,0.018417127073176356,0.011589725274882145,F13A1/F13B,2.0,,
R-HSA-3000170,discovery_tumor_CECA,R-HSA-3000170,Syndecan interactions,2/17,27/11009,0.00077011686280869,0.018417127073176356,0.011589725274882145,FN1/VTN,2.0,,
R-HSA-1474244,discovery_tumor_CECA,R-HSA-1474244,Extracellular matrix organization,4/17,300/11009,0.000971440861959777,0.018417127073176356,0.011589725274882145,FN1/PRSS1/PRSS2/VTN,4.0,,
R-HSA-1592389,discovery_tumor_CECA,R-HSA-1592389,Activation of Matrix Metalloproteinases,2/17,33/11009,0.0011521738139107188,0.018417127073176356,0.011589725274882145,PRSS1/PRSS2,2.0,,
R-HSA-1474228,discovery_tumor_CECA,R-HSA-1474228,Degradation of the extracellular matrix,3/17,140/11009,0.0012011169830332406,0.018417127073176356,0.011589725274882145,FN1/PRSS1/PRSS2,3.0,,
R-HSA-2129379,discovery_tumor_CECA,R-HSA-2129379,Molecules associated with elastic fibres,2/17,37/11009,0.001448043868896705,0.018494191744840516,0.011638221349728013,FN1/VTN,2.0,,
R-HSA-140877,discovery_tumor_CECA,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),2/17,39/11009,0.001608190586507871,0.018494191744840516,0.011638221349728013,F13A1/F13B,2.0,,
