Cluster,,category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
LUAD-enriched,hsa04610,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,6/12,88/8843,7.199184377111425e-10,1.6558124067356277e-08,1.2882750990620442e-08,CFB/CFHR5/F10/F7/F9/MASP1,6
LUAD-enriched,hsa05150,Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,3/12,100/8843,0.0002866770940427316,0.0032967865814914135,0.002565005578277072,CAMP/CFB/MASP1,3
LUAD-enriched,R-HSA-159740,,,R-HSA-159740,Gamma-carboxylation of protein precursors,3/12,10/11009,1.1824007411012071e-07,2.6538460281994386e-06,1.1972237721200474e-06,F10/F7/F9,3
LUAD-enriched,R-HSA-159782,,,R-HSA-159782,Removal of aminoterminal propeptides from gamma-carboxylated proteins,3/12,10/11009,1.1824007411012071e-07,2.6538460281994386e-06,1.1972237721200474e-06,F10/F7/F9,3
LUAD-enriched,R-HSA-159854,,,R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",3/12,11/11009,1.6248036907343503e-07,2.6538460281994386e-06,1.1972237721200474e-06,F10/F7/F9,3
LUAD-enriched,R-HSA-140877,,,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),3/12,39/11009,8.846069808740351e-06,0.0001083643551570693,4.8886175258828255e-05,F10/F7/F9,3
LUAD-enriched,R-HSA-166658,,,R-HSA-166658,Complement cascade,3/12,58/11009,2.9520373601284632e-05,0.00028067787728636975,0.00012662159877580592,CFB/CFHR5/MASP1,3
LUAD-enriched,R-HSA-163841,,,R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",3/12,61/11009,3.436871966771875e-05,0.00028067787728636975,0.00012662159877580592,F10/F7/F9,3
LUAD-enriched,R-HSA-9651496,,,R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),2/12,16/11009,0.0001296030955256992,0.0007938189600949076,0.00035811381658416885,F10/F9,2
LUAD-enriched,R-HSA-9671793,,,R-HSA-9671793,Diseases of hemostasis,2/12,16/11009,0.0001296030955256992,0.0007938189600949076,0.00035811381658416885,F10/F9,2
LUAD-enriched,R-HSA-140837,,,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2/12,23/11009,0.00027209029240382685,0.0013332424327787517,0.000601462751629512,F10/F9,2
LUAD-enriched,R-HSA-166663,,,R-HSA-166663,Initial triggering of complement,2/12,23/11009,0.00027209029240382685,0.0013332424327787517,0.000601462751629512,CFB/MASP1,2
LUAD-enriched,R-HSA-977606,,,R-HSA-977606,Regulation of Complement cascade,2/12,47/11009,0.001145789828821782,0.005103972873842483,0.0023025441536131505,CFB/CFHR5,2
