,AUROC,Balanced accuracy,Precision,Recall,F1,random_state,feature
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,1,WBC
test,0.44166666666666665,0.5159722222222223,0.3,0.1875,0.23076923076923075,1,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,2,WBC
test,0.5777777777777778,0.5986111111111111,0.42857142857142855,0.375,0.39999999999999997,2,WBC
train,0.999465811965812,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,3,WBC
test,0.5013888888888889,0.5340277777777778,0.3125,0.3125,0.3125,3,WBC
train,0.9951923076923077,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,4,WBC
test,0.5944444444444446,0.5493055555555555,0.42857142857142855,0.1875,0.26086956521739124,4,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,5,WBC
test,0.5868055555555556,0.4847222222222222,0.2222222222222222,0.125,0.16,5,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,6,WBC
test,0.6055555555555555,0.5048611111111111,0.2727272727272727,0.1875,0.2222222222222222,6,WBC
train,0.9951923076923077,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,7,WBC
test,0.6493055555555556,0.5472222222222223,0.36363636363636365,0.25,0.2962962962962963,7,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,8,WBC
test,0.6854166666666667,0.6118055555555555,0.5555555555555556,0.3125,0.39999999999999997,8,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,9,WBC
test,0.5652777777777779,0.5715277777777779,0.6,0.1875,0.2857142857142857,9,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,10,WBC
test,0.5861111111111111,0.5270833333333333,0.3333333333333333,0.1875,0.24000000000000005,10,WBC
train,0.9950587606837606,0.9257478632478633,0.96875,0.8611111111111112,0.911764705882353,11,WBC
test,0.41388888888888886,0.5381944444444444,0.375,0.1875,0.25,11,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,12,WBC
test,0.6395833333333334,0.5916666666666667,0.5714285714285714,0.25,0.34782608695652173,12,WBC
train,0.9951923076923077,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,13,WBC
test,0.5805555555555556,0.5895833333333333,0.45454545454545453,0.3125,0.3703703703703703,13,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,14,WBC
test,0.5854166666666667,0.5159722222222223,0.3,0.1875,0.23076923076923075,14,WBC
train,0.999465811965812,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,15,WBC
test,0.5270833333333333,0.6006944444444444,0.5,0.3125,0.38461538461538464,15,WBC
train,0.9950587606837606,0.9257478632478633,0.96875,0.8611111111111112,0.911764705882353,16,WBC
test,0.5604166666666668,0.5180555555555555,0.3333333333333333,0.125,0.18181818181818182,16,WBC
train,0.999866452991453,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577464,17,WBC
test,0.39513888888888893,0.4826388888888889,0.23076923076923078,0.1875,0.20689655172413793,17,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,18,WBC
test,0.5451388888888888,0.48680555555555555,0.2,0.0625,0.09523809523809523,18,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,19,WBC
test,0.4361111111111111,0.4979166666666667,0.25,0.0625,0.1,19,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,20,WBC
test,0.5493055555555556,0.5138888888888888,0.2857142857142857,0.25,0.26666666666666666,20,WBC
train,0.9993322649572649,0.9813034188034189,0.9722222222222222,0.9722222222222222,0.9722222222222222,21,WBC
test,0.5159722222222223,0.5159722222222223,0.3,0.1875,0.23076923076923075,21,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,22,WBC
test,0.5222222222222221,0.5604166666666667,0.5,0.1875,0.2727272727272727,22,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,23,WBC
test,0.5604166666666667,0.5631944444444444,0.3333333333333333,0.4375,0.37837837837837834,23,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,24,WBC
test,0.6625,0.5381944444444444,0.375,0.1875,0.25,24,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,25,WBC
test,0.5229166666666667,0.6006944444444444,0.5,0.3125,0.38461538461538464,25,WBC
train,0.9934561965811965,0.9027777777777778,1.0,0.8055555555555556,0.8923076923076924,26,WBC
test,0.49027777777777776,0.49375,0.25,0.1875,0.21428571428571427,26,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,27,WBC
test,0.5034722222222222,0.5451388888888888,0.3333333333333333,0.3125,0.3225806451612903,27,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,28,WBC
test,0.601388888888889,0.6611111111111111,0.5,0.5,0.5,28,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,29,WBC
test,0.4513888888888889,0.5048611111111111,0.2727272727272727,0.1875,0.2222222222222222,29,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,30,WBC
test,0.6423611111111112,0.5875,0.4,0.375,0.38709677419354843,30,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,31,WBC
test,0.36736111111111114,0.4222222222222222,0.0,0.0,0.0,31,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,32,WBC
test,0.5986111111111111,0.5159722222222223,0.3,0.1875,0.23076923076923075,32,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,33,WBC
test,0.6444444444444445,0.5451388888888888,0.3333333333333333,0.3125,0.3225806451612903,33,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,34,WBC
test,0.5548611111111111,0.5715277777777779,0.6,0.1875,0.2857142857142857,34,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,35,WBC
test,0.5874999999999999,0.4736111111111111,0.2,0.125,0.15384615384615385,35,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,36,WBC
test,0.6229166666666667,0.5694444444444444,0.4444444444444444,0.25,0.32,36,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,37,WBC
test,0.5375000000000001,0.5583333333333333,0.4,0.25,0.3076923076923077,37,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,38,WBC
test,0.6159722222222223,0.5784722222222223,0.4166666666666667,0.3125,0.35714285714285715,38,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,39,WBC
test,0.5201388888888889,0.5805555555555555,0.5,0.25,0.3333333333333333,39,WBC
train,0.9993322649572649,0.9813034188034189,0.9722222222222222,0.9722222222222222,0.9722222222222222,40,WBC
test,0.4263888888888889,0.5048611111111111,0.2727272727272727,0.1875,0.2222222222222222,40,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,41,WBC
test,0.6388888888888888,0.5472222222222223,0.36363636363636365,0.25,0.2962962962962963,41,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,42,WBC
test,0.6180555555555556,0.6097222222222223,0.46153846153846156,0.375,0.41379310344827586,42,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,43,WBC
test,0.6027777777777777,0.6006944444444444,0.5,0.3125,0.38461538461538464,43,WBC
train,0.9986645299145299,0.9674145299145299,0.9714285714285714,0.9444444444444444,0.9577464788732395,44,WBC
test,0.4965277777777778,0.49583333333333335,0.25,0.125,0.16666666666666666,44,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,45,WBC
test,0.6194444444444445,0.61875,0.4375,0.4375,0.4375,45,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,46,WBC
test,0.5381944444444444,0.4625,0.18181818181818182,0.125,0.14814814814814814,46,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,47,WBC
test,0.48055555555555557,0.5805555555555555,0.5,0.25,0.3333333333333333,47,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,48,WBC
test,0.5375,0.5784722222222223,0.4166666666666667,0.3125,0.35714285714285715,48,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,49,WBC
test,0.5048611111111111,0.5048611111111111,0.2727272727272727,0.1875,0.2222222222222222,49,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,50,WBC
test,0.41041666666666665,0.4625,0.18181818181818182,0.125,0.14814814814814814,50,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,51,WBC
test,0.45972222222222225,0.5451388888888888,0.3333333333333333,0.3125,0.3225806451612903,51,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,52,WBC
test,0.5305555555555556,0.5451388888888888,0.3333333333333333,0.3125,0.3225806451612903,52,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,53,WBC
test,0.4916666666666667,0.5361111111111111,0.3333333333333333,0.25,0.28571428571428575,53,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,54,WBC
test,0.6270833333333333,0.6208333333333333,0.5,0.375,0.42857142857142855,54,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,55,WBC
test,0.7097222222222223,0.6944444444444444,0.6153846153846154,0.5,0.5517241379310345,55,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,56,WBC
test,0.5819444444444445,0.5048611111111111,0.2727272727272727,0.1875,0.2222222222222222,56,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,57,WBC
test,0.5659722222222222,0.5493055555555555,0.42857142857142855,0.1875,0.26086956521739124,57,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,58,WBC
