Gene,BLCA,BRCA,CECA,CHOL,CRCA,ESCA,HNCA,LC,LIHC,ML,OVCA,PAAD,RCC,SARC,STAD,TGCT,THCA,others
CFD,0.5597370323390025,-0.0252591115954345,-0.3702709317440503,0.17420459859504536,-0.17636739688316325,0.11454538241315818,-0.20669140410883008,0.02776090678532913,0.0700638422598604,-0.09685055964023748,-0.19248192699560088,-0.0449871994556251,-0.013828373751659143,-0.4372253742049824,-0.235119116557361,-0.37465444946203,-0.12859985348838568,-0.04468429070011234
HPX,0.3727673680481771,0.15348675134489334,-0.007997024547532362,-1.001133044573426,-0.07680351294136,0.1081665189264144,0.05911274680904144,0.17617595272651307,-1.1354883203985322,-0.10155553615799325,-0.033333012841580155,0.1478811055038669,-0.13377482842107774,-0.34188153938654764,-0.19258338711680686,-0.03892825643852265,-0.46985584758360754,-0.12426012076059892
HSPA5,0.4894292276415627,0.007471867018320319,0.06135346832686689,-0.1924025001448716,0.2533744639203197,-0.024896145197517955,0.28217651352785716,-0.1946950010678771,0.06709461008212962,-0.08638838987230107,0.2174199609048301,0.4101580336011061,-0.3059813104321157,0.01950786270230312,0.14240255816726125,-0.15607812305111268,-0.4052530173410265,0.2682777906450214
IGFBP6,0.3792402931029044,-0.16159067648213155,-0.4286607232817436,-0.2690600042727377,-0.1423234755662796,-0.1574226846529223,-0.4301211186606933,0.18517108271912852,0.18060123273732342,-0.08834961636487158,-0.2842354156408539,-0.43954862366148495,-0.06728418882380655,-0.03607113769307368,-0.2702513868137018,0.17637224828921955,-0.4450121176370582,0.011177084540547525
INPP5F,0.4009668179858124,-0.31048152472962165,0.20215042937667926,0.2206720745949724,-0.2803607230859517,-0.2509930001816183,-0.35804918165706,-0.023449563419346342,0.0227494072201627,0.15373537022263015,-0.28079119824942383,0.220640973382173,0.14010684859253514,0.1274346011996782,-0.039278598609817354,0.02440224833332963,-0.42859017045348446,-0.09909213062763735
PCOLCE,0.8615409405531218,-0.0016978653507704361,0.3474465856861478,-0.22179001453836233,-0.04143282050337447,0.0320005122440422,-0.21063158420440117,-0.26191595097884374,-0.5189155338844204,0.04739159466753557,-0.20643902613980872,-0.6195864847618856,0.07263109841090949,-0.3901374550197506,-0.13448823187443654,-0.5550648646119308,0.17886740861919073,0.0375932173171291
PI16,0.30936640665525855,0.19049827783711706,-0.45607765055508304,-0.0702408100719749,-0.1100050899015979,0.06959434138523497,-0.29984009896193553,0.037992241892487996,0.2546792190780057,-0.004212515324147891,-0.7998489447398028,-1.0016797605475891,-0.04120585503020448,-0.5848088961872164,-0.10370584934845747,-0.03042666551538843,0.19989193398649968,-0.04383339796650088
PLXNB1,0.7307435745021312,-0.6501759742959271,-0.21373387175964206,-0.2116802997583601,-0.31776555432536496,-0.12430239942696487,-0.5823383867158052,-0.09496355570763854,0.2416760821801147,-0.11920891831146196,-0.07270162567926929,-0.12806027066920742,0.08398197434066675,-0.04059429889940111,-0.22916325328805512,0.18455019227890046,-0.3674354711058573,-0.3397889015351573
PRSS3,0.5358821474091822,-0.18935201483551514,-0.1802754084319341,-0.2031845732394305,-0.06149223392736949,0.06613762024417064,0.16069935743866595,0.021572126568557785,0.48142820110290524,-0.15285593383779333,0.03329048580236408,-0.5813349663951252,-0.15031364965080243,-0.31386596507075354,0.05828022711496847,-0.14395409413725957,-0.3155872409985532,-0.002296339339347869
SELL,0.5258864322936658,0.15998419315134707,-0.15182959612350921,0.12719604539855645,-0.1496293681452026,-0.2175637478298332,-0.5647327646258484,-0.10384466274119718,0.510669605085402,0.3666680818015192,-0.5769133489949388,-0.30348478853275934,-0.15121807438592932,-0.03483827822559037,-0.6075654731405904,-0.2422053442630625,0.20550402795075035,-0.2544272582925248
APOC4,-0.4375750350192961,0.4361765610931898,0.23594547965294602,0.16755387573081892,-0.02219923955115382,0.11565886703608985,-0.12736335949650926,0.019173752204756887,-0.8558460980873073,0.2578389950222585,0.22934898609653454,-0.02439663694501477,-0.010768996991879115,-0.256351708637619,0.06059978301773222,-0.6134656588257769,0.37250083095790026,0.013051203971315309
