Gene,Cluster,LUAD,SCC,SCLC
CAMP,LUAD-enriched,0.0757328937560991,0.1126983370265884,-0.26336864497602075
CFB,LUAD-enriched,-0.1426583750484778,0.3662279207335196,-0.1068490570089677
CFHR5,LUAD-enriched,-0.18241981290026274,0.395938465683724,-0.06545619115886887
F10,LUAD-enriched,-0.13595307617087074,0.2777368611784837,-0.030549449958714885
F7,LUAD-enriched,0.09595045571940627,0.16591724494196902,-0.3446551968235734
F9,LUAD-enriched,0.10909024531858495,0.017258117452821214,-0.21560401803208315
FUCA1,LUAD-enriched,-0.10246967844641124,0.23564880118307546,-0.06472811916472138
GGH,LUAD-enriched,0.05728018398035441,0.16545835401927889,-0.26960414307446195
LRRC3B,LUAD-enriched,0.27109775125076996,0.16039681653938717,-0.666855241130238
MASP1,LUAD-enriched,-0.16126399169236114,0.2570580454175298,0.033217139628730616
NUTF2,LUAD-enriched,-0.28321501288277456,0.3671194524173693,0.022004399845394297
OLFM1,LUAD-enriched,0.007357121530647394,0.2400113823282474,-0.2580803366873708
PCSK9,LUAD-enriched,0.08152065367176996,0.06190584649771735,-0.22059645327526325
PECAM1,LUAD-enriched,0.1619593500827298,0.25711614548302064,-0.6040184488748203
PFN1,LUAD-enriched,0.1268323962744752,0.0354318672992845,-0.2660362241619698
RNASE4,LUAD-enriched,-0.034298050087685404,0.33949866642624177,-0.28024403405263615
AGT,SCC-enriched,0.07998635481927072,-0.24209322270286407,0.09666348666779863
APOC1,SCC-enriched,0.19077321056530358,-0.21657888329658329,-0.1302814995494183
APOC3,SCC-enriched,0.22345745011847665,-0.30338517952248756,-0.10290109342018636
CAP1,SCC-enriched,0.16377325595460882,-0.1138109572613982,-0.2187061489419426
ENO2,SCC-enriched,0.27025369177841174,-0.3100313111812696,-0.19391578054908015
ENPP2,SCC-enriched,0.21761818970747893,-0.17820611919701546,-0.20648110303236783
EPB42,SCC-enriched,0.3754268388475438,-0.6190841886076769,-0.09226446570598047
FBP1,SCC-enriched,0.19020472132810537,-0.07050113883796079,-0.2877914757568414
IL1RAP,SCC-enriched,0.10495822444037753,-0.18682196059529332,-0.004011174750867456
ITGB3,SCC-enriched,0.2671615559499585,-0.20365719358954443,-0.2467008578689571
LGALS3BP,SCC-enriched,0.1538315293881033,-0.21912318564781721,-0.06057050414873516
NAP1L1,SCC-enriched,0.2226469306404263,-0.11553047302751142,-0.37830559334959646
PDLIM1,SCC-enriched,0.21186226988302242,-0.33031769558881025,-0.049646103539594505
SH3BGRL3,SCC-enriched,0.18278106341266773,-0.2119818723340436,-0.13413411579318837
SRGN,SCC-enriched,0.17836365160993123,-0.277091005643438,-0.07913390135387795
VCL,SCC-enriched,0.16050665727614485,-0.10878749413608758,-0.17428788324184816
ADH1A,SCLC-enriched,-0.548641077500476,0.2714364326350203,0.7458203649428791
APOD,SCLC-enriched,-0.15071160795326466,-0.08290178803358336,0.3569228934031707
AZGP1,SCLC-enriched,-0.17941730314316875,0.16041270439758154,0.16580057404456164
B2M,SCLC-enriched,-0.28130093762900177,0.35360652534090364,0.1803899713610802
BASP1,SCLC-enriched,-0.21588671871414403,-0.017316486370553753,0.4098377931235361
BLMH,SCLC-enriched,-0.17895221754714352,0.03450619547051946,0.2620999272693089
CADM1,SCLC-enriched,-0.23821936233965152,-0.26726255586765263,0.4948563595995
CSF1R,SCLC-enriched,0.011597700690784482,-0.24018353769274503,0.21909680916403282
CTTN,SCLC-enriched,-0.2049823239823161,0.20646328303800218,0.20346770676626785
ECM1,SCLC-enriched,-0.04066841455572779,-0.23942854398986863,0.3133711159093792
FGL1,SCLC-enriched,-0.24048632837224948,0.2464459145749113,0.17663047324127024
HNRNPA2B1,SCLC-enriched,-0.13070575768582884,0.08671249466761019,0.1608742330513416
IGFBP4,SCLC-enriched,-0.3457248251691572,0.24365057942530732,0.40712556206956774
IGFBP6,SCLC-enriched,-0.022132938261249235,-0.2513456507039659,0.28054708486288826
LDHA,SCLC-enriched,-0.12724660145571223,-0.10410570791090955,0.33546316510309654
MARCKS,SCLC-enriched,-0.32730906875740734,0.11339213109190341,0.3275704071310467
MASP2,SCLC-enriched,-0.16580264941703166,0.22402161606238347,0.07743774651403522
MBL2,SCLC-enriched,-0.24405939048646424,0.1329313519567632,0.31656879057453696
MCAM,SCLC-enriched,-0.10082520750301267,-0.18662488174840025,0.36994344084477976
MMRN2,SCLC-enriched,-0.20055601327908248,0.09641208834650268,0.30736364681924006
NCAM1,SCLC-enriched,-0.18184430133363697,-0.19335026826507823,0.5138482912183614
RCN1,SCLC-enriched,-0.40152175933698414,0.3907292538220073,0.29682286893318643
