,feature,AUROC
train,WBC,0.9987980769230769
test,WBC,0.44166666666666665
train,WBC,0.9977297008547009
test,WBC,0.5777777777777778
train,WBC,0.999465811965812
test,WBC,0.5013888888888889
train,WBC,0.9951923076923077
test,WBC,0.5944444444444446
train,WBC,0.9977297008547009
test,WBC,0.5868055555555556
train,WBC,0.9987980769230769
test,WBC,0.6055555555555555
train,WBC,0.9951923076923077
test,WBC,0.6493055555555556
train,WBC,0.9966613247863247
test,WBC,0.6854166666666667
train,WBC,0.9966613247863247
test,WBC,0.5652777777777779
train,WBC,0.9966613247863247
test,WBC,0.5861111111111111
train,WBC,0.9950587606837606
test,WBC,0.41388888888888886
train,WBC,0.9978632478632479
test,WBC,0.6395833333333334
train,WBC,0.9951923076923077
test,WBC,0.5805555555555556
train,WBC,0.9987980769230769
test,WBC,0.5854166666666667
train,WBC,0.999465811965812
test,WBC,0.5270833333333333
train,WBC,0.9950587606837606
test,WBC,0.5604166666666668
train,WBC,0.999866452991453
test,WBC,0.39513888888888893
train,WBC,0.9966613247863247
test,WBC,0.5451388888888888
train,WBC,0.9978632478632479
test,WBC,0.4361111111111111
train,WBC,0.9987980769230769
test,WBC,0.5493055555555556
train,WBC,0.9993322649572649
test,WBC,0.5159722222222223
train,WBC,0.9978632478632479
test,WBC,0.5222222222222221
train,WBC,0.9966613247863247
test,WBC,0.5604166666666667
train,WBC,0.9987980769230769
test,WBC,0.6625
train,WBC,0.9977297008547009
test,WBC,0.5229166666666667
train,WBC,0.9934561965811965
test,WBC,0.49027777777777776
train,WBC,0.9978632478632479
test,WBC,0.5034722222222222
train,WBC,0.9987980769230769
test,WBC,0.601388888888889
train,WBC,0.9987980769230769
test,WBC,0.4513888888888889
train,WBC,0.9966613247863247
test,WBC,0.6423611111111112
train,WBC,0.9965277777777777
test,WBC,0.36736111111111114
train,WBC,0.9977297008547009
test,WBC,0.5986111111111111
train,WBC,0.9987980769230769
test,WBC,0.6444444444444445
train,WBC,0.9965277777777777
test,WBC,0.5548611111111111
train,WBC,0.9965277777777777
test,WBC,0.5874999999999999
train,WBC,0.9987980769230769
test,WBC,0.6229166666666667
train,WBC,0.9987980769230769
test,WBC,0.5375000000000001
train,WBC,0.9965277777777777
test,WBC,0.6159722222222223
train,WBC,0.9966613247863247
test,WBC,0.5201388888888889
train,WBC,0.9993322649572649
test,WBC,0.4263888888888889
train,WBC,0.9966613247863247
test,WBC,0.6388888888888888
train,WBC,0.9987980769230769
test,WBC,0.6180555555555556
train,WBC,0.9978632478632479
test,WBC,0.6027777777777777
train,WBC,0.9986645299145299
test,WBC,0.4965277777777778
train,WBC,0.9978632478632479
test,WBC,0.6194444444444445
train,WBC,0.9966613247863247
test,WBC,0.5381944444444444
train,WBC,0.9978632478632479
test,WBC,0.48055555555555557
train,WBC,0.9978632478632479
test,WBC,0.5375
train,WBC,0.9987980769230769
test,WBC,0.5048611111111111
train,WBC,0.9987980769230769
test,WBC,0.41041666666666665
train,WBC,0.9977297008547009
test,WBC,0.45972222222222225
train,WBC,0.9987980769230769
test,WBC,0.5305555555555556
train,WBC,0.9966613247863247
test,WBC,0.4916666666666667
train,WBC,0.9978632478632479
test,WBC,0.6270833333333333
train,WBC,0.9965277777777777
test,WBC,0.7097222222222223
train,WBC,0.9978632478632479
test,WBC,0.5819444444444445
train,WBC,0.9966613247863247
test,WBC,0.5659722222222222
train,WBC,0.9987980769230769
test,WBC,0.47291666666666676
train,WBC,0.9978632478632479
test,WBC,0.5534722222222221
train,WBC,0.9977297008547009
test,WBC,0.5319444444444444
train,WBC,0.9977297008547009
test,WBC,0.4145833333333333
train,WBC,0.9978632478632479
test,WBC,0.5645833333333333
train,WBC,0.9966613247863247
test,WBC,0.48333333333333334
train,WBC,0.999465811965812
test,WBC,0.4701388888888889
train,WBC,0.9966613247863247
test,WBC,0.5472222222222223
train,WBC,0.9977297008547009
test,WBC,0.5430555555555555
train,WBC,0.9966613247863247
test,WBC,0.6055555555555556
train,WBC,0.9978632478632479
test,WBC,0.5208333333333334
train,WBC,0.999465811965812
test,WBC,0.4312500000000001
train,WBC,0.9951923076923077
test,WBC,0.5645833333333333
train,WBC,0.9950587606837606
test,WBC,0.5930555555555556
train,WBC,0.9987980769230769
test,WBC,0.5027777777777778
train,WBC,0.9987980769230769
test,WBC,0.5854166666666667
train,WBC,0.9993322649572649
test,WBC,0.4263888888888889
train,WBC,0.9978632478632479
test,WBC,0.5902777777777778
train,WBC,0.9987980769230769
test,WBC,0.5965277777777778
train,WBC,0.9987980769230769
test,WBC,0.5298611111111111
train,WBC,0.9966613247863247
test,WBC,0.6423611111111112
train,WBC,0.9965277777777777
test,WBC,0.5715277777777779
train,WBC,0.9966613247863247
test,WBC,0.6729166666666667
train,WBC,0.9966613247863247
test,WBC,0.46319444444444446
train,WBC,0.9987980769230769
test,WBC,0.44305555555555554
train,WBC,0.9977297008547009
test,WBC,0.5520833333333334
train,WBC,0.9978632478632479
test,WBC,0.6361111111111111
train,WBC,0.9965277777777777
test,WBC,0.48125
train,WBC,0.999465811965812
test,WBC,0.5368055555555555
train,WBC,0.9986645299145299
test,WBC,0.5458333333333334
train,WBC,0.9966613247863247
test,WBC,0.5965277777777778
train,WBC,0.9966613247863247
test,WBC,0.5340277777777778
train,WBC,0.9987980769230769
test,WBC,0.548611111111111
train,WBC,0.9977297008547009
test,WBC,0.5354166666666667
train,WBC,0.9978632478632479
test,WBC,0.4145833333333333
train,WBC,0.9965277777777777
test,WBC,0.6618055555555555
train,WBC,0.9965277777777777
test,WBC,0.4750000000000001
train,WBC,0.9987980769230769
test,WBC,0.6243055555555556
train,WBC,0.9966613247863247
test,WBC,0.5416666666666667
train,WBC,0.9978632478632479
test,WBC,0.6166666666666667
train,WBC,0.9950587606837606
test,WBC,0.5409722222222222
train,WBC,0.9951923076923077
test,WBC,0.5819444444444444
train,WBC,0.9987980769230769
test,WBC,0.5256944444444445
train,MCHC,0.7176816239316239
test,MCHC,0.6909722222222222
train,MCHC,0.751201923076923
test,MCHC,0.6618055555555555
train,MCHC,0.7697649572649572
test,MCHC,0.45624999999999993
