,LC,LC,ML,ML,CRCA,CRCA,ESCA,ESCA,RCC,RCC,BLCA,BLCA
,plasma,tissue,plasma,tissue,plasma,tissue,plasma,tissue,plasma,tissue,plasma,tissue
0,PSIP1,AACS,PSIP1,AARS,PSIP1,AARS,PSIP1,AAK1,ACTA1,AASDHPPT,PSIP1,A2LD1
1,ABRACL,AAMP,ACTA1,AASDHPPT,ABRACL,AASDHPPT,ACTA1,AARS,ACTA2,ABCC1,ABRACL,AAAS
2,ACTA1,AARS,ACTA2,ABCF1,ACTA1,ABCE1,ACTA2,ABCF3,ACTB,ABCC3,ACTA1,AARS
3,ACTA2,AASDHPPT,ACTB,ABCF3,ACTA2,ACOT9,ACTB,ABHD6,ACTBL2,ABCD1,ACTA2,AATF
4,ACTB,ABCF1,ACTBL2,ABI1,ACTB,ACOX2,ACTBL2,ACAA2,ACTC1,ABCE1,ACTB,ABCB10
5,ACTBL2,ABCF3,ACTC1,ACTL6A,ACTBL2,ACSL4,ACTC1,ACIN1,ACTN1,ABCF1,ACTBL2,ABCF3
6,ACTN1,ABHD10,ACTN1,ADPRH,ACTC1,ACTB,ALDOC,ACLY,ADAMTS13,ABCF2,ACTC1,ACAD9
7,ACTR2,ABHD11,ADAMTS13,ADSL,ACTN1,ACTG1,ANO8,ACOT1,AK1,ABCF2-H2BE1,ACTN1,ACLY
8,ADAMTS13,ABHD12,AGT,AGK,ACTR2,ACTL6B,APOB,ACOT2,ALDOC,ABI3BP,ACTR2,ACOT7
9,AK1,ABHD17B,AK1,AGPS,ADAMTS13,ACTN1,APOC1,ACP1,AZGP1,ACAP2,ADAMTS13,ACP2
10,ALDOC,ABRACL,ALDOA,AIM1,AGT,ACTN4,APOC4,ACP2,B3GNT2,ACBD6,AGT,ACTA1
11,ANO8,ACACA,ALDOC,AIMP1,AK1,ACTR5,APOE,ACP5,BLVRB,ACLY,AK1,ACTA2
12,ANPEP,ACAT2,AMBP,AIMP2,ALDOC,ADAR,APOF,ACTR3,C1R,ACP1,ALDOC,ACTB
13,APOC1,ACBD3,ANO8,ALDH18A1,AMBP,ADNP,AZGP1,ADA,C4BPA,ACTR2,ANO8,ACTBL2
14,APOC3,ACIN1,APOB,ALDOA,ANO8,ADRBK2,B3GNT2,ADAM17,C4BPB,ACTR3,APOE,ACTC1
15,APOC4,ACOT7,APOC1,ANAPC13,ANXA6,AEBP1,B4GALT5,ADAR,C8A,ACYP1,ATF6,ACTG1
16,APOE,ACP1,APOC2,ANAPC2,APCS,AHCTF1,C1R,ADPGK,C8B,ADA,AZGP1,ACTG2
17,ASGR2,ACP2,APOC3,ANAPC7,APOB,AHCY,C1S,AEBP1,C8G,ADAM15,B3GNT2,ACTL6B
18,ATF6,ACTL6A,APOC4,ANKRD13D,APOC1,AIMP2,C4A,AFMID,C9,ADAR,B4GALT5,ADAR
19,AZGP1,ACTL6B,APOD,ANP32B,APOC2,ALDH18A1,C4B,AGO4,CA1,ADNP,BLVRB,ADRBK1
20,B3GNT2,ACYP1,APOE,ANP32E,APOC4,ANGPTL2,C4BPA,AGRN,CA2,ADPRH,BST1,ADSS
21,B4GALT5,ACYP2,APOF,AP1M1,APOE,ANKRD22,C5,AGTRAP,CAMP,ADSL,C1R,AGFG1
22,BLVRB,ADAR,AZGP1,API5,APOF,ANO9,C7,AGXT2L2,CAT,AFAP1,C1RL,AGK
23,C1R,ADD2,B3GNT2,ARAF,ATF6,ANXA1,C8A,AHCY,CAVIN2,AGFG1,C3,AGO2
24,C1S,ADI1,B4GALT5,ARAP1,AZGP1,ANXA3,C8B,AHSA1,CCDC88B,AGL,C4A,AGPS
25,C3,ADNP,BST1,ARMC9,B3GNT2,ANXA4,C8G,AIF1,CCL14,AGMO,C4B,AHSA1
26,C4A,ADPRHL2,C1R,ASB3,B4GALT5,APMAP,C9,AIMP1,CD14,AGO1,C4BPA,AHSP
27,C4B,ADRBK1,C1RL,ASCC1,BLMH,APOE,CAMKK2,AIP,CD44,AGO2,C4BPB,AIMP1
28,C4BPA,ADRM1,C1S,ASF1B,C1R,APP,CAMP,AJUBA,CFL1,AGO3,C7,AIMP2
29,C4BPB,ADSS,C2,ASH2L,C1RL,ARAP1,CAPZB,ALDH18A1,CLIC1,AGO4,C8A,AIP
30,C5,AES,C3,ASNS,C1S,ARHGAP1,CAVIN2,ALDH1L2,CLSTN1,AHCTF1,C8B,AKAP17A
31,C7,AFG3L2,C4A,ATAD2,C2,ARHGEF7,CCL14,ALDOA,COLEC10,AHNAK,C8G,AKAP8L
32,C8A,AFTPH,C4B,ATG4B,C3,ARID2,CD14,ALG2,COLEC11,AHNAK2,CA1,AKTIP
33,C8B,AGL,C4BPA,ATIC,C4A,ARL2BP,CDH1,ALG3,CORO1A,AIMP2,CA2,ALDH1B1
34,C8G,AHCTF1,C4BPB,ATP5B,C4B,ASNA1,CFL1,AMPD2,CPN2,AKAP13,CAMP,ALDOC
35,C9,AHCY,C5,ATP6AP1,C4BPA,ASPH,CLIC1,ANAPC4,CRHBP,AKAP8L,CAT,ALG3
36,CA1,AHSA1,C7,ATP6V0C,C4BPB,ATG3,COLEC10,ANKFY1,CRP,AKR1B10,CAVIN2,ALG5
37,CA2,AIMP1,C8A,ATP6V1A,C5,ATP6AP2,COLEC11,ANP32B,CSRP1,AKT1,CCDC88B,ALKBH5
38,CAMP,AIP,C8B,ATP6V1C1,C7,ATRN,CORO1A,ANPEP,CTSL,AKT2,CCL14,ALYREF
39,CAT,AKAP1,C8G,ATRX,C8A,ATXN10,CP,ANXA6,CTTN,ALDH1A1,CD14,AMDHD2
40,CAVIN2,AKAP17A,C9,ATXN10,C8B,B4GALT1,CPN2,ANXA7,DDT,ALDOA,CD163,ANKRD28
41,CCL14,AKAP8L,CA1,BAZ1A,C8G,BAG6,CRP,AP3B1,ENO1,ALDOC,CD248,ANP32A
42,CD14,AKR7A2,CA2,BCAT1,C9,BAIAP2,CSRP1,AP3M2,FCN1,ALG1,CD93,ANP32B
43,CD44,AKT3,CAMKK2,BCL2L2-PABPN1,CA2,BAZ1B,CTSD,AP5S1,FCN3,ALG6,CDH1,ANP32E
44,CDH1,ALDH18A1,CAMP,BID,CAMKK2,BCCIP,CTSL,AP5Z1,FGFR1,ALKBH5,CDH2,AP1M1
45,CDH2,ALG2,CAPZB,BIRC2,CAMP,BCL2L1,DDT,APEX1,FGL1,ALOX5,CEACAM8,AP1S2
46,CFI,ALG6,CAT,BIRC3,CAPZB,BGN,DSG2,API5,FKBP1A,ALYREF,CFI,AP3D1
47,CFL1,ALYREF,CAVIN2,BIRC6,CAT,BLMH,ENO1,APMAP,FLNA,ANAPC13,CFL1,APBB1IP
48,CHI3L1,AMPH,CCDC88B,BLMH,CAVIN2,BMS1,F13A1,APOBEC3B,FN1,ANAPC2,CLIC1,APOA1BP
49,CLIC1,ANAPC1,CCL14,BMS1,CCDC88B,BOP1,FGL1,APOBEC3F,GAPDH,ANKHD1,CLU,APP
50,COL6A1,ANAPC13,CD14,BOP1,CCL14,BRD2,FKBP1A,APTX,GP1BB,ANKHD1-EIF4EBP3,COL18A1,ARFGAP1
51,COLEC10,ANAPC2,CD44,BRI3BP,CD14,BTF3L4,FLNA,ARCN1,GP6,ANKRD13A,COLEC10,ARHGAP6
52,COLEC11,ANKHD1,CD93,BRPF1,CD44,BZW2,FN1,ARF1,GPLD1,ANKRD13D,COLEC11,ARHGDIA
53,CORO1A,ANKHD1-EIF4EBP3,CDH1,BTAF1,CDH1,C11orf58,GAPDH,ARF3,GPNMB,ANO6,CORO1A,ARHGEF1
54,CP,ANKRD17,CDH2,BTF3,CDH2,C12orf10,GP1BB,ARF4,GSTO1,ANP32C,CORO1C,ARL6
55,CPN2,ANKRD28,CDH5,BUD31,CDH5,C16orf13,GPLD1,ARHGAP25,HAPLN1,ANXA1,CP,ARMC1
56,CRHBP,ANP32A,CEACAM8,BYSL,CFB,C16orf58,GSTO1,ARHGAP4,HBA1,ANXA2,CRISP3,ARMCX3
57,CRP,ANP32B,CFB,BZW2,CFHR3,C16orf80,HBA1,ARHGDIB,HBB,ANXA4,CRP,ASNS
58,CSRP1,ANP32C,CFI,C18orf8,CFHR5,C1R,HEXB,ARHGEF1,HBD,ANXA5,CST3,ASUN
59,CTSD,ANXA13,CFL1,C1orf131,CFI,C1S,HLA-C,ARHGEF6,HEXA,APBB1IP,CTSL,ATAD3A
60,CTSL,AP1G2,CHI3L1,C20orf43,CFL1,C20orf27,HTRA1,ARID1A,HLA-C,APMAP,DCD,ATG4B
61,CTTN,AP1S1,CLIC1,C3orf58,CHI3L1,C20orf43,ICAM1,ARIH1,HSPA8,APOL2,DDT,ATL3
62,DDT,AP3D1,CLU,CAB39L,CLIC1,C4BPA,IGF1,ARL1,IGF1,ARAP1,DECR1,ATP1B3
63,DSG2,API5,CNDP1,CACYBP,CLSTN1,C5,IGF2R,ARL6IP4,IGF2R,ARFGAP1,DNASE2,ATP6AP2
64,ENG,APIP,COL6A1,CAD,CLU,C7orf50,IL18BP,ARPC4,INPP5F,ARHGAP1,DSG2,ATP6V0A1
65,ENO1,APMAP,COLEC10,CAPG,COLEC10,C7orf55-LUC7L2,ITGA2B,ASMTL,ITGA2B,ARHGAP17,ENG,ATP6V0A2
66,ENO2,APOA1BP,COLEC11,CARM1,COLEC11,C8A,ITGB1,ASS1,ITIH3,ARHGAP25,ENO1,ATP6V0C
67,F8,APOBEC3C,CORO1A,CBFB,CORO1A,CAD,ITGB3,ATAD3A,ITIH5,ARHGAP4,ENPP2,ATP6V0D1
68,F9,APOBEC3D,CORO1C,CBX3,CORO1C,CALD1,ITIH2,ATAD3C,LAMP2,ARHGDIB,F13A1,ATXN2L
69,FCN3,APP,CP,CBX5,CP,CALU,ITIH3,ATP13A1,LDHB,ARHGEF1,F9,AVL9
70,FGL1,ARFGAP1,CPB2,CCDC106,CPN1,CAMP,ITIH4,ATP2B1,LECT2,ARHGEF10,FBLN5,B4GALT1
71,FKBP1A,ARFGAP3,CPN1,CCDC124,CPN2,CARM1,ITIH5,ATP2B2,LRG1,ARHGEF11,FCGR2A,BAZ1B
72,FLNA,ARFGEF1,CPN2,CCDC88A,CRISP3,CBFB,LBP,ATP2B3,MANBA,ARHGEF2,FCN1,BAZ2A
73,FN1,ARFGEF2,CRHBP,CCNH,CRP,CBX3,LCN2,ATP6V0C,MARCKS,ARHGEF37,FGL1,BCCIP
74,Fibrinogen,ARFIP2,CRISP3,CCT2,CSRP1,CCDC50,LDHB,ATP6V1A,MASP2,ARHGEF6,FKBP1A,BCL3
75,GAPDH,ARHGAP35,CRP,CCT3,CST3,CCNK,LRG1,ATP6V1C1,MRC1,ARHGEF7,FLNA,BHMT
76,GP1BB,ARHGEF18,CST3,CCT4,CTSD,CCT3,MASP1,ATP6V1D,MSL1,ARIH1,FN1,BICD2
77,GP6,ARHGEF2,CTSD,CCT5,CTSL,CCZ1,MASP2,AUP1,MSN,ARL1,FUCA2,BID
78,GPLD1,ARID1A,CTSL,CCT6A,CTTN,CCZ1B,MRC1,B2M,MYH9,ARL6IP5,Fibrinogen,BIRC6
79,GPX3,ARID2,CTTN,CCT7,DCD,CD276,MSL1,B4GALT1,MYL6,ARL6IP6,GAPDH,BLMH
80,GSTO1,ARIH1,DDT,CCT8,DDT,CD300A,MYH10,BAX,NAP1L1,ARMC6,GOT1,BOK
81,HAPLN1,ARL3,DSG2,CD79B,DSG2,CDC23,MYH9,BCAS2,OAF,ARMCX3,GP1BB,BOLA2
82,HBA1,ARL6IP4,ENG,CDK11A,ENG,CDC42EP1,MYL6,BCCIP,PARK7,ARPC1B,GP6,BOLA2B
83,HBB,ARMC1,ENO1,CDK11B,ENO1,CEACAM1,NAP1L1,BCL11B,PFKM,ARPC2,GPLD1,BOP1
84,HBD,ARMC6,F13A1,CDK9,F13A1,CEACAM3,NRP1,BET1L,PFN1,ARPC5,GPX3,BRD8
85,HEXB,ARPC5L,F7,CEBPZ,F2,CEACAM5,OAF,BLOC1S6,PKM,ASCC1,GSTO1,BRIX1
86,HLA-C,AS3MT,F8,CEP97,F8,CEACAM6,PFKM,BNIP2,PNP,ASCC2,GSTP1,BSG
87,HNF4A,ASCC1,F9,CHAF1A,F9,CEACAM8,PFN1,BOLA2,POTEI,ASCC3,HAPLN1,BTF3
88,HNRNPA2B1,ASCC3,FBLN1,CHAMP1,FERMT3,CHD1,PKM,BOLA2B,PPBP,ASNS,HBA1,BTF3L4
89,HPX,ASH2L,FBLN5,CHD4,FETUB,CHD2,PLA2G7,BPI,PRDX2,ATG16L1,HBB,BUB3
90,HSPA1L,ASNA1,FCGR2A,CHERP,FGL1,CHD7,PLTP,BPNT1,PRG4,ATG3,HBD,BUD31
91,HSPA8,ASNS,FCGR3A,CHORDC1,FKBP1A,CHD8,PNP,BRD4,PROS1,ATG5,HLA-A,BYSL
92,ICAM1,ASPSCR1,FCN1,CILP,FLNA,CHD9,PON3,BSG,RNASEH2C,ATIC,HLA-C,C11orf10
93,IDH1,ASRGL1,FCN2,CIRH1A,FN1,CKAP5,POTEI,BUB3,RSU1,ATL3,HNF4A,C12orf4
94,IGF1,ASUN,FCN3,CKAP5,GAPDH,CLIC1,PPBP,BZW1,S100A9,ATM,HPX,C12orf44
95,IGF2R,ATAD2,FETUB,CLPP,GART,CLPX,PRDX2,C11orf10,SAA1,ATP11A,HSPA1A,C12orf51
96,IGFBP2,ATAD3A,FGL1,CNOT7,GNPTG,CLU,PROS1,C11orf31,SAA2,ATP2A2,HSPA1L,C14orf169
97,IGFBP6,ATAD3B,FKBP1A,CNPY3,GP1BB,CMPK2,PSMB2,C16orf58,SELENBP1,ATP2A3,HSPA5,C15orf63
98,INPP5F,ATAD3C,FLNA,CPNE1,GP6,CNN2,RNASEH2C,C16orf80,SEPTIN2,ATP2B4,HSPA8,C19orf10
99,ITGA2B,ATG12,FN1,CPNE2,GPLD1,CNN3,RSU1,C17orf49,SERPINA10,ATXN10,HSPG2,C1orf122
100,ITGB1,ATG3,FTL,CPSF3,GPX3,CNPY4,S100A8,C19orf10,SERPINA11,ATXN2L,ICAM1,C1orf52
101,ITGB3,ATG4B,GAPDH,CPSF6,GSTO1,COL11A1,S100A9,C19orf12,SERPIND1,AUP1,IDH1,C2orf56
102,ITIH3,ATIC,GP1BB,CREB1,GSTP1,COL12A1,SAA1,C1QB,SH3BGRL3,AXL,IGF1,C3orf58
103,ITIH4,ATL1,GP6,CRKL,H6PD,COL2A1,SAA2,C1QC,SLC4A1,BAZ1B,IGFBP4,C6orf108
104,ITIH5,ATP1A3,GPLD1,CSDE1,HAPLN1,COL5A1,SEPTIN2,C1R,SOD1,BCAP29,IGFBP6,C7orf50
105,LCP1,ATP2A1,GPNMB,CSE1L,HBA1,COL7A1,SERPINA10,C1S,SPARC,BCKDK,INPP5F,C8orf33
106,LDHB,ATP2A3,GPX3,CSNK2A1,HBD,COMT,SERPINA11,C1orf122,SRGN,BET1,ITGA2B,CACYBP
