,TF,Drug targets,Enzymes,Transporters,Annotation,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_T,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N,BLCA_N
ACTA1,0.0,0.0,0.0,0.0,3,2.278212585027311,0.7137789099209668,0.5879226440129074,3.0225784908216653,0.331869811560346,-0.46578219516734026,0.24402201390094025,-0.16996508508724054,-0.04264176795989094,-0.7627517533945603,-0.39849872453682367,-1.0136283197657339,-0.5028644757307851,-0.31582061425378644,-0.8565523392813745,-0.25494997129452374,-0.4466642434276809,-0.5463732112830239,-0.7262049324289311,-0.675686821632444
ACTA2,0.0,0.0,0.0,0.0,3,2.2449840502106206,0.7057614995596498,0.5026318828232175,3.1151146210287055,0.25516015964193955,-0.44088504862228145,0.2063716872824015,-0.15397483288022912,-0.10954036462610803,-0.7485584271433877,-0.37420666394064234,-0.9773947299667063,-0.508720578539144,-0.3370528148498063,-0.830472861493936,-0.22317230038967245,-0.4365141685319596,-0.517162904014654,-0.69891292841531,-0.6734552771326936
ACTB,0.0,0.0,0.0,0.0,3,2.1257543129248226,1.2257969659249517,0.7068055993341797,2.551957757009228,0.8280985714315806,-0.24005293722934118,-0.2341181903748664,0.2709741306395804,0.051577104424320695,-0.8319585198013724,-0.06433566063552511,-1.1717273008174034,-0.5728763465230177,-0.26883280866438397,-0.9732735724171216,-0.24998303170525887,-0.4817168126268343,-0.8976911790595582,-0.8690111460790779,-0.9053869357549039
ACTBL2,,,,,3,1.7024213229891967,0.8456235753436764,0.3972724904780438,3.3241542146169323,0.30323715299329873,-0.3788374930330406,0.2329811801098799,-0.19284977952162632,-0.0962905041722758,-0.8657846284453768,0.09164126626200801,-1.0910908174005733,-0.4078964431122631,-0.2637426509289179,-0.8422563838334629,-0.10743622834005323,-0.37108613471249496,-0.6130736058629594,-0.7025020440250233,-0.9644844894049633
ACTC1,,,,,3,2.2642450088326584,0.6819958344778104,0.5593571982873871,3.071161387134707,0.3066642593692747,-0.465780695184298,0.2248938223494326,-0.17863993266826167,-0.052295392067664065,-0.7528404456450756,-0.4011886715962486,-0.9953388002984715,-0.49970046541363,-0.31913594046788535,-0.8424617904402409,-0.2502107930838479,-0.4470571526649493,-0.5348603781695436,-0.7150341390840397,-0.653772913667109
CFL1,0.0,0.0,0.0,0.0,5,1.6642686520233083,2.6217828159813394,1.482641904031552,0.8143881581331125,0.6063212383585396,0.42644935324666733,-0.49251755598635644,-0.41719039002598873,-0.4312890216974964,-0.7194226189899184,0.3527593758455613,-1.1349841334342197,-1.1179980235468403,-0.3970328680506303,-1.0712166865307247,-0.024342693878136524,-0.3136766583881168,0.021503934613946802,-0.8684887933183182,-1.001955988387278
HSPA5,1.0,0.0,1.0,0.0,6,0.33330374853855743,1.4339703905392678,0.9947107893884123,3.4629920215310523,0.28816697561287785,0.2623171865097731,-0.11263943505872111,-0.14392072102513678,0.1009415148665803,-0.4640714451926792,-0.1271813533924877,-0.8819456678761195,-0.548906542976935,-0.24515805305810878,-0.8396223946854263,-0.532781487979442,-0.6063113216957822,-0.9102831190364403,-0.6122459119335706,-0.8513351730756732
HSPA8,0.0,0.0,1.0,0.0,6,0.7530478355197523,0.8320790485977662,0.5891062809802857,1.3139343853656154,-0.016527346477688186,1.075164156248051,-0.5604216153010055,0.6927808121635194,2.4573244307636752,-0.009591200512860694,-0.8486725225038544,-1.3740391965229641,-0.7661298323398434,0.3640687698122254,-1.6336944590119227,-0.16438044662217322,-0.18586973320031963,-0.7440124628510167,-1.3833923553147989,-0.3907745487924342
PNP,,1.0,1.0,,6,1.8408453918526353,1.5225000470326089,0.698129774549676,2.154332167590191,0.07177098079520303,-0.42497308837547243,1.699570101470908,-0.09865572408135036,-0.31697403848511757,-0.2663457655563487,-0.8391413140383556,-0.617114622416539,-0.6949112204187171,-0.616400710224829,-1.1237543078000842,0.02772656474553769,-0.7692572428276302,-1.2725653379831952,-0.4112302786850547,-0.5635513771440732
TAGLN2,0.0,0.0,0.0,0.0,5,0.13722497846839837,0.5427453841633506,0.17804094293423917,1.1532089934418048,3.749840761477682,-0.44403194558782527,-0.14745676540295347,-0.13124195961789065,0.48160698213223235,0.19015803516142285,-0.6595717779144911,-0.8573341885271485,-0.6837831504574869,-0.5516887940165344,-0.7867670284328626,-0.5718426218021097,-0.491386994039409,-0.019718988122834527,-0.6813993057191685,-0.406602558138414
