,TF,Drug targets,Enzymes,Transporters,Annotation,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_T,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N,CRCA_N
ACTB,0.0,0.0,0.0,0.0,3,-0.8962376852057382,1.8815160781237934,-1.0005295256563522,0.20595433833183405,0.1122267064663162,0.2050389506620762,1.605670352603178,1.1245834392330782,0.5225485816025209,2.357927582567749,-0.3924299817763696,-0.6761544871927234,-0.43169204729129645,-0.9153032409552468,-1.1130894934829054,-0.8264045543766183,-0.9664120619336867,-0.5305466275067532,0.05976504875654464,-0.32643137296939917
ACTN1,0.0,1.0,0.0,0.0,3,-0.7712965900058663,1.8905971297405784,-0.6404092328809357,0.9683358042097298,0.7490902407003603,0.8851965334476902,1.5970297833025942,1.5957110041028262,-0.9502040686649408,1.3296606066178436,-0.6388952980148345,-0.6534876194293049,-0.6186966865493334,-0.14686055272391096,-0.9950957857296804,-0.9930703064654631,-1.0238043670089292,-0.8134561277419391,-0.11317845885719721,-0.6571660080492848
APOE,,,,,6,0.348477747058819,0.04283599563533036,-0.41777682227004015,-0.5945644585172226,-0.6546124690491194,2.7107507482804416,1.091499767334726,0.8291240497005954,-0.5158464988592515,2.464160577519762,-0.20123687861396872,-0.6320616878013328,-0.7476999962928895,-0.20616658428208953,-0.2960550472093132,-0.5200944367222067,-0.7582936191116172,-0.42176254174639316,-0.9122682557244111,-0.6084095893298173
BLMH,,,1.0,,6,0.4668922428724137,-0.011698654392514149,-0.2215577591346247,1.0203756069059953,0.15050160786045333,0.9899380268288955,2.375248414811644,2.084088931705701,,-0.5595750957803138,-0.2808309413900297,-0.49749845220201794,-1.1266752719536508,-1.0637976394259574,-0.6669076149995614,0.1709268260700862,-1.0698050565464376,-1.4026159650210441,-0.26120671212979407,-0.09580249407923747
C1R,0.0,0.0,0.0,0.0,5,-0.32546428610839684,1.5154719284609577,-0.23681371532166065,-0.2422128659982595,-0.17167557490075824,0.6941043610144984,1.2376769178424032,2.6200336572025704,-0.7920554042570536,1.985546369626775,-0.6062201212915378,-0.6271200593945012,-0.6459300036871681,-0.6926065321171195,-0.6112709396664207,-0.6692682679021439,-0.4463355948038682,-0.6704874309581501,-0.7354514052281944,-0.5799210325119756
C1S,0.0,1.0,1.0,0.0,5,-0.49884643889408753,0.05178580380666196,-0.5042874689603004,-0.05114568262240168,0.8934811489905904,1.2525891333606447,2.233766884594903,1.739785366701194,-0.8285728609065915,2.0086362640905393,-0.26526621875748735,-0.7287139561619776,-0.7257693987143802,-0.7559831186114684,-0.5028792023549277,-0.677568273539576,-0.7691696150072315,-0.7984231531279293,-0.8279967518407573,-0.24542246204541668
C4BPA,0.0,0.0,0.0,0.0,5,-0.05074194696272219,0.1489996485315988,-0.3180297011256189,-0.3201518345235096,-0.37251463400003426,-0.1372862522409859,-0.02588267001600284,0.15957663086394283,,4.171023497869562,0.003490350983372813,-0.389525385840269,-0.40125606767860905,-0.3699798635525537,-0.34763851472476026,-0.3890959064621245,-0.34914590313040483,-0.32716666436653713,-0.3932559616151324,-0.29141882200921204
C5,0.0,1.0,0.0,0.0,5,-0.10750614653764855,0.46819421207261747,-0.04085152298822569,-0.2868817164756706,-0.550411965566825,1.0912476623164504,-0.4158159496735889,3.707763328829895,,0.8470189451411521,-0.01151319447612446,-0.4796396818753529,-0.4189041947801259,-0.524419235920139,-0.5465516591836539,-0.6420299037274217,-0.5527281493967279,-0.303867064561624,-0.6608167281255216,-0.572287035071462
CAMP,1.0,0.0,0.0,0.0,6,-0.31936463740751203,-0.36017935722210576,-0.3834389268802257,-0.3337462020665913,-0.3342483516706094,-0.2918066671389969,-0.31323841223849075,1.2835973285391697,3.5497784054888397,-0.11129392748655867,-0.33348508427250184,-0.417123122317762,,,-0.41346747320050997,,-0.41021354376647245,,-0.40282190159532555,-0.4089481267643468
CLU,,,,,6,-0.403615239241896,-0.432210207982875,-0.6891454785408524,-0.1491604087467453,-0.32226301922726747,2.1484624182176493,1.237053457095137,0.7470396745792708,-0.1123836126586554,2.9707567800892556,-0.3749684867835303,-0.5318317234915589,0.22754024338337284,-0.17027780869707337,-0.3994466499922604,-0.7762871181593228,-0.759923463465101,-0.8905271770862943,-0.6447564759969062,-0.6740557032943453
FN1,0.0,1.0,0.0,0.0,3,-0.3736553776271476,0.308159522583407,-0.48143673481768917,-0.3464213207887602,-0.345204828551769,0.041636802949149135,1.0488720761417831,1.7512759987185789,-0.3171356113695116,3.559920118412152,-0.4502385662082242,-0.5020852043611846,-0.4788210590184851,-0.45563158513014196,-0.5028572926999186,-0.4975266208175606,-0.5003329625633253,-0.4701207471375959,-0.4858010275868712,-0.5025955801268829
GSTO1,0.0,0.0,1.0,0.0,6,-0.48913942722339127,0.11009046578040652,-0.2144140144124128,-0.0072195323407182955,0.3580975128238048,0.15514940465963054,-0.1282812488362478,0.13693075368643054,4.208872399479695,-0.30575808053464043,-0.6208954570052925,-0.3486293879012125,-0.38674573186846956,-0.5268725873269673,-0.2486323334391325,-0.5249531845188921,-0.16987063200432326,-0.2839409847325081,-0.1682786772252119,-0.5455092570605466
HSPA8,0.0,0.0,1.0,0.0,6,0.4312526855062076,2.312920948638041,-0.2807135379615242,1.6988996845286293,1.6338800164380844,0.5687506430918853,0.6954908322435376,-0.4408839398431093,0.22952920814910727,-0.44434240675138253,-0.5945442863679453,-0.6207340233735422,-0.8321711111895272,-1.8345431587246546,-1.0881638414283232,-0.5576212916789131,-1.0432037716207743,0.40964155671085467,-0.13754134161422216,-0.10590286475243074
MYH9,0.0,0.0,0.0,0.0,3,-0.3614397026063205,1.5777847008055381,-0.8204840837826706,0.7306481817454527,0.05453190475024805,0.6570871309746342,1.7572068076404395,2.3134074087045757,0.7600018409468108,0.651100903994252,-0.8477291433309524,-0.7713905157750791,-0.8738863525278401,-1.1237015272410882,-0.5344160419385681,-0.8194247005432755,-1.0973247146087788,-0.7990036144142066,-0.06100390266324362,-0.39196458012992724
PLTP,1.0,0.0,0.0,0.0,6,-0.646754941549103,0.5879880547720415,0.06990195331256599,-0.2631286443480065,0.3634263198250581,3.796483152004518,-0.5343008011319794,0.4519687940209752,0.5204116067555881,0.4453844221629617,-0.6637356900250323,-0.34040837720784795,-0.4889032899004133,-0.6545522240125399,-0.4414265033452641,-0.5899214160378293,-0.43154994555824394,,-0.5299689775411811,-0.6509134921962693
PROS1,0.0,1.0,0.0,0.0,5,1.6613802692927422,0.5566727649854365,-0.26809872244700883,0.40790676744622506,-0.7921389460367472,0.6697669158028802,-0.5080438797683177,1.2078839219554682,,2.675068577256164,0.37495429917409856,-0.8598034804013561,-0.5720292550539999,-0.5792276097736392,-0.6667276104768098,-0.8046160942174552,-0.721275142907854,,-0.9079524753038322,-0.8737202995259922
RCN1,0.0,0.0,0.0,0.0,6,0.03265171895195992,-0.1847443731164556,-0.048408421624687614,0.10744023130579353,-0.06244326141677043,-0.051025234513205175,-0.18103722152438903,-0.26428676221776287,4.243295556188635,0.414139424549687,-0.2772748768544387,-0.42289179139081584,-0.3814327525270684,-0.35838735368885655,-0.4695844560315986,-0.4516243969067393,-0.5087930358112209,-0.2585384965726525,-0.4502113179469398,-0.42684317885247747
S100A9,0.0,0.0,0.0,0.0,5,-0.1977503255088202,0.05005376987582519,-0.19275568787504727,0.0857453270571054,0.9078393423871086,0.40101810439942365,0.10158168336458799,3.6349818662712403,-0.6355953030021434,1.4124950516738157,-0.1547598976018732,-0.6279535099815924,-0.6024485363434966,-0.6222489720149769,-0.6164671485759323,-0.62113933688765,-0.6090804999792616,-0.6380277480863782,-0.4491353997534024,-0.626352779418532
TAGLN2,0.0,0.0,0.0,0.0,5,0.22475854253372127,0.15835687395033057,0.6698386833559304,1.1506424577604977,1.1185739705880013,1.9254738246572922,1.5215720953843714,1.8201669633335442,-0.14785517135776952,-0.6521905491327915,-0.820030818366732,0.06809209092018235,-0.7919025771297168,-1.1527684856515508,-1.1362687057967233,-0.5980888886547273,-0.9282682376049943,-0.7507772073526362,-0.853470814220617,-0.8258540472156114
TFRC,1.0,1.0,1.0,0.0,6,0.3681819059979786,0.8461575736447097,0.5489998321944972,0.6689074017826376,0.8766644585334561,-0.3481611164574317,-0.5494548501386005,-0.5691033522703354,1.8318401950585605,2.7905319793335543,0.26890526364815986,-0.7140369087841593,-0.5947498182107053,-1.0967690476765333,-0.9789297414706806,-0.6717926292009291,-0.9856515974631163,-0.14526447865498987,-0.7237060400963551,-0.8225690297697162
THBS1,0.0,0.0,0.0,0.0,3,-0.3250671565809466,-0.2291805041420694,-0.38836974834881816,-0.33286240515860244,-0.4046970513023194,0.4559744237585664,1.0552130925745515,1.0232286664095191,-0.41386793198191446,3.8748356301340503,-0.42791819148462745,-0.43459647382566585,-0.42145546403135725,-0.43200589599266914,-0.42364236634726066,-0.4349452808258727,-0.4360465703433797,-0.4382452301986159,-0.43508637129786654,-0.4312651710147019
TNC,0.0,0.0,0.0,0.0,3,0.8527215120846237,-0.43839374071830695,-0.3179749942126128,0.09056782824438994,0.020304701927577655,1.9865246238987397,0.7867498189486519,2.2467503432770517,2.0909090889905215,-0.35524015126883807,-0.7391254169749099,-0.6814294819880541,-0.6633505064220651,-0.6437602351784542,-0.7475304838451059,-0.73876981799194,-0.7063214107959425,-0.670906984810174,-0.695823159003265,-0.6759015341618867
ZYX,,,,,3,-0.1445124345468915,0.31773172010417783,-0.7939692758630129,-0.2431998769224313,0.3923994215491072,0.1349208411662286,2.175783670689025,1.1603790116653678,2.5907491497526935,1.162009310823554,-0.75326614021363,-0.7949474553579247,-0.7473427199388867,-0.4955158433043868,-0.5392622040490507,-0.5982246902701194,-1.0604688449211888,-0.5463268337345244,-0.43807496963095865,-0.7788618369971538
