,TF,Drug targets,Enzymes,Transporters,Annotation,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_T,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N,ESCA_N
C1R,0.0,0.0,0.0,0.0,5,1.4019308994675788,0.17975679758012447,-0.18333163200290653,-0.6776517919086728,3.1947324293717823,-0.6369825336297419,0.030496426989409704,0.40113172924275775,1.0178789346892225,0.9042565739305605,-0.7191595915954164,-0.25921962940998333,-0.3439123115990968,-0.6197924347695752,-0.5933783804234657,-0.9254407779174155,-0.6260814953281728,-0.7900163405556153,,-0.7552168721313756
C1S,0.0,1.0,1.0,0.0,5,1.385171529130137,0.3347574217242766,0.04295241066439846,-0.11777815391268684,2.1306312146229898,-0.3792276101307655,0.4121151259985396,-0.31138224562259637,0.19836725596043148,2.916238569422738,-0.6185748651276263,-0.5622002632785702,-0.4793869523737534,-0.712439276643052,-0.6276675428452159,-0.8149767038275634,-0.7041859230224705,-0.6953730200038837,-0.7692335405406121,-0.6278074301947172
C5,0.0,1.0,0.0,0.0,5,0.5885557374552964,2.8040854435302327,-0.08826109690663787,-0.4328646338529317,0.6121746315606043,-0.7542364716792507,2.137335678786954,-0.6783462545539994,0.8835983162789772,0.8313269932590339,-0.8053462097431954,-0.268693960071776,-0.7174529480726238,-0.8076693796551929,-0.11536474587994192,-0.6512426055806955,-0.8154132793618513,-0.798376700007203,-0.6826053993926616,-0.2412031161131391
CFL1,0.0,0.0,0.0,0.0,5,0.003088110094901752,-0.35983479228800447,-0.09837539906458866,0.20321320160265668,3.833911834951696,-0.005228630683805321,0.04971411690346629,-0.20203230635041314,-0.17177867094542223,1.6236043680065364,-0.4578448738479556,-0.564352870944683,-0.49101223636714175,-0.48909469729455146,-0.4300206189677487,-0.45550744634108614,-0.40322587371781676,-0.4453399917523127,-0.5827472983164569,-0.5571359246772708
CTSD,0.0,0.0,1.0,0.0,6,0.5188382090366876,-0.13049509257405784,-0.37119674253508994,-0.1315138277341933,0.8317851607706672,-0.2583463551710721,-0.022212034511314323,1.7509389590029867,2.36015531895356,2.0954794348906707,-0.7630107745828985,-0.5372675525565236,-0.8060523350986263,0.09825764290455076,-0.09099363673980097,-0.9267257595465186,-0.6409026314511485,-1.009531949146205,-1.0552264658081192,-0.9119795681035562
CTSL,0.0,0.0,1.0,0.0,6,2.3257264546138496,-0.7890939287082868,-0.9025216889333083,0.8200644116268696,-0.18405875607942737,-0.8136612316141673,0.6339801598291386,0.8349616059421375,0.27331124482791774,0.08356803302292772,,,,-1.1314680436732136,-1.1508082608544385,,,,,
FN1,0.0,1.0,0.0,0.0,3,2.8469315259638397,1.4573026437025063,-0.35142208598679303,0.22724103505612922,1.3524280209352695,-0.5064920575386955,0.8349346288451558,0.6328891199499236,-0.3791242360236132,1.0557184504409423,-0.706738378071403,-0.6770176590836164,-0.7296342204602299,-0.6712629316965674,-0.7298148081397398,-0.7323764778157507,-0.7522210572641176,-0.7541794303219139,-0.7632743609366389,-0.6538877215546841
ICAM1,1.0,1.0,0.0,0.0,5,0.63372127763127,0.3275378969933561,1.0928127854103002,0.6043511691767938,1.8263312440608421,0.07550565381838248,1.3397052596057406,1.3718288157278236,0.2744881385974585,0.3950891464386512,-1.1672170601616396,-0.21966393614910273,-0.9493275680649946,-0.8641542535470138,-1.2145763600444826,-1.2200832553796968,-1.163912922960511,-1.1424360311531754,,
ITIH2,0.0,0.0,0.0,0.0,6,0.621168480418398,-0.23412365253123368,-0.022814392039402633,-0.15454624056519206,2.4339795046377906,-0.45000340892411367,1.727177705184461,-0.05384298087874632,0.3785767146482762,2.3482573148492274,-0.714127288716955,-0.20908749165104312,-0.8459607038183232,-0.6755827732847753,-0.6919349919529728,-0.7254011786062092,-0.7020916495108595,-0.7847160587442671,-0.8964392918810198,-0.3484876166330369
LDHB,0.0,1.0,1.0,0.0,2,-0.49954095234778895,0.07147121601602249,0.4712904357319923,-0.07665385829026822,2.3945228479558933,0.13017910581237943,1.7351945298107716,2.339201836726934,0.26157922323549626,0.1156801539240324,-0.3350978252971638,-0.8410352508686625,-0.5967312026864321,-0.4152998278392667,-0.6615366706809837,-0.8513933547558802,-0.8291273209232185,-0.5996333866178595,-0.9263534745682299,-0.8867162243377674
