,TF,Drug targets,Enzymes,Transporters,Annotation,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_T,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N,RCC_N
CTTN,,,,,3,2.816554226676682,-0.6422964565583683,0.16080484215583424,0.02387825215357984,0.13026484291513524,-0.2171975660284938,-0.6950982134873421,-0.09548504158204549,1.2531971226885252,2.4510810489500767,-0.31676020091575385,-0.29326789380752405,-0.7173599711756172,-1.0854061158712192,-0.5705889858137235,-0.16875866613390533,-0.7834740354659214,-0.5959830511164294,-0.5236043715972639,-0.1304997659862166
FN1,0.0,1.0,0.0,0.0,3,0.1735239125400536,4.2638255658808,-0.2932723053568309,-0.2515049113970047,-0.23256841867258327,0.47650230331202265,-0.029073215131465307,-0.32479009948380133,-0.31409832773961377,-0.2268366622815945,-0.3480769046774735,-0.3672028996496085,-0.3463246954884697,-0.34751389075310707,-0.32301866542908747,-0.3328810215383547,-0.32826980017732443,-0.33111782671180234,-0.39967369783392104,-0.11762843941083377
GAPDH,0.0,1.0,1.0,0.0,2,1.0096394824090085,-1.0214052362451869,-0.10836308216490154,0.9046364690500993,0.8334656317166055,1.4423877518628356,0.49353577705606233,1.4854406319922524,0.39713514354161056,2.280227684703716,-0.5330006523935025,-0.886503040483138,-0.6317700545530562,-0.9544375596155474,-0.977835671727211,-0.294919274172411,-0.8993939729656877,-0.5783709396346376,-0.8451557423805945,-1.1153133459963118
ITIH3,0.0,0.0,0.0,0.0,6,0.14644979412299694,-0.1288048528537756,-0.48870372333816714,1.3123193745653918,1.685252811787649,-0.4483931187969911,3.4727585812223105,-0.027988111356583013,-0.3784731280858496,-0.2585068379243857,-0.5087383351759971,-0.6753715926705589,-0.5802675316572454,-0.5649800768412306,-0.2144950601119641,-0.5231407268184531,-0.5410029108666389,-0.6512335061189565,-0.5197613947012288,-0.10691965438032278
PFN1,0.0,0.0,0.0,0.0,3,1.1928856308455,0.6262404188277679,-0.34894168889266536,0.06441161108189554,-0.05593147527371465,1.9172898644099186,-0.257458787093123,0.8994456979291502,-0.059668850447425675,2.7109159632170465,0.011198957975689906,-0.9617458497330548,-0.9670897442984191,-1.182595943133592,-0.7282541242312284,-0.08052640012467875,-1.1174575939298377,-0.6437346462389918,-0.8043743640298031,-0.21460867686044005
SEPTIN2,0.0,0.0,0.0,0.0,5,2.496561171378011,0.014567433639577231,0.6022981907419658,-0.3391686073478054,0.24534682667703167,-0.35288844142217446,1.4194111062460137,0.12356856938379772,0.549388450256393,1.345458675462329,1.121109928579978,-1.6424686736516723,-0.1927619853296611,-0.592303754557974,-0.8424255885174528,-1.01911685041264,-0.326643998082369,-1.0490479730926745,-1.252741215178399,-0.30814326477226894
TAGLN2,0.0,0.0,0.0,0.0,5,0.5374995076974703,0.4469113183688904,-0.5965949099834879,-0.2046671553033499,-0.002116147340815322,1.4131799706389199,0.6778120606621254,-0.15472120154390237,-0.5339056072605458,3.653265197724124,-0.29001462320199695,-0.8077104912265417,-0.4895668803946022,-0.7332638772517213,-0.43172495746391126,-0.37123468752239547,-0.6545832817500407,-0.4409489338797258,-0.6159407245260826,-0.40167457644241494
VWF,,1.0,,,3,-0.4704070859702686,0.406479594920012,1.1907589856929686,0.48514835673756546,0.4640581228180173,0.5528706303615818,3.5776772245877178,0.2773110342362739,-0.5392969850015956,0.32912441168568296,-0.663868020644048,-0.6736468834302746,-0.7159003278573279,-0.7560374512336306,-0.6513160475154588,-0.7106460135244301,-0.6404425359098787,-0.5768069512114495,-0.6884611307855282,-0.19659892795592668
YWHAE,,,,,4,0.8527910187395135,0.8546785404917737,-0.605720661109961,0.35678506651861297,0.4447821328614479,0.4155032609109487,0.19418632138056655,0.38202259171855213,-0.8607990581925797,3.4137078837894648,-0.3468427072533118,-0.9964198359954856,-0.7173262344698518,-0.840816286583939,-0.6019088477011755,-0.10349056691259859,-0.8818236437553901,-0.5561202887357757,-0.9838122157907476,0.5806235300899425
YWHAZ,1.0,0.0,0.0,0.0,4,-0.10120708568719305,1.1325257960644612,-0.4480582980799396,-0.33706803347644243,0.41803140879503947,0.7351852777134982,-0.17083850171410053,0.8717238360880971,-0.3389174819367674,3.651950232155775,-0.4276825145836385,-0.838209112083417,-0.7030167653320624,-0.787027590053942,-0.31439901882382565,-0.5225585835896543,-0.7485225402496563,-0.17041807600210926,-0.6379505779959685,-0.2635423712081618
