Gene,Tumor_type
ABRACL,LC
ENO1,LC
ENO2,LC
GAPDH,LC
HNRNPA2B1,LC
HSPA8,LC
NAP1L1,LC
PAFAH1B3,LC
PKM,LC
PNP,LC
PSIP1,LC
PSMA1,LC
SOD1,LC
THBS1,LC
TPI1,LC
TUBA4A,LC
YWHAB,LC
YWHAE,LC
YWHAH,LC
YWHAQ,LC
YWHAZ,LC
ALDOA,ML
ENO1,ML
FN1,ML
GAPDH,ML
ICAM1,ML
NAP1L1,ML
PKM,ML
PNP,ML
TFRC,ML
TUBA4A,ML
ACTB,CRCA
ACTN1,CRCA
APOE,CRCA
BLMH,CRCA
C1R,CRCA
C1S,CRCA
C4BPA,CRCA
C5,CRCA
C8A,CRCA
CAMP,CRCA
CLIC1,CRCA
CLU,CRCA
CTTN,CRCA
FN1,CRCA
GSTO1,CRCA
GSTP1,CRCA
HNF4A,CRCA
HSPA8,CRCA
LAMB3,CRCA
LCN2,CRCA
MYH9,CRCA
PCBP2,CRCA
PKM,CRCA
PLTP,CRCA
PROS1,CRCA
RCN1,CRCA
S100A9,CRCA
SPARC,CRCA
TAGLN2,CRCA
TFRC,CRCA
THBS1,CRCA
TIMP1,CRCA
TNC,CRCA
TPM4,CRCA
ZYX,CRCA
C1R,ESCA
C1S,ESCA
C5,ESCA
C8A,ESCA
CAPZB,ESCA
CFL1,ESCA
CTSD,ESCA
CTSL,ESCA
FKBP1A,ESCA
FN1,ESCA
GSTO1,ESCA
HEXB,ESCA
HLA-C,ESCA
HTRA1,ESCA
ICAM1,ESCA
IGF2R,ESCA
ITGB1,ESCA
ITIH2,ESCA
LDHB,ESCA
MYH9,ESCA
PLTP,ESCA
SERPINA3,ESCA
SPARC,ESCA
TFRC,ESCA
THBS1,ESCA
TMSB10,ESCA
TNC,ESCA
TPM4,ESCA
VCL,ESCA
ALDOC,RCC
CLIC1,RCC
CORO1A,RCC
CTTN,RCC
ENO1,RCC
FKBP1A,RCC
FN1,RCC
GAPDH,RCC
HLA-C,RCC
ITIH3,RCC
NAP1L1,RCC
PFN1,RCC
PKM,RCC
SEPTIN2,RCC
SH3BGRL3,RCC
TAGLN2,RCC
TPI1,RCC
TUBB,RCC
VWF,RCC
YWHAE,RCC
YWHAZ,RCC
ZYX,RCC
ACTA1,BLCA
ACTA2,BLCA
ACTB,BLCA
ACTBL2,BLCA
ACTC1,BLCA
ALDOC,BLCA
CFL1,BLCA
CORO1C,BLCA
ENO1,BLCA
HSPA5,BLCA
HSPA8,BLCA
NAP1L1,BLCA
NME2,BLCA
PNP,BLCA
SOD1,BLCA
TAGLN2,BLCA
TIMP1,BLCA
TPM2,BLCA
TPM4,BLCA
TUBA4A,BLCA
YWHAZ,BLCA
