Sample type,Proteins
LC,GAPDH
LC,PSIP1
LC,THBS1
LC,YWHAB
LC,YWHAH
LC,YWHAZ
ML,ALDOA
ML,FN1
ML,GAPDH
ML,ICAM1
ML,TFRC
CRCA,ACTB
CRCA,ACTN1
CRCA,APOE
CRCA,BLMH
CRCA,C1R
CRCA,C1S
CRCA,C4BPA
CRCA,C5
CRCA,CAMP
CRCA,CLU
CRCA,FN1
CRCA,GSTO1
CRCA,HSPA8
CRCA,MYH9
CRCA,PLTP
CRCA,PROS1
CRCA,RCN1
CRCA,S100A9
CRCA,TAGLN2
CRCA,TFRC
CRCA,THBS1
CRCA,TNC
CRCA,ZYX
ESCA,C1R
ESCA,C1S
ESCA,C5
ESCA,CFL1
ESCA,CTSD
ESCA,CTSL
ESCA,FN1
ESCA,ICAM1
ESCA,ITIH2
ESCA,LDHB
ESCA,PLTP
ESCA,SERPINA3
ESCA,TFRC
ESCA,THBS1
ESCA,TNC
ESCA,VCL
RCC,CTTN
RCC,FN1
RCC,GAPDH
RCC,ITIH3
RCC,PFN1
RCC,SEPTIN2
RCC,TAGLN2
RCC,VWF
RCC,YWHAE
RCC,YWHAZ
BLCA,ACTA1
BLCA,ACTA2
BLCA,ACTB
BLCA,ACTBL2
BLCA,ACTC1
BLCA,CFL1
BLCA,HSPA5
BLCA,HSPA8
BLCA,PNP
BLCA,TAGLN2
BLCA,TPM4
BLCA,TUBA4A
BLCA,YWHAZ
