Repeat,Feature,Score,Tumor type,Cohort
Repeat32,GDI2,0.0714285714285714,LC,discovery
Repeat17,GDI2,0.04047619047619033,LC,discovery
Repeat14,GDI2,0.08095238095238089,LC,discovery
Repeat36,GDI2,0.07380952380952366,LC,discovery
Repeat70,GDI2,0.05714285714285716,LC,discovery
Repeat50,GDI2,0.06190476190476191,LC,discovery
Repeat79,GDI2,0.030952380952380842,LC,discovery
Repeat7,GDI2,0.052380952380952306,LC,discovery
Repeat35,GDI2,0.0714285714285714,LC,discovery
Repeat97,GDI2,0.033333333333333326,LC,discovery
Repeat92,GDI2,0.05476190476190468,LC,discovery
Repeat15,GDI2,0.033333333333333326,LC,discovery
Repeat34,GDI2,0.06904761904761902,LC,discovery
Repeat51,GDI2,0.04523809523809508,LC,discovery
Repeat69,GDI2,0.061904761904761796,LC,discovery
Repeat80,GDI2,0.07857142857142851,LC,discovery
Repeat33,GDI2,0.042857142857142816,LC,discovery
Repeat6,GDI2,0.03809523809523807,LC,discovery
Repeat52,GDI2,0.06666666666666665,LC,discovery
Repeat16,GDI2,0.04523809523809508,LC,discovery
Repeat81,GDI2,0.06904761904761891,LC,discovery
Repeat98,GDI2,0.04761904761904756,LC,discovery
Repeat68,GDI2,0.04999999999999993,LC,discovery
Repeat62,GDI2,0.06666666666666665,LC,discovery
Repeat53,GDI2,0.061904761904761796,LC,discovery
Repeat91,GDI2,0.09285714285714275,LC,discovery
Repeat31,GDI2,0.09285714285714275,LC,discovery
Repeat5,GDI2,0.05952380952380942,LC,discovery
Repeat54,GDI2,0.06428571428571428,LC,discovery
Repeat49,GDI2,0.05476190476190468,LC,discovery
Repeat78,GDI2,0.05714285714285705,LC,discovery
Repeat37,GDI2,0.07619047619047614,LC,discovery
Repeat46,GDI2,0.06904761904761902,LC,discovery
Repeat43,GDI2,0.05952380952380942,LC,discovery
Repeat44,GDI2,0.088095238095238,LC,discovery
Repeat95,GDI2,0.1071428571428571,LC,discovery
Repeat10,GDI2,0.06904761904761902,LC,discovery
Repeat11,GDI2,0.04047619047619033,LC,discovery
Repeat42,GDI2,0.06666666666666654,LC,discovery
Repeat75,GDI2,0.06190476190476191,LC,discovery
Repeat73,GDI2,0.05476190476190468,LC,discovery
Repeat41,GDI2,0.06428571428571428,LC,discovery
Repeat45,GDI2,0.06190476190476191,LC,discovery
Repeat94,GDI2,0.08095238095238089,LC,discovery
Repeat12,GDI2,0.06190476190476191,LC,discovery
Repeat72,GDI2,0.052380952380952306,LC,discovery
Repeat48,GDI2,0.05714285714285705,LC,discovery
Repeat9,GDI2,0.06428571428571417,LC,discovery
Repeat40,GDI2,0.07619047619047614,LC,discovery
Repeat76,GDI2,0.06428571428571428,LC,discovery
Repeat39,GDI2,0.06666666666666665,LC,discovery
Repeat96,GDI2,0.08571428571428563,LC,discovery
Repeat77,GDI2,0.05476190476190468,LC,discovery
Repeat47,GDI2,0.08095238095238089,LC,discovery
Repeat13,GDI2,0.05714285714285705,LC,discovery
Repeat38,GDI2,0.052380952380952306,LC,discovery
Repeat71,GDI2,0.05952380952380942,LC,discovery
Repeat93,GDI2,0.06190476190476191,LC,discovery
Repeat8,GDI2,0.04999999999999993,LC,discovery
Repeat67,GDI2,0.05714285714285716,LC,discovery
Repeat74,GDI2,0.05714285714285705,LC,discovery
Repeat82,GDI2,0.08333333333333326,LC,discovery
Repeat19,GDI2,0.06666666666666665,LC,discovery
Repeat59,GDI2,0.06428571428571417,LC,discovery
Repeat60,GDI2,0.04761904761904745,LC,discovery
Repeat84,GDI2,0.04761904761904756,LC,discovery
Repeat23,GDI2,0.04761904761904756,LC,discovery
Repeat27,GDI2,0.06190476190476191,LC,discovery
Repeat57,GDI2,0.05476190476190468,LC,discovery
Repeat24,GDI2,0.07619047619047614,LC,discovery
Repeat86,GDI2,0.04761904761904745,LC,discovery
Repeat65,GDI2,0.04523809523809519,LC,discovery
Repeat2,GDI2,0.07857142857142851,LC,discovery
Repeat56,GDI2,0.07142857142857129,LC,discovery
Repeat3,GDI2,0.08333333333333326,LC,discovery
Repeat26,GDI2,0.04761904761904756,LC,discovery
Repeat58,GDI2,0.08333333333333326,LC,discovery
Repeat30,GDI2,0.05476190476190468,LC,discovery
Repeat20,GDI2,0.0714285714285714,LC,discovery
Repeat85,GDI2,0.042857142857142816,LC,discovery
Repeat89,GDI2,0.04999999999999993,LC,discovery
Repeat100,GDI2,0.05476190476190468,LC,discovery
Repeat25,GDI2,0.04047619047619033,LC,discovery
Repeat28,GDI2,0.06666666666666665,LC,discovery
Repeat64,GDI2,0.06428571428571417,LC,discovery
Repeat4,GDI2,0.088095238095238,LC,discovery
Repeat22,GDI2,0.05714285714285716,LC,discovery
Repeat87,GDI2,0.04761904761904756,LC,discovery
Repeat29,GDI2,0.04047619047619044,LC,discovery
Repeat88,GDI2,0.06904761904761891,LC,discovery
Repeat83,GDI2,0.06428571428571417,LC,discovery
Repeat61,GDI2,0.07857142857142851,LC,discovery
Repeat66,GDI2,0.04523809523809519,LC,discovery
Repeat90,GDI2,0.08571428571428563,LC,discovery
