,Metric,Cohort,Score,Tumor type,Repeat
0,AUROC,train,0.8523428731762066,LC,1
1,AUROC,test,0.7701500127129417,LC,1
2,Balanced accuracy,train,0.7738496071829405,LC,1
3,Balanced accuracy,test,0.7452326468344774,LC,1
4,Precision,train,0.8,LC,1
5,Precision,test,0.7761194029850746,LC,1
6,Recall,train,0.7901234567901234,LC,1
7,Recall,test,0.7536231884057971,LC,1
8,F1,train,0.7950310559006211,LC,1
9,F1,test,0.7647058823529411,LC,1
10,AUROC,train,0.8701131687242799,LC,2
11,AUROC,test,0.7533689295703025,LC,2
12,Balanced accuracy,train,0.7861952861952861,LC,2
13,Balanced accuracy,test,0.7292143401983219,LC,2
14,Precision,train,0.8048780487804879,LC,2
15,Precision,test,0.7611940298507462,LC,2
16,Recall,train,0.8148148148148148,LC,2
17,Recall,test,0.7391304347826086,LC,2
18,F1,train,0.8098159509202455,LC,2
19,F1,test,0.75,LC,2
20,AUROC,train,0.8569257388701833,LC,3
21,AUROC,test,0.7218408339689805,LC,3
22,Balanced accuracy,train,0.7920875420875421,LC,3
23,Balanced accuracy,test,0.673531655225019,LC,3
24,Precision,train,0.821656050955414,LC,3
25,Precision,test,0.6883116883116883,LC,3
26,Recall,train,0.7962962962962963,LC,3
27,Recall,test,0.7681159420289855,LC,3
28,F1,train,0.8087774294670846,LC,3
29,F1,test,0.726027397260274,LC,3
30,AUROC,train,0.842732884399551,LC,4
31,AUROC,test,0.7944317315026697,LC,4
32,Balanced accuracy,train,0.7731481481481481,LC,4
33,Balanced accuracy,test,0.7101449275362319,LC,4
34,Precision,train,0.7962962962962963,LC,4
35,Precision,test,0.7323943661971831,LC,4
36,Recall,train,0.7962962962962963,LC,4
37,Recall,test,0.7536231884057971,LC,4
38,F1,train,0.7962962962962963,LC,4
39,F1,test,0.7428571428571428,LC,4
40,AUROC,train,0.8539094650205761,LC,5
41,AUROC,test,0.7674802949402492,LC,5
42,Balanced accuracy,train,0.7676767676767677,LC,5
43,Balanced accuracy,test,0.7337909992372235,LC,5
44,Precision,train,0.7974683544303798,LC,5
45,Precision,test,0.7868852459016393,LC,5
46,Recall,train,0.7777777777777778,LC,5
47,Recall,test,0.6956521739130435,LC,5
48,F1,train,0.7875,LC,5
49,F1,test,0.7384615384615385,LC,5
50,AUROC,train,0.8544238683127573,LC,6
51,AUROC,test,0.7851512840071193,LC,6
52,Balanced accuracy,train,0.7655723905723906,LC,6
53,Balanced accuracy,test,0.7467581998474446,LC,6
54,Precision,train,0.7865853658536586,LC,6
55,Precision,test,0.7846153846153846,LC,6
56,Recall,train,0.7962962962962963,LC,6
57,Recall,test,0.7391304347826086,LC,6
58,F1,train,0.7914110429447854,LC,6
59,F1,test,0.7611940298507462,LC,6
60,AUROC,train,0.8485783763561542,LC,7
61,AUROC,test,0.8052377320111875,LC,7
62,Balanced accuracy,train,0.771043771043771,LC,7
63,Balanced accuracy,test,0.7307398932112891,LC,7
64,Precision,train,0.7857142857142857,LC,7
65,Precision,test,0.7692307692307693,LC,7
66,Recall,train,0.8148148148148148,LC,7
67,Recall,test,0.7246376811594203,LC,7
68,F1,train,0.7999999999999999,LC,7
69,F1,test,0.7462686567164178,LC,7
70,AUROC,train,0.8184857837635614,LC,8
71,AUROC,test,0.8424866514111365,LC,8
72,Balanced accuracy,train,0.7309203142536476,LC,8
73,Balanced accuracy,test,0.797482837528604,LC,8
74,Precision,train,0.7677419354838709,LC,8
75,Precision,test,0.8055555555555556,LC,8
76,Recall,train,0.7345679012345679,LC,8
77,Recall,test,0.8405797101449275,LC,8
78,F1,train,0.750788643533123,LC,8
79,F1,test,0.8226950354609929,LC,8
80,AUROC,train,0.8137860082304529,LC,9
81,AUROC,test,0.8845664886854818,LC,9
82,Balanced accuracy,train,0.7439674523007856,LC,9
83,Balanced accuracy,test,0.8237986270022883,LC,9
84,Precision,train,0.7770700636942676,LC,9
85,Precision,test,0.8405797101449275,LC,9
86,Recall,train,0.7530864197530864,LC,9
