Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp074388,CRCA,1,1,1,0,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1
Exp082955,CRCA,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1
Exp082978,CRCA,-1,-1,-1,-1,1,0,1,0,1,-1,0,0,-1,1,1,0,0,-1,0,1,-1,1,0,1,0,-1,-1,-1,0,0,1,0,0,1,1,0,1,-1,-1,0,1
Exp082929,CRCA,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,0,1,1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,0,1,-1,1,1,-1,-1
Exp083924,CRCA,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,0,0,-1,1,1,0,1,1,1,0
Exp082934,CRCA,1,1,1,1,1,1,0,1,1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,1,1,1,-1
Exp083959,CRCA,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1,1,1,1,1,1,1,-1,0,1,-1,-1,1,1
Exp083941,CRCA,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,0,0,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,0,-1,-1,-1,-1,1,-1
Exp083942,CRCA,-1,-1,0,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,1,0,1,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,1,0
Exp083943,CRCA,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,0,1,1,1,1,1,0,-1,1,1,-1,-1,1,1,1,1,0,1,-1,-1,-1,1,-1
Exp083947,CRCA,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,-1,-1,-1,-1,-1,1,0,1,1,1,-1,-1,1,0,0,0,0,-1,1,-1,1,1,1
Exp083009,CRCA,-1,-1,-1,0,1,1,1,1,1,-1,-1,1,-1,1,1,0,0,0,0,-1,-1,1,-1,1,0,-1,-1,1,1,-1,-1,0,0,1,1,-1,1,1,-1,-1,1
Exp087332,CRCA,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1
Exp087334,CRCA,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,1,1,1
Exp087343,CRCA,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,0,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1
Exp087349,CRCA,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1
Exp087352,CRCA,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1
Exp087361,CRCA,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,0,0,0,0,1,1,0,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1
Exp087365,CRCA,-1,-1,-1,0,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,-1,1
Exp087416,CRCA,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,0,0,0,0,1,1,1,0,1,0,1,-1,-1,1,1,-1,0,0,0,1,0,1,1,-1,-1,1
Exp087425,CRCA,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1
Exp087436,CRCA,-1,-1,-1,1,1,0,-1,0,1,-1,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,0,-1,0,0,0,1,0,-1,1,1,0,-1
Exp087442,CRCA,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1
Exp087462,CRCA,-1,1,-1,-1,0,0,0,0,-1,-1,0,0,1,1,-1,-1,-1,0,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1
Exp079228,CRCA,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1
Exp075580,CRCA,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1
Exp075581,CRCA,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,-1,0,-1,1,-1,1,-1,-1,0,-1,1,-1
