Exp,Sample type,ACTB_large_than_GAPDH,AOC3_large_than_HSPA8,AOC3_large_than_IARS,AOC3_large_than_MCM7,CALR_large_than_FKBP4,CALR_large_than_PKM,ENO1_large_than_GDI2,ENO1_large_than_ITGA6,GART_large_than_TFRC,GDI2_large_than_LAMP2,HNRNPA2B1_large_than_LAMP2,HSPA8_large_than_IARS,IARS_large_than_ITGA6,IARS_large_than_POSTN,ICAM1_large_than_ITGA6,ITGA6_large_than_LAMP2,ITGA6_large_than_PFN1,ITGA6_large_than_POSTN,LCP1_large_than_POSTN,LCP1_large_than_PRDX6,PKM_large_than_PNP
Exp082951,ML,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1
Exp082957,ML,1,-1,-1,0,0,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,0,0
Exp082958,ML,-1,1,-1,0,0,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1
Exp082930,ML,-1,-1,-1,0,-1,-1,1,1,-1,1,0,1,1,-1,1,-1,-1,-1,1,0,0
Exp082936,ML,1,-1,1,-1,-1,-1,0,1,0,0,1,1,-1,-1,1,1,-1,1,1,0,1
Exp082939,ML,-1,-1,-1,1,0,1,1,0,0,1,1,-1,0,1,0,0,0,0,1,0,1
Exp082941,ML,1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,1
Exp082945,ML,1,1,-1,0,-1,-1,0,-1,0,0,1,-1,1,1,-1,1,-1,-1,1,1,1
Exp087295,ML,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,0,1
Exp087296,ML,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1
Exp087297,ML,1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
Exp087299,ML,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1
Exp087300,ML,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1
Exp087301,ML,1,1,0,1,0,-1,-1,1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1
Exp087302,ML,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1
Exp087304,ML,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1
Exp087317,ML,0,1,0,-1,-1,0,1,-1,1,1,1,0,0,0,-1,1,1,-1,1,1,0
Exp087326,ML,1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1
